Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.22257388,0.3201342,0.21619718,0.006376697,0.10393701,307,1420,1581,247934,66,true
ALLEGRO_BIG_ENDIAN,0.1138328,0.12229122,0.111267604,0.0025651988,0.011023622,158,1420,636,247934,7,true
ALLEGRO_WINDOWS,0.050571915,0.07063879,0.04859155,0.0019803657,0.022047244,69,1420,491,247934,14,true
ALLEGRO_CFG_OPENGLES,0.04685231,0.06376289,0.040140845,0.0067114634,0.023622047,57,1420,1664,247934,15,true
ALLEGRO_ANDROID,0.036122803,0.06040812,0.03521127,9.115329E-4,0.02519685,50,1420,226,247934,16,true
ALLEGRO_CFG_OPENGL,0.028899837,0.033930354,0.026056338,0.0028434987,0.007874016,37,1420,705,247934,5,true
ALLEGRO_RASPBERRYPI,0.028188363,0.05038261,0.026760563,0.0014277993,0.023622047,38,1420,354,247934,15,true
ALLEGRO_IPHONE,0.024633363,0.04756571,0.023943663,6.8969966E-4,0.023622047,34,1420,171,247934,15,true
ALLEGRO_MACOSX,0.024602704,0.03898747,0.023239437,0.001363266,0.015748031,33,1420,338,247934,10,true
ALLEGRO_UNIX,0.019760251,0.025313297,0.019014085,7.4616633E-4,0.0062992126,27,1420,185,247934,4,true
ALLEGRO_CFG_XINPUT,0.014950827,0.01860375,0.00915493,0.0057958975,0.009448819,13,1420,1437,247934,6,true
ALLEGRO_XWINDOWS_WITH_XINERAMA,0.013438356,0.017400466,0.0126760565,7.6229963E-4,0.0047244094,18,1420,189,247934,3,true
DEBUGMODE,0.012568764,0.027719863,0.011971831,5.9693307E-4,0.015748031,17,1420,148,247934,10,true
ALLEGRO_MSVC,0.012193665,0.034019075,0.011971831,2.2183322E-4,0.022047244,17,1420,55,247934,14,true
TREMOR,0.011545905,0.012842408,0.011267605,2.7829988E-4,0.0015748031,16,1420,69,247934,1,true
ALLEGRO_HAVE_LINUX_INPUT_H,0.011319982,0.013674172,0.0042253523,0.00709463,0.009448819,6,1420,1759,247934,6,true
ALLEGRO_CFG_OPENGL_PROGRAMMABLE_PIPELINE,0.0112611465,0.016862594,0.01056338,6.977663E-4,0.0062992126,15,1420,173,247934,4,true
ALLEGRO_CFG_OPENGL_FIXED_FUNCTION,0.011003013,0.016862594,0.01056338,4.3963312E-4,0.0062992126,15,1420,109,247934,4,true
ALLEGRO_CFG_SHADER_GLSL,0.010933629,0.01860375,0.00915493,0.0017786992,0.009448819,13,1420,441,247934,6,true
DUMB_MAJOR_VERSION,0.010766654,0.011433958,0.009859155,9.074996E-4,0.0015748031,14,1420,225,247934,1,true
"_MSC_VER",0.007944113,0.0187701,0.007746479,1.9763324E-4,0.011023622,11,1420,49,247934,7,true
ALLEGRO_HAVE_DYNAMIC_LINK,0.0073528197,0.0086170565,0.0070422534,3.105665E-4,0.0015748031,10,1420,77,247934,1,true
ALLEGRO_CFG_OPENGLES3,0.006701028,0.0094876345,0.0063380282,3.6299982E-4,0.0031496063,9,1420,90,247934,2,true
"__GNUC__",0.006459028,0.011062438,0.0063380282,1.2099995E-4,0.0047244094,9,1420,30,247934,3,true
ALLEGRO_CFG_OPENGLES2,0.0064469283,0.01736165,0.0063380282,1.0889995E-4,0.011023622,9,1420,27,247934,7,true
ALLEGRO_POPUP_EXAMPLES,0.0060936026,0.011933016,0.0056338026,4.5979978E-4,0.0062992126,8,1420,114,247934,4,true
POLY_DEBUG,0.006053269,0.0072086058,0.0056338026,4.1946647E-4,0.0015748031,8,1420,104,247934,1,true
ALLEGRO_CFG_ACODEC_FLAC_DLL,0.0058274027,0.0072086058,0.0056338026,1.935999E-4,0.0015748031,8,1420,48,247934,1,true
