File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\tls.c,3.5867047,-0.59511346,3.0,1.1818181,573,31,114,33,11,11,13,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\tools\win\wfixicon.c,2.9094827,-0.09051724,3.0,0.0,232,7,27,9,4,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\docs\scripts\make_doc.c,2.8146343,-0.58536583,3.4,0.0,205,24,70,17,6,5,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\unix\uhapdrv.c,2.75,-0.25,3.0,0.0,12,3,9,3,3,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\unix\ujoydrv.c,2.75,-0.25,3.0,0.0,12,3,9,3,3,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\physfs\a5_physfs_dir.c,2.5809524,-0.08571429,2.6666667,0.0,245,7,24,8,3,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\demos\speed\a4_aux.c,2.465616,-0.034383953,2.5,0.0,349,6,17,5,3,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\system.c,1.9920986,-2.2386706,4.230769,0.0,331,57,239,55,9,13,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_window_maximized.c,1.9797298,-0.02027027,2.0,0.0,148,3,6,2,2,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\audio\openal.c,1.8811882,-0.118811876,2.0,0.0,505,20,33,6,3,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\image\bmp.c,1.4846153,-0.015384615,1.5,0.0,1170,9,16,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\pixels.c,1.4821109,-0.017889088,1.5,0.0,559,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\audio\opensl.c,1.4769053,-0.023094688,1.5,0.0,433,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\path.c,1.4713467,-0.028653296,1.5,0.0,349,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\demos\skater\src\global.c,1.4602273,-0.039772727,1.5,0.0,352,7,12,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_menu.c,1.4578059,-0.042194095,1.5,0.0,237,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_glext.c,1.4519231,-0.048076924,1.5,0.0,208,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\image\tga.c,1.4473684,-0.05263158,1.5,0.0,418,11,18,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\image\webp.c,1.4206349,-0.07936508,1.5,0.0,126,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\native_dialog\textlog.c,1.4152542,-0.084745765,1.5,0.0,118,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\sdl\sdl_display.c,1.3673469,-0.29931974,1.6666666,0.0,441,22,45,10,6,6,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_record.c,1.3308458,-0.16915423,1.5,0.0,201,17,27,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_icon2.c,1.3153846,-0.18461539,1.5,0.0,65,6,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\sdl\sdl_thread.c,1.304878,-0.19512194,1.5,0.0,82,8,15,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_nodisplay.c,1.2818182,-0.21818182,1.5,0.0,55,6,10,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\linux\lmemory.c,1.2647059,-0.23529412,1.5,0.0,51,6,9,3,3,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\demos\skater\src\level_file.c,1.2633625,-0.069970846,1.3333334,0.0,343,8,12,4,2,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\x\xcursor.c,1.2034632,-0.12987013,1.3333334,0.0,231,10,14,4,3,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\utf8.c,1.1889737,-0.061026353,1.25,0.0,721,11,15,5,4,4,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\demos\skater\src\framework.c,1.1833334,-0.15,1.3333334,0.0,300,15,24,4,2,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\timernu.c,1.1568627,-0.1764706,1.0,0.33333334,255,15,18,3,3,3,1,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\linux\vtswitch.c,1.1533334,-0.17999999,1.3333334,0.0,150,9,12,4,3,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\allegro.c,1.1296296,-0.37037036,1.5,0.0,27,5,9,3,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\image\jpg.c,1.1284344,-0.2715655,1.4,0.0,313,17,27,7,3,5,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\win\wclipboard.c,1.0909091,-0.24242425,1.3333334,0.0,99,8,12,4,3,3,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\win\wgl_disp.c,1.0814536,-0.085213035,1.1666666,0.0,1197,17,21,7,5,6,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\ttf\ttf.c,1.0356009,-0.16439909,1.2,0.0,882,29,33,6,4,5,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\opengl\ogl_display.c,1.0108695,-0.23913044,1.25,0.0,184,11,15,5,3,4,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_utf8.c,0.99632806,-0.0036719707,1.0,0.0,817,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\demos\speed\sound.c,0.99585634,-0.0041436465,1.0,0.0,724,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\tools\macosx\fixbundle.c,0.9948365,-0.0051635113,1.0,0.0,581,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_logo.c,0.99339205,-0.0066079297,1.0,0.0,454,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\docs\scripts\trex.c,0.9910562,-0.2589438,1.25,0.0,587,38,45,5,3,4,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\win\wkeyboard.c,0.990566,-0.009433962,1.0,0.0,318,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\image\png.c,0.9896104,-0.01038961,1.0,0.0,385,4,4,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_native_filechooser.c,0.9894366,-0.01056338,1.0,0.0,284,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\primitives\primitives.c,0.9892967,-0.3440367,1.3333334,0.0,436,25,33,8,5,6,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_curl.c,0.98920864,-0.010791367,1.0,0.0,278,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\demos\speed\view.c,0.98916966,-0.010830325,1.0,0.0,277,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_ttf.c,0.9890511,-0.010948905,1.0,0.0,274,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\math.c,0.98828125,-0.01171875,1.0,0.0,256,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\primitives\high_primitives.c,0.98660713,-0.013392857,1.0,0.0,896,6,6,2,2,2,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\src\linux\lconsole.c,0.98636365,-0.013636364,1.0,0.0,220,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\video\video.c,0.9849246,-0.015075377,1.0,0.0,199,3,3,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\addons\color\color.c,0.98417723,-0.015822785,1.0,0.0,632,10,10,1,1,1,0,true
D:\Pesquisa\Projects\allegro5-analysis\source\allegro5\examples\ex_depth_mask.c,0.9836956,-0.016304348,1.0,0.0,184,3,3,1,1,1,0,true
