FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
allegro5\addons\audio\audio.c,199,static bool do_install_audio(ALLEGRO_AUDIO_DRIVER_ENUM mode),21.025642,19.692308,1.3333334,0.0,156,128,168,24,32,9,0,8,false
allegro5\src\system.c,99,static ALLEGRO_PATH * early_get_exename_path(void),12.857143,6.0,6.857143,0.0,21,18,177,7,48,7,0,21,false
allegro5\src\cpu.c,77,int al_get_ram_size(void),12.525345,6.096774,4.285714,2.142857,31,27,192,7,30,9,15,9,true
allegro5\src\cpu.c,50,int al_get_cpu_count(void),9.666666,5.0,3.3333333,1.3333334,24,20,116,6,20,7,8,6,true
allegro5\src\opengl\extensions.c,578,void * al_get_opengl_proc_address(const char * name),9.250958,6.362069,2.4444444,0.44444445,58,41,162,9,22,6,4,7,true
allegro5\src\opengl\ogl_fbo.c,152,static void attach_depth_buffer(ALLEGRO_FBO_INFO * info),9.227273,5.7272725,1.8333334,1.6666666,66,63,104,6,11,4,10,6,true
allegro5\src\opengl\extensions.c,710,void _al_ogl_manage_extensions(ALLEGRO_DISPLAY * gl_disp),8.861904,7.028571,1.5833334,0.25,140,82,136,12,19,8,3,6,true
allegro5\src\opengl\extensions.c,304,static void load_extensions(ALLEGRO_OGL_EXT_API * ext),8.166667,5.0,3.0,0.16666667,36,30,104,6,18,6,1,6,true
allegro5\addons\image\iio.c,14,bool al_init_image_addon(void),7.8776846,6.6554623,1.0,0.22222222,119,88,102,9,9,9,2,0,true
allegro5\src\opengl\extensions.c,276,static VOID_FPTR load_extension(const char * name),6.5454545,2.5454545,4.0,0.0,22,14,73,4,16,5,0,6,false
allegro5\src\opengl\ogl_fbo.c,233,static void attach_multisample_buffer(ALLEGRO_FBO_INFO * info),6.535714,3.7857144,2.0,0.75,56,53,180,4,8,3,3,4,true
allegro5\src\opengl\ogl_draw.c,317,static void ogl_flush_vertex_cache(ALLEGRO_DISPLAY * disp),5.624557,4.338843,1.2857143,0.0,121,75,121,7,9,5,0,4,false
allegro5\src\opengl\ogl_bitmap.c,728,"static ALLEGRO_LOCKED_REGION * ogl_lock_compressed_region(ALLEGRO_BITMAP * bitmap, int x, int y, int w, int h, int flags)",5.6188526,3.8688524,1.25,0.5,122,118,134,4,5,3,2,3,true
allegro5\src\opengl\ogl_bitmap.c,873,static void ogl_unlock_compressed_region(ALLEGRO_BITMAP * bitmap),5.5625,3.8125,1.25,0.5,64,61,71,4,5,3,2,3,true
allegro5\src\opengl\extensions.c,454,"static bool _ogl_is_extension_supported(const char * extension, ALLEGRO_DISPLAY * disp)",4.8008475,3.0508475,1.75,0.0,59,45,88,4,7,5,0,4,false
allegro5\addons\acodec\ogg.c,82,static bool init_dynlib(void),4.474359,2.974359,1.5,0.0,39,29,40,4,6,3,0,4,false
allegro5\src\opengl\ogl_draw.c,55,bool _al_opengl_set_blender(ALLEGRO_DISPLAY * ogl_disp),4.4736843,1.4736842,2.1666667,0.8333333,57,14,47,6,13,5,5,9,false
allegro5\addons\acodec\acodec.c,21,bool al_init_acodec_addon(void),4.292683,3.2926831,1.0,0.0,41,27,27,5,5,5,0,0,false
