"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\acodec.c.xml,101,5,17,1.0,0.0,,,,,,,,0,0,0,0,0,0,5,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\acodec.h.xml,87,5,25,1.0,0.0,,,,,,,,5,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\allegro5\allegro_acodec.h.xml,54,5,10,1.5,0.8366600265340756,,,,,,,,1,0,0,0,0,0,9,3,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\flac.c.xml,954,2,33,1.0,0.0,,,,,,,,3,0,0,0,0,0,6,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\helper.c.xml,56,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\helper.h.xml,4,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\modaudio.c.xml,960,3,210,1.0,0.0,,,,,,,,7,2,0,0,0,1,9,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\mp3.c.xml,534,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\ogg.c.xml,794,5,70,1.0,0.0,,,,,,,,5,2,0,0,0,0,20,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\opus.c.xml,666,2,26,1.0,0.0,,,,,,,,3,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\voc.c.xml,436,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\acodec\wav.c.xml,731,1,8,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\allegro5\allegro_audio.h.xml,555,8,38,1.2142857142857142,0.5789342235218395,,,,,,,,1,1,0,0,0,0,17,3,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\allegro5\internal\aintern_audio.h.xml,374,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\alsa.c.xml,1280,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\audio.c.xml,682,8,96,1.0,0.0,,,,,,,,8,0,0,0,0,0,24,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\audio_io.c.xml,556,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\kcm_dtor.c.xml,68,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\kcm_instance.c.xml,856,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\kcm_mixer.c.xml,1297,1,11,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\kcm_sample.c.xml,696,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\kcm_stream.c.xml,1170,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\kcm_voice.c.xml,718,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\openal.c.xml,1002,2,16,1.0,0.0,,,,,,,,2,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\opensl.c.xml,857,1,2,1.0,0,,,,,,,,0,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\oss.c.xml,873,9,114,1.1818181818181819,0.4045199174779453,,,,,,,,14,0,0,0,0,0,4,2,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\pulseaudio.c.xml,772,1,4,1.0,0.0,,,,,,,,0,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\recorder.c.xml,242,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\audio\sdl_audio.c.xml,350,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\color\allegro5\allegro_color.h.xml,154,6,11,1.5,0.8366600265340756,,,,,,,,10,0,0,0,0,0,1,3,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\color\color.c.xml,1255,1,8,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\allegro5\allegro_font.h.xml,234,8,37,1.375,0.7440238091428449,,,,,,,,10,0,0,0,0,0,3,3,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\allegro5\internal\aintern_font.h.xml,58,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\bmfont.c.xml,922,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\font.c.xml,628,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\font.h.xml,26,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\fontbmp.c.xml,396,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\stdfont.c.xml,784,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\text.c.xml,862,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\xml.c.xml,250,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\font\xml.h.xml,20,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\image\allegro5\allegro_image.h.xml,58,6,11,1.5,0.8366600265340756,,,,,,,,10,0,0,0,0,0,1,3,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\image\allegro5\internal\aintern_image.h.xml,147,10,36,1.1818181818181819,0.4045199174779453,,,,,,,,1,0,0,0,0,0,10,2,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\image\android.c.xml,22,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\image\bmp.c.xml,2331,1,6,1.0,0,,,,,,,,0,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats\allegro5\addons\image\dds.c.xml,308,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
