"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.c.xml,37,42,#if,defined(ALLEGRO_CFG_ACODEC_FLAC),ALLEGRO_CFG_ACODEC_FLAC
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.c.xml,44,46,#if,defined(ALLEGRO_CFG_ACODEC_MODAUDIO),ALLEGRO_CFG_ACODEC_MODAUDIO
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.c.xml,48,53,#if,defined(ALLEGRO_CFG_ACODEC_VORBIS),ALLEGRO_CFG_ACODEC_VORBIS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.c.xml,55,60,#if,defined(ALLEGRO_CFG_ACODEC_OPUS),ALLEGRO_CFG_ACODEC_OPUS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.c.xml,62,67,#if,defined(ALLEGRO_CFG_ACODEC_MP3),ALLEGRO_CFG_ACODEC_MP3
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,1,64,#if,!defined(__al_included_acodec_acodec_h),__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,24,31,#if,(!defined(__al_included_acodec_acodec_h)) && (defined(ALLEGRO_CFG_ACODEC_FLAC)),ALLEGRO_CFG_ACODEC_FLAC;__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,33,35,#if,(!defined(__al_included_acodec_acodec_h)) && (defined(ALLEGRO_CFG_ACODEC_MODAUDIO)),ALLEGRO_CFG_ACODEC_MODAUDIO;__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,37,44,#if,(!defined(__al_included_acodec_acodec_h)) && (defined(ALLEGRO_CFG_ACODEC_VORBIS)),ALLEGRO_CFG_ACODEC_VORBIS;__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,46,53,#if,(!defined(__al_included_acodec_acodec_h)) && (defined(ALLEGRO_CFG_ACODEC_OPUS)),ALLEGRO_CFG_ACODEC_OPUS;__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,55,62,#if,(!defined(__al_included_acodec_acodec_h)) && (defined(ALLEGRO_CFG_ACODEC_MP3)),ALLEGRO_CFG_ACODEC_MP3;__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\allegro5\allegro_acodec.h.xml,1,41,#if,!defined(__al_included_allegro5_allegro_acodec_h),__al_included_allegro5_allegro_acodec_h
