"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.c.xml,ALLEGRO_CFG_ACODEC_FLAC;ALLEGRO_CFG_ACODEC_MODAUDIO;ALLEGRO_CFG_ACODEC_MP3;ALLEGRO_CFG_ACODEC_OPUS;ALLEGRO_CFG_ACODEC_VORBIS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\acodec.h.xml,ALLEGRO_CFG_ACODEC_FLAC;ALLEGRO_CFG_ACODEC_MODAUDIO;ALLEGRO_CFG_ACODEC_MP3;ALLEGRO_CFG_ACODEC_OPUS;ALLEGRO_CFG_ACODEC_VORBIS;__al_included_acodec_acodec_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\allegro5\allegro_acodec.h.xml,ALLEGRO_ACODEC_SRC;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;__al_included_allegro5_allegro_acodec_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\flac.c.xml,ALLEGRO_CFG_ACODEC_FLAC;ALLEGRO_CFG_ACODEC_FLAC_DLL
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\helper.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\helper.h.xml,__al_included_acodec_helper_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\modaudio.c.xml,ALLEGRO_CFG_ACODEC_DUMB_DLL;ALLEGRO_CFG_ACODEC_MODAUDIO;DUMB_MAJOR_VERSION
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\mp3.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\ogg.c.xml,ALLEGRO_CFG_ACODEC_TREMOR;ALLEGRO_CFG_ACODEC_VORBIS;ALLEGRO_CFG_ACODEC_VORBISFILE_DLL;ALLEGRO_LITTLE_ENDIAN;TREMOR
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\opus.c.xml,ALLEGRO_CFG_ACODEC_OPUS;ALLEGRO_CFG_ACODEC_OPUSFILE_DLL
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\voc.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\acodec\wav.c.xml,ALLEGRO_BIG_ENDIAN
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\audio\allegro5\allegro_audio.h.xml,ALLEGRO_BCC32;ALLEGRO_INTERNAL_UNSTABLE;ALLEGRO_KCM_AUDIO_SRC;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;ALLEGRO_UNSTABLE;__al_included_allegro5_allegro_audio_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\audio\allegro5\internal\aintern_audio.h.xml,AINTERN_AUDIO_H
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\audio\alsa.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\audio\audio.c.xml,ALLEGRO_CFG_KCM_ALSA;ALLEGRO_CFG_KCM_AQUEUE;ALLEGRO_CFG_KCM_DSOUND;ALLEGRO_CFG_KCM_OPENAL;ALLEGRO_CFG_KCM_OPENSL;ALLEGRO_CFG_KCM_OSS;ALLEGRO_CFG_KCM_PULSEAUDIO;ALLEGRO_SDL
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\audio\audio_io.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\audio\kcm_dtor.c.xml,
