Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.23723733,0.43500093,0.18884708,0.048390254,0.24615385,1104,5846,13347,275820,176,true
CURL_DISABLE_HTTP,0.045010727,0.041032657,0.010263428,0.0347473,0.03076923,60,5846,9584,275820,22,true
WIN32,0.0353668,0.11305608,0.026342798,0.009024001,0.086713284,154,5846,2489,275820,62,true
USE_OPENSSL,0.030179523,0.030125674,0.013342456,0.016837068,0.016783217,78,5846,4644,275820,12,true
ENABLE_IPV6,0.029845739,0.0726677,0.026513856,0.003331883,0.046153847,155,5846,919,275820,33,true
USE_GNUTLS,0.026844705,0.0270165,0.011631885,0.01521282,0.015384615,68,5846,4196,275820,11,true
USE_WINDOWS_SSPI,0.02449607,0.04300472,0.008039685,0.016456384,0.034965035,47,5846,4539,275820,25,true
CURL_DISABLE_FTP,0.024440752,0.032932684,0.0049606566,0.019480096,0.027972028,29,5846,5373,275820,20,true
CURL_DISABLE_VERBOSE_STRINGS,0.019753436,0.057413474,0.012658228,0.007095207,0.044755246,74,5846,1957,275820,32,true
CURL_DOES_CONVERSIONS,0.01928536,0.062947586,0.015395142,0.0038902182,0.047552448,90,5846,1073,275820,34,true
USE_NSS,0.018387046,0.017346868,0.0061580567,0.01222899,0.011188812,36,5846,3373,275820,8,true
CURL_DISABLE_PROXY,0.018356696,0.023082186,0.007697571,0.010659126,0.015384615,45,5846,2940,275820,11,true
USE_SSL,0.018182259,0.034693737,0.012316113,0.005866145,0.022377623,72,5846,1618,275820,16,true
USE_NTLM,0.015826093,0.026794963,0.0058159423,0.010010151,0.02097902,34,5846,2761,275820,15,true
USE_GNUTLS_NETTLE,0.015531356,0.018655036,0.010263428,0.0052679284,0.0083916085,60,5846,1453,275820,6,true
USE_NGHTTP2,0.015377148,0.03024625,0.007868628,0.00750852,0.022377623,46,5846,2071,275820,16,true
MSDOS,0.01535733,0.036836855,0.010263428,0.005093902,0.026573427,60,5846,1405,275820,19,true
USE_SCHANNEL,0.015177842,0.010615351,0.0022237427,0.0129541,0.0083916085,13,5846,3573,275820,6,true
CURL_DISABLE_CRYPTO_AUTH,0.014457292,0.0332748,0.005302771,0.009154521,0.027972028,31,5846,2525,275820,20,true
USE_SECTRANSP,0.014220007,0.008130118,0.003934314,0.010285693,0.0041958042,23,5846,2837,275820,3,true
CURL_DISABLE_IMAP,0.014146218,0.012899383,0.0017105713,0.012435647,0.011188812,10,5846,3430,275820,8,true
CURL_DISABLE_SMTP,0.013890116,0.014640098,0.0020526857,0.01183743,0.012587412,12,5846,3265,275820,9,true
USE_GSKIT,0.013165316,0.012869239,0.0030790283,0.010086288,0.00979021,18,5846,2782,275820,7,true
USE_MBEDTLS,0.012738435,0.015948266,0.0061580567,0.0065803784,0.00979021,36,5846,1815,275820,7,true
HAVE_GSSAPI,0.012684052,0.027137078,0.0061580567,0.006525995,0.02097902,36,5846,1800,275820,15,true
DEBUGBUILD,0.012574562,0.050309695,0.009750256,0.0028243058,0.04055944,57,5846,779,275820,29,true
OPENSSL_VERSION_NUMBER,0.012490829,0.014801346,0.010605542,0.0018852875,0.0041958042,62,5846,520,275820,3,true
"__MAC_OS_X_VERSION_MAX_ALLOWED",0.01209143,0.012265634,0.006671228,0.0054202015,0.005594406,39,5846,1495,275820,4,true
"__IPHONE_OS_VERSION_MAX_ALLOWED",0.01209143,0.012265634,0.006671228,0.0054202015,0.005594406,39,5846,1495,275820,4,true
USE_WINSOCK,0.0119866,0.034270998,0.007697571,0.004289029,0.026573427,45,5846,1183,275820,19,true
USE_WIN32_CRYPTO,0.01074476,0.016008556,0.0034211427,0.0073236166,0.012587412,20,5846,2020,275820,9,true
USE_WOLFSSL,0.010344636,0.008673434,0.0030790283,0.007265608,0.005594406,18,5846,2004,275820,4,true
SIZEOF_LONG,0.010333348,0.016089179,0.007697571,0.002635777,0.0083916085,45,5846,727,275820,6,true
USE_LIBSSH2,0.00992742,0.0015696586,1.7105714E-4,0.009756363,0.0013986015,1,5846,2691,275820,1,true
USE_WIN32_LDAP,0.009828395,0.011179003,0.0083818,0.0014465956,0.002797203,49,5846,399,275820,2,true
SIZEOF_CURL_OFF_T,0.0093518235,0.018202154,0.0070133423,0.0023384816,0.011188812,41,5846,645,275820,8,true
CURL_DISABLE_MIME,0.0092388755,0.006791806,0.0011973999,0.008041476,0.005594406,7,5846,2218,275820,4,true
SIZEOF_INT,0.008612556,0.010353861,0.0061580567,0.0024544992,0.0041958042,36,5846,677,275820,3,true
"__INTEL_COMPILER",0.008444435,0.011893375,0.007697571,7.468639E-4,0.0041958042,45,5846,206,275820,3,true
CURL_BUILD_IOS,0.008019967,0.0061882013,0.0047895997,0.0032303676,0.0013986015,28,5846,891,275820,1,true
CURL_DISABLE_LDAP,0.007857541,0.009589008,0.0011973999,0.0066601406,0.0083916085,7,5846,1837,275820,6,true
USE_LIBSSH,0.007817348,0.0015696586,1.7105714E-4,0.007646291,0.0013986015,1,5846,2109,275820,1,true
CURL_DISABLE_COOKIES,0.007675573,0.012698181,0.0029079712,0.004767602,0.00979021,17,5846,1315,275820,7,true
HAVE_NETINET_IN_H,0.007459285,0.064356,0.0070133423,4.45943E-4,0.057342656,41,5846,123,275820,41,true
