File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib1564.c,3.85,-0.15,4.0,0.0,80,12,48,4,4,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\unit\unit1651.c,3.568376,-1.9316239,5.5,0.0,351,339,1707,11,6,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\curl_multibyte.c,3.1041667,-0.8958333,4.0,0.0,48,43,172,4,4,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\unit\unit1621.c,2.9666667,-1.5333333,4.5,0.0,60,46,228,9,4,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\unit\unit1600.c,2.6052632,-0.39473686,3.0,0.0,38,15,45,3,3,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib1531.c,2.347826,-0.1521739,2.5,0.0,92,7,20,5,3,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib1522.c,2.107143,-0.39285713,2.5,0.0,56,11,29,5,3,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\vauth\oauth2.c,2.0833333,-0.9166667,3.0,0.0,48,44,132,3,3,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\vauth\cleartext.c,2.0555556,-0.9444444,3.0,0.0,72,68,204,3,3,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\packages\OS400\ccsidcurl.c,1.988154,-0.011846002,2.0,0.0,1013,6,12,4,4,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\src\tool_urlglob.c,1.9783393,-0.02166065,2.0,0.0,554,12,24,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib1515.c,1.9690722,-0.030927835,2.0,0.0,97,3,6,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\hash.c,1.9306122,-0.06938776,2.0,0.0,245,17,34,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\urlapi.c,1.8951687,-0.10483135,2.0,0.0,1097,23,51,10,5,5,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\curl_rtmp.c,1.813745,-3.936255,3.0,2.75,251,247,282,12,5,4,11,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\getenv.c,1.6434109,-2.0232558,3.6666667,0.0,43,29,120,11,4,3,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\server\getpart.c,1.5602739,-0.23972602,1.8,0.0,292,14,27,9,6,5,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\base64.c,1.5437158,-1.9562842,3.0,0.5,183,179,899,6,6,2,1,true
D:\Pesquisa\Projects\curl-analysis\source\curl\src\tool_paramhlp.c,1.4853933,-0.31460673,1.8,0.0,445,28,54,9,5,5,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\unit\unit1607.c,1.4378881,-0.062111802,1.5,0.0,161,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib654.c,1.4065421,-0.093457945,1.5,0.0,107,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\multi-debugcallback.c,1.4027778,-0.097222224,1.5,0.0,144,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\smtp-multi.c,1.4014084,-0.09859155,1.5,0.0,142,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib650.c,1.3978102,-0.10218978,1.5,0.0,137,7,11,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\sftpuploadresume.c,1.3837209,-0.11627907,1.5,0.0,86,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\multi-app.c,1.3585858,-0.14141414,1.5,0.0,99,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\multi-formadd.c,1.3571428,-0.14285715,1.5,0.0,98,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib668.c,1.3571428,-0.14285715,1.5,0.0,70,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\src\tool_progress.c,1.3565401,-0.14345992,1.5,0.0,237,17,22,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\imap-multi.c,1.3556701,-0.14432989,1.5,0.0,97,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\pop3-multi.c,1.3556701,-0.14432989,1.5,0.0,97,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\ftpupload.c,1.3529412,-0.14705883,1.5,0.0,68,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\multi-post.c,1.3494624,-0.15053764,1.5,0.0,93,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib667.c,1.3484849,-0.15151516,1.5,0.0,66,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\multi-double.c,1.3133333,-0.18666667,1.5,0.0,75,7,12,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\multi-single.c,1.2959183,-0.20408164,1.5,0.0,49,5,9,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\src\tool_formparse.c,1.2479849,-0.0853485,1.3333334,0.0,703,20,24,4,3,3,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\fopen.c,1.2458699,-0.08746356,1.3333334,0.0,343,10,15,4,3,3,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\simplessl.c,1.204918,-0.29508197,1.5,0.0,61,9,15,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\curl_des.c,1.1904762,-0.8095238,2.0,0.0,21,17,34,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\curl_range.c,1.1333333,-0.8666667,2.0,0.0,60,52,104,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\src\tool_operhlp.c,1.127907,-0.37209302,1.5,0.0,129,24,34,3,3,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\mprintf.c,1.113457,-1.786543,2.3,0.6,862,77,185,46,16,20,12,true
D:\Pesquisa\Projects\curl-analysis\source\curl\src\tool_help.c,1.0477349,-0.58862877,1.6363636,0.0,598,32,56,18,10,11,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib500.c,1.0438597,-0.45614034,1.5,0.0,114,26,30,3,2,2,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib555.c,1.030303,-0.3030303,1.3333334,0.0,99,10,14,4,3,3,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\vauth\spnego_gssapi.c,1.027027,-0.972973,2.0,0.0,148,144,288,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\http2-upload.c,1.0219299,-0.22807017,1.25,0.0,228,13,18,5,3,4,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\vauth\krb5_gssapi.c,1.0181818,-0.9818182,2.0,0.0,220,216,432,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\vauth\krb5_sspi.c,1.0124611,-0.98753893,2.0,0.0,321,317,634,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\rtsp.c,1.0102564,-0.32307693,1.3333334,0.0,195,21,38,4,2,3,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\socks_gssapi.c,1.0102302,-0.9897698,2.0,0.0,391,387,774,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\vauth\digest_sspi.c,1.0097561,-0.9902439,2.0,0.0,410,406,812,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\lib\socks_sspi.c,1.0088692,-0.9911308,2.0,0.0,451,447,894,2,2,1,0,true
D:\Pesquisa\Projects\curl-analysis\source\curl\tests\libtest\lib517.c,1.0072464,-0.49275362,1.25,0.25,138,17,28,5,3,4,1,true
D:\Pesquisa\Projects\curl-analysis\source\curl\docs\examples\http2-serverpush.c,1.0070094,-0.24299066,1.25,0.0,214,13,18,5,3,4,0,true
