FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
curl\lib\setopt.c,126,"CURLcode Curl_vsetopt(struct Curl_easy * data, CURLoption option, va_list param)",40.116207,38.673347,1.2428571,0.2,1696,937,1152,70,87,30,14,59,true
curl\lib\vtls\openssl.c,2388,"static CURLcode ossl_connect_step1(struct connectdata * conn, int sockindex)",27.802431,26.029703,1.3863636,0.38636363,404,239,436,44,61,30,17,11,true
curl\lib\ldap.c,260,"static CURLcode Curl_ldap(struct connectdata * conn, bool * done)",23.463072,21.609413,1.3902439,0.46341464,425,224,693,41,57,7,19,13,true
curl\lib\version.c,88,char * curl_version(void),22.263447,20.917292,1.2307693,0.115384616,133,107,138,26,32,16,3,2,true
curl\lib\vtls\schannel.c,202,static int get_alg_id_by_name(char * name),21.81015,20.631578,1.1785715,0.0,114,84,99,28,33,30,0,5,false
curl\lib\version.c,417,curl_version_info_data * curl_version_info(CURLversion stamp),17.482676,15.835617,1.2941177,0.3529412,73,68,100,17,22,14,6,3,true
curl\lib\hostip.c,645,"enum resolve_t Curl_resolv_timeout(struct connectdata * conn, const char * hostname, int port, struct Curl_dns_entry * * entry, timediff_t timeoutms)",16.41817,13.85567,1.3125,1.25,97,84,165,16,21,6,20,7,true
curl\lib\vtls\sectransp.c,1371,"static CURLcode sectransp_connect_step1(struct connectdata * conn, int sockindex)",14.740039,12.380038,1.8,0.56,521,258,713,25,45,15,14,8,false
curl\lib\vtls\gtls.c,519,"static CURLcode gtls_connect_step1(struct connectdata * conn, int sockindex)",14.310893,12.960894,1.2,0.15,358,232,312,20,24,13,3,8,true
curl\lib\strerror.c,716,"const char * Curl_strerror(int err, char * buf, size_t buflen)",13.1,7.2000003,3.3,2.6,75,54,359,10,33,9,26,7,true
curl\lib\nonblock.c,47,"int curlx_nonblock(curl_socket_t sockfd, int nonblock)",12.891625,6.0344825,6.857143,0.0,29,25,190,7,48,7,0,21,false
curl\lib\vtls\wolfssl.c,117,"static CURLcode wolfssl_connect_step1(struct connectdata * conn, int sockindex)",12.341684,10.868,1.2631578,0.21052632,250,143,183,19,24,10,4,6,true
curl\lib\vtls\openssl.c,3195,"static CURLcode get_cert_chain(struct connectdata * conn, struct ssl_connect_data * connssl)",11.827046,9.88587,1.5882353,0.3529412,184,107,211,17,27,6,6,9,true
curl\CMake\CurlTests.c,94,int main(void) #1,11.633333,6.2999997,5.3333335,0.0,40,28,190,9,48,14,0,8,false
curl\tests\libtest\lib670.c,94,int test(char * URL),11.049613,8.449613,2.4,0.2,129,109,264,10,24,6,2,4,true
curl\lib\vtls\openssl.c,3997,"static size_t Curl_ossl_version(char * buffer, size_t size)",10.81978,6.6769233,3.2857144,0.85714287,65,62,347,7,23,6,6,9,true
curl\lib\vssh\libssh2.c,656,static CURLcode ssh_force_knownhost_key_type(struct connectdata * conn),10.497585,8.608696,1.0,0.8888889,115,110,146,9,9,5,8,0,true
curl\lib\vssh\libssh2.c,438,static CURLcode ssh_knownhost(struct connectdata * conn),9.835145,7.710145,1.25,0.875,138,133,186,8,10,7,7,2,true
curl\lib\hostip4.c,122,"Curl_addrinfo * Curl_ipv4_resolve_r(const char * hostname, int port)",9.77027,5.7702703,2.7142856,1.2857143,74,61,281,7,19,6,9,7,true
curl\lib\vtls\openssl.c,1020,static int Curl_ossl_init(void),9.465278,7.6875,1.4444444,0.33333334,48,41,65,9,13,8,3,6,true
curl\lib\vtls\openssl.c,2256,"static CURLcode set_ssl_version_min_max_legacy(ctx_option_t * ctx_options, struct connectdata * conn, int sockindex)",9.170513,7.753846,1.4166666,0.0,65,42,67,12,17,3,0,5,false
curl\lib\vtls\openssl.c,1136,static int Curl_ossl_check_cxn(struct connectdata * conn),9.031359,6.317073,1.4285715,1.2857143,41,37,64,7,10,9,9,1,true
curl\lib\vtls\schannel.c,404,"static CURLcode schannel_connect_step1(struct connectdata * conn, int sockindex)",9.029664,7.2649574,1.3529412,0.4117647,351,150,232,17,23,7,7,6,false
curl\lib\connect.c,494,"static bool verifyconnect(curl_socket_t sockfd, int * error)",8.982143,6.125,1.4285715,1.4285715,40,35,75,7,10,6,10,2,true
curl\src\tool_setopt.c,731,bool tool_setopt_skip(CURLoption tag),8.844298,7.7192984,1.125,0.0,114,110,122,8,9,9,0,1,false
curl\lib\curl_ntlm_core.c,386,"void Curl_ntlm_core_lm_resp(const unsigned char * keys, const unsigned char * plaintext, unsigned char * results)",8.5348835,3.5348837,5.0,0.0,43,38,169,4,20,9,0,6,false
curl\lib\vtls\openssl.c,1087,static void Curl_ossl_cleanup(void),8.478022,6.1923075,1.5714285,0.71428573,26,23,73,7,11,7,5,4,true
curl\lib\md4.c,209,"static void MD4_Final(unsigned char * result, MD4_CTX * ctx) #5",8.333333,0.8333333,7.5,0.0,12,5,45,2,15,4,0,13,false
curl\lib\url.c,1471,"CURLcode Curl_idnconvert_hostname(struct connectdata * conn, struct hostname * host)",8.285714,5.714286,2.142857,0.42857143,49,40,93,7,15,5,3,7,true
curl\tests\server\util.c,213,int wait_ms(int timeout_ms),8.164596,5.021739,2.2857144,0.85714287,46,33,138,7,16,4,6,9,true
curl\src\tool_getpass.c,188,"static bool ttyecho(bool enable, int fd)",7.8973217,5.46875,2.4285715,0.0,32,25,68,7,17,4,0,6,false
