"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\CMake\CurlTests.c.xml,910,68,371,1.9090909090909092,0.8763233328698136,,,,,,,,78,0,0,0,0,0,12,4,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\10-at-a-time.c.xml,215,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\altsvc.c.xml,38,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\anyauthput.c.xml,155,2,5,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\cacertinmem.c.xml,232,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\certinfo.c.xml,78,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\chkspeed.c.xml,272,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\cookie_interface.c.xml,181,1,1,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\crawler.c.xml,337,1,1,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\curl-analysis\_cppstats\curl\docs\examples\curlgtk.c.xml,138,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
