"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,22,38,#if,defined(TIME_WITH_SYS_TIME),TIME_WITH_SYS_TIME
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,40,72,#if,defined(HAVE_FCNTL_O_NONBLOCK),HAVE_FCNTL_O_NONBLOCK
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,47,54,#if,(defined(HAVE_FCNTL_O_NONBLOCK)) && (defined(sun) || defined(__sun__) || defined(__SUNPRO_C) || defined(__SUNPRO_CC)),HAVE_FCNTL_O_NONBLOCK;__SUNPRO_C;__SUNPRO_CC;__sun__;sun
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,49,51,#if,((defined(HAVE_FCNTL_O_NONBLOCK)) && (defined(sun) || defined(__sun__) || defined(__SUNPRO_C) || defined(__SUNPRO_CC))) && (defined(__SVR4) || defined(__srv4__)),HAVE_FCNTL_O_NONBLOCK;__SUNPRO_C;__SUNPRO_CC;__SVR4;__srv4__;__sun__;sun
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,51,53,#else,((defined(HAVE_FCNTL_O_NONBLOCK)) && (defined(sun) || defined(__sun__) || defined(__SUNPRO_C) || defined(__SUNPRO_CC))) && (!(defined(__SVR4) || defined(__srv4__))),HAVE_FCNTL_O_NONBLOCK;__SUNPRO_C;__SUNPRO_CC;__SVR4;__srv4__;__sun__;sun
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,55,57,#if,(defined(HAVE_FCNTL_O_NONBLOCK)) && ((defined(_AIX) || defined(__xlC__)) && !defined(_AIX41)),HAVE_FCNTL_O_NONBLOCK;_AIX;_AIX41;__xlC__
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,59,61,#if,(defined(HAVE_FCNTL_O_NONBLOCK)) && (defined(PLATFORM_SUNOS4) || defined(PLATFORM_AIX_V3) || defined(__BEOS__)),HAVE_FCNTL_O_NONBLOCK;PLATFORM_AIX_V3;PLATFORM_SUNOS4;__BEOS__
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,75,84,#if,defined(HAVE_GETHOSTBYADDR_R_5_REENTRANT) || defined(HAVE_GETHOSTBYADDR_R_7_REENTRANT) || defined(HAVE_GETHOSTBYADDR_R_8_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_3_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_5_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_6_REENTRANT),HAVE_GETHOSTBYADDR_R_5_REENTRANT;HAVE_GETHOSTBYADDR_R_7_REENTRANT;HAVE_GETHOSTBYADDR_R_8_REENTRANT;HAVE_GETHOSTBYNAME_R_3_REENTRANT;HAVE_GETHOSTBYNAME_R_5_REENTRANT;HAVE_GETHOSTBYNAME_R_6_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,85,156,#if,defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,101,107,#if,(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_5_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_3_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_5_REENTRANT;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_3_REENTRANT;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,107,119,#elif,((defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (!(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_5_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_3_REENTRANT)))) && (defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_7_REENTRANT) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYADDR_R_8_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_5_REENTRANT) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(HAVE_GETHOSTBYNAME_R_6_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_5_REENTRANT;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_7_REENTRANT;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYADDR_R_8_REENTRANT;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_3_REENTRANT;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_5_REENTRANT;HAVE_GETHOSTBYNAME_R_6;HAVE_GETHOSTBYNAME_R_6_REENTRANT;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,121,123,#if,(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (!defined(gethostbyaddr_r)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT;gethostbyaddr_r
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,125,129,#if,(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_5_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_5_REENTRANT;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,129,133,#elif,((defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (!(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_5_REENTRANT)))) && (defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_7_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_5_REENTRANT;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_7_REENTRANT;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,133,137,#elif,(((defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (!(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_5_REENTRANT)))) && (!(defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_7_REENTRANT)))) && (defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYADDR_R_8_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_5_REENTRANT;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_7_REENTRANT;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYADDR_R_8_REENTRANT;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,139,142,#if,(defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_3_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_3_REENTRANT;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,142,146,#elif,((defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (!(defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_3_REENTRANT)))) && (defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_5_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_3_REENTRANT;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_5_REENTRANT;HAVE_GETHOSTBYNAME_R_6;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,146,149,#elif,(((defined(HAVE_GETHOSTBYADDR_R_5) || defined(HAVE_GETHOSTBYADDR_R_7) || defined(HAVE_GETHOSTBYADDR_R_8) || defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_6) || defined(TEST_GETHOSTBYFOO_REENTRANT)) && (!(defined(HAVE_GETHOSTBYNAME_R_3) || defined(HAVE_GETHOSTBYNAME_R_3_REENTRANT)))) && (!(defined(HAVE_GETHOSTBYNAME_R_5) || defined(HAVE_GETHOSTBYNAME_R_5_REENTRANT)))) && (defined(HAVE_GETHOSTBYNAME_R_6) || defined(HAVE_GETHOSTBYNAME_R_6_REENTRANT)),HAVE_GETHOSTBYADDR_R_5;HAVE_GETHOSTBYADDR_R_7;HAVE_GETHOSTBYADDR_R_8;HAVE_GETHOSTBYNAME_R_3;HAVE_GETHOSTBYNAME_R_3_REENTRANT;HAVE_GETHOSTBYNAME_R_5;HAVE_GETHOSTBYNAME_R_5_REENTRANT;HAVE_GETHOSTBYNAME_R_6;HAVE_GETHOSTBYNAME_R_6_REENTRANT;TEST_GETHOSTBYFOO_REENTRANT
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,158,175,#if,defined(HAVE_SOCKLEN_T),HAVE_SOCKLEN_T
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,159,161,#if,(defined(HAVE_SOCKLEN_T)) && (defined(_WIN32)),HAVE_SOCKLEN_T;_WIN32
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,161,164,#else,(defined(HAVE_SOCKLEN_T)) && (!(defined(_WIN32))),HAVE_SOCKLEN_T;_WIN32
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,176,191,#if,defined(HAVE_IN_ADDR_T),HAVE_IN_ADDR_T
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,193,208,#if,defined(HAVE_BOOL_T),HAVE_BOOL_T
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,194,196,#if,(defined(HAVE_BOOL_T)) && (defined(HAVE_SYS_TYPES_H)),HAVE_BOOL_T;HAVE_SYS_TYPES_H
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,197,199,#if,(defined(HAVE_BOOL_T)) && (defined(HAVE_STDBOOL_H)),HAVE_BOOL_T;HAVE_STDBOOL_H
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,210,216,#if,defined(STDC_HEADERS),STDC_HEADERS
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,217,234,#if,defined(RETSIGTYPE_TEST),RETSIGTYPE_TEST
D:\Pesquisa\Projects\curl-analysis\_cppstats_featurelocations\curl\CMake\CurlTests.c.xml,220,222,#if,(defined(RETSIGTYPE_TEST)) && (defined(signal)),RETSIGTYPE_TEST;signal
