Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.11520484,0.18384019,0.11105798,0.004146861,0.0727822,929,8365,8826,2128357,265,true
n,0.07582523,0.046658393,0.046383742,0.029441489,2.7464982E-4,388,8365,62662,2128357,1,true
t,0.07582523,0.046658393,0.046383742,0.029441489,2.7464982E-4,388,8365,62662,2128357,1,true
movq,0.04729306,0.029204715,0.028930066,0.018362992,2.7464982E-4,242,8365,39083,2128357,1,true
HAVE_BIGENDIAN,0.02072212,0.031295896,0.019485954,0.0012361648,0.011809942,163,8365,2631,2128357,43,true
PAVGB,0.019427475,0.012503873,0.011954573,0.0074729007,5.4929964E-4,100,8365,15905,2128357,2,true
mm0,0.017197475,0.010794674,0.010520024,0.006677451,2.7464982E-4,88,8365,14212,2128357,1,true
mm2,0.016415771,0.010316491,0.010041841,0.0063739307,2.7464982E-4,84,8365,13566,2128357,1,true
mm5,0.01602492,0.010077399,0.009802749,0.0062221703,2.7464982E-4,82,8365,13243,2128357,1,true
USE_FIXED,0.014785938,0.01721153,0.014465033,3.209048E-4,0.0027464982,121,8365,683,2128357,10,true
mm1,0.014461514,0.009121033,0.008846384,0.0056151296,2.7464982E-4,74,8365,11951,2128357,1,true
FF_REG_a,0.01367981,0.00864285,0.008368201,0.005311609,2.7464982E-4,70,8365,11305,2128357,1,true
mm3,0.013288958,0.008403759,0.00812911,0.005159849,2.7464982E-4,68,8365,10982,2128357,1,true
FF_REG_d,0.012898106,0.0081646675,0.007890018,0.0050080884,2.7464982E-4,66,8365,10659,2128357,1,true
mm7,0.012507254,0.0079255765,0.0076509267,0.004856328,2.7464982E-4,64,8365,10336,2128357,1,true
HAVE_INLINE_ASM,0.012331327,0.016869474,0.0075313807,0.0047999467,0.009338094,63,8365,10216,2128357,34,true
BIT_DEPTH,0.011930996,0.013554042,0.011356844,5.741518E-4,0.0021971986,95,8365,1222,2128357,8,true
mm6,0.010552997,0.006730119,0.0064554694,0.004097527,2.7464982E-4,54,8365,8721,2128357,1,true
HAVE_THREADS,0.010285546,0.019021299,0.009683204,6.0234254E-4,0.009338094,81,8365,1282,2128357,34,true
CONFIG_SMALL,0.010191107,0.014626901,0.009683204,5.079035E-4,0.004943697,81,8365,1081,2128357,18,true
mm4,0.010162145,0.006491028,0.006216378,0.0039457665,2.7464982E-4,52,8365,8398,2128357,1,true
HAVE_ALTIVEC,0.009364925,0.016439721,0.0076509267,0.0017139982,0.008788794,64,8365,3648,2128357,32,true
HAVE_X86ASM,0.00904396,0.01805206,0.007890018,0.0011539417,0.010162043,66,8365,2456,2128357,37,true
FF_REG_c,0.008598737,0.005534662,0.005260012,0.0033387255,2.7464982E-4,44,8365,7106,2128357,1,true
TEMPLATE_PP_MMXEXT,0.007678623,0.007088756,0.0068141064,8.645166E-4,2.7464982E-4,57,8365,1840,2128357,1,true
ARCH_X86_64,0.0073788012,0.012546195,0.007053198,3.2560327E-4,0.0054929964,59,8365,693,2128357,20,true
FF_API_CODED_FRAME,0.006965867,0.01752545,0.0068141064,1.5176025E-4,0.010711343,57,8365,323,2128357,39,true
ARCH_X86_32,0.0067873853,0.01316661,0.006575015,2.1237039E-4,0.0065915957,55,8365,452,2128357,24,true
HAVE_MIPS32R6,0.006611035,0.0075865733,0.0034668262,0.0031442093,0.0041197473,29,8365,6692,2128357,15,true
HAVE_MIPS64R6,0.006611035,0.0075865733,0.0034668262,0.0031442093,0.0041197473,29,8365,6692,2128357,15,true
CONFIG_D3D11VA,0.006578834,0.009082422,0.0063359234,2.4291038E-4,0.0027464982,53,8365,517,2128357,10,true
VA_CHECK_VERSION,0.006387197,0.00801938,0.006096832,2.903648E-4,0.0019225487,51,8365,618,2128357,7,true
CONFIG_DXVA2,0.0063322247,0.00856868,0.006096832,2.3539284E-4,0.0024718484,51,8365,501,2128357,9,true
FF_API_LAVF_AVCTX,0.0059303623,0.008759343,0.005738195,1.92167E-4,0.003021148,48,8365,409,2128357,11,true
NVENCAPI_CHECK_VERSION,0.005841561,0.006012845,0.005738195,1.0336612E-4,2.7464982E-4,48,8365,220,2128357,1,true
CONFIG_ZLIB,0.0056783794,0.008126056,0.0053795576,2.9882204E-4,0.0027464982,45,8365,636,2128357,10,true
"_WIN32",0.0055294386,0.009499305,0.0053795576,1.4988087E-4,0.0041197473,45,8365,319,2128357,15,true
HAVE_UNISTD_H,0.005451444,0.016640201,0.0053795576,7.188644E-5,0.011260643,45,8365,153,2128357,41,true
HAVE_MSA,0.005301009,0.010274826,0.004781829,5.191798E-4,0.0054929964,40,8365,1105,2128357,20,true
FF_API_PRIVATE_OPT,0.005294576,0.011457412,0.005140466,1.5410948E-4,0.006316946,43,8365,328,2128357,23,true
READ,0.005057364,0.006274624,0.0049013747,1.5598886E-4,0.0013732491,41,8365,332,2128357,5,true
TEMPLATE_PP_ALTIVEC,0.0049506845,0.0043392046,0.004064555,8.8612956E-4,2.7464982E-4,34,8365,1886,2128357,1,true
ecx,0.0046902206,0.0031437473,0.0028690975,0.0018211231,2.7464982E-4,24,8365,3876,2128357,1,true
AVFFT,0.0046009985,0.0048173876,0.0045427377,5.8260903E-5,2.7464982E-4,38,8365,124,2128357,1,true
L0,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L1,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L2,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L3,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L4,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L5,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L6,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
L7,0.0042993687,0.0029046559,0.002630006,0.0016693628,2.7464982E-4,22,8365,3553,2128357,1,true
DEBUG,0.004104552,0.00904381,0.0038254634,2.790885E-4,0.0052183466,32,8365,594,2128357,19,true
HAVE_MMI,0.004091866,0.0082198605,0.0038254634,2.6640267E-4,0.004394397,32,8365,567,2128357,16,true
HAVE_MIPSFPU,0.0039348886,0.0046236715,0.0021518231,0.0017830655,0.0024718484,18,8365,3795,2128357,9,true
HAVE_VSX,0.0037991877,0.004397451,0.0027495518,0.0010496359,0.0016478989,23,8365,2234,2128357,6,true
TEMPLATE_PP_MMX,0.0037840323,0.0035023845,0.0032277347,5.5629766E-4,2.7464982E-4,27,8365,1184,2128357,1,true
CONFIG_AVFILTER,0.003714435,0.0042907754,0.0034668262,2.4760884E-4,8.2394946E-4,29,8365,527,2128357,3,true
TEMPLATE_PP_3DNOW,0.00369999,0.003263293,0.0029886432,7.113468E-4,2.7464982E-4,25,8365,1514,2128357,1,true
COMPILE_TEMPLATE_AMD3DNOW,0.0036328621,0.0030242016,0.0027495518,8.8331045E-4,2.7464982E-4,23,8365,1880,2128357,1,true
L2_DIFF_CORE,0.0035176654,0.002426473,0.0021518231,0.0013658423,2.7464982E-4,18,8365,2907,2128357,1,true
stride,0.0035176654,0.002426473,0.0021518231,0.0013658423,2.7464982E-4,18,8365,2907,2128357,1,true
ARCH_X86,0.0032679366,0.005854687,0.003108189,1.5974764E-4,0.0027464982,26,8365,340,2128357,10,true
psadbw,0.0031268136,0.0021873815,0.0019127317,0.001214082,2.7464982E-4,16,8365,2584,2128357,1,true
lea,0.0031268136,0.0021873815,0.0019127317,0.001214082,2.7464982E-4,16,8365,2584,2128357,1,true
HAVE_MMX_INLINE,0.003094214,0.005925804,0.002630006,4.6420784E-4,0.0032957979,22,8365,988,2128357,12,true
CONFIG_LIBVPX_VP9_ENCODER,0.0030570359,0.0034183972,0.0028690975,1.8793839E-4,5.4929964E-4,24,8365,400,2128357,2,true
