File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libpostproc\postprocess.c,5.4766846,-1.4122043,3.2222223,3.6666667,803,63,316,58,9,18,66,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavdevice\bktr.c,4.9340425,-0.26595744,5.2,0.0,282,15,93,26,9,5,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavcodec\nvenc.c,3.8667002,-2.1939058,3.8484848,2.2121212,1805,120,561,127,11,33,73,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavcodec\libopenh264.c,3.7878788,-0.21212122,4.0,0.0,33,7,28,4,4,1,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libswresample\dither_template.c,3.216667,-1.5833333,4.8,0.0,60,19,104,24,5,5,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavcodec\ac3enc_opts_template.c,2.9285715,-0.071428575,3.0,0.0,56,4,12,3,3,1,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavcodec\dirac_dwt_template.c,2.921371,-0.07862903,3.0,0.0,496,13,45,9,4,3,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavcodec\h264_mc_template.c,2.8432837,-0.15671642,3.0,0.0,134,7,27,9,2,3,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavresample\resample_template.c,2.461111,-1.2888889,3.75,0.0,90,29,120,15,4,4,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavutil\tests\lzo.c,2.2916667,-0.375,2.6666667,0.0,56,7,24,8,3,3,0,true
D:\Pesquisa\Projects\ffmpeg-analysis\source\FFmpeg\libavcodec\msmpeg4.c,2.2311828,-0.43548387,2.6666667,0.0,248,36,110,8,5,3,0,true
