FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
FFmpeg\libpostproc\postprocess_template.c,2157,"static inline void RENAME(tempNoiseReducer)(uint8_t * src, int stride, uint8_t * tempBlurred, uint32_t * tempBlurredPast, const int * maxNoise)",158.64151,30.359457,65.15385,63.128204,1327,1033,398299,39,2541,92,2462,45,true
FFmpeg\libavcodec\nvenc.c,133,"static void nvenc_print_driver_requirement(AVCodecContext * avctx, int level)",25.582771,14.27027,6.75,4.5625,37,33,460,16,108,4,73,40,true
FFmpeg\libavutil\ppc\cpu.c,48,int ff_get_cpu_flags_ppc(void),17.76044,9.56044,3.8,4.4,91,87,686,10,38,9,44,13,true
FFmpeg\libavcodec\qsvenc.c,130,"static void dump_video_param(AVCodecContext * avctx, QSVEncContext * q, mfxExtBuffer * * coding_opts)",13.67509,12.322148,1.0,0.3529412,149,108,155,17,17,14,6,0,true
FFmpeg\libpostproc\postprocess.c,558,"static inline void postProcess(const uint8_t src[], int srcStride, uint8_t dst[], int dstStride, int width, int height, const int8_t QPs[], int QPStride, int isColor, pp_mode * vm, pp_context * vc)",13.222222,6.0,3.7777777,3.4444444,33,22,135,9,34,9,31,12,true
FFmpeg\libpostproc\postprocess_template.c,1093,"static inline void RENAME(dering)(uint8_t src[], int stride, PPContext * c)",12.788477,9.888476,1.8,1.1,269,266,1036,10,18,5,11,4,true
FFmpeg\libavutil\cpu.c,267,int av_cpu_count(void),12.428572,5.0,7.428571,0.0,35,25,206,7,52,10,0,15,false
FFmpeg\libpostproc\postprocess_template.c,534,"static inline void RENAME(doVertDefFilter)(uint8_t src[], int stride, PPContext * c)",12.154212,8.93199,2.2222223,1.0,397,394,1380,9,20,4,9,6,true
FFmpeg\libavcodec\qsvenc.c,482,"static int init_video_param(AVCodecContext * avctx, QSVEncContext * q)",11.77258,10.32258,1.05,0.4,279,144,208,20,21,18,8,1,false
FFmpeg\libavcodec\x86\h264dsp_init.c,228,"av_cold void ff_h264dsp_init_x86(H264DSPContext * c, const int bit_depth, const int chroma_format_idc)",10.93111,8.82,1.1111112,1.0,200,196,247,9,10,5,9,0,true
FFmpeg\libavcodec\hevcdec.c,371,"static enum AVPixelFormat get_format(HEVCContext * s, const HEVCSPS * sps)",10.929577,9.929577,1.0,0.0,71,47,47,15,15,6,0,0,false
FFmpeg\libavcodec\tests\fft.c,376,"int main(int argc, char * * argv)",10.576797,9.132353,1.1111112,0.33333334,272,138,220,18,20,5,6,4,false
FFmpeg\libswscale\output.c,2457,"av_cold void ff_sws_init_output_funcs(SwsContext * c, yuv2planar1_fn * yuv2plane1, yuv2planarX_fn * yuv2planeX, yuv2interleavedX_fn * yuv2nv12cX, yuv2packed1_fn * yuv2packed1, yuv2packed2_fn * yuv2packed2, yuv2packedX_fn * yuv2packedX, yuv2anyX_fn * yuv2anyX)",10.289696,8.828157,1.2307693,0.23076923,483,164,296,26,32,3,6,6,false
FFmpeg\libswscale\x86\rgb2rgb_template.c,2494,static av_cold void RENAME(rgb2rgb_init)(void),10.142858,6.571429,2.142857,1.4285715,49,46,109,7,15,8,10,6,true
FFmpeg\libswscale\x86\hscale_fast_bilinear_simd.c,191,"void ff_hyscale_fast_mmxext(SwsContext * c, int16_t * dst, int dstWidth, const uint8_t * src, int srcW, int xInc)",9.885844,8.219178,1.4,0.26666668,73,40,84,15,21,3,4,9,true
FFmpeg\libavcodec\aacdec_template.c,1649,"static int decode_spectrum_and_dequant(AACContext * ac, INTFLOAT coef[1024], GetBitContext * gb, const INTFLOAT sf[120], int pulse_present, const Pulse * pulse, const IndividualChannelStream * ics, enum BandType band_type[120])",9.536679,8.108108,1.4285715,0.0,259,100,149,21,30,2,0,11,false
FFmpeg\fftools\cmdutils.c,1215,"int show_license(void * optctx, const char * opt, const char * arg)",9.5222225,4.7222223,4.8,0.0,72,68,387,5,24,5,0,10,false
FFmpeg\libavcodec\dxva2.c,880,"int ff_dxva2_common_end_frame(AVCodecContext * avctx, AVFrame * frame, const void * pp, unsigned pp_size, const void * qm, unsigned qm_size, int( * commit_bs_si)(AVCodecContext *, DECODER_BUFFER_DESC * bs, DECODER_BUFFER_DESC * slice))",8.231788,7.2317877,1.0,0.0,151,78,78,14,14,2,0,0,false
FFmpeg\libavutil\mem.c,77,void * av_malloc(size_t size),8.147619,4.4333334,3.0,0.71428573,30,19,86,7,21,6,5,11,true
FFmpeg\libavcodec\x86\vp9dsp_init_16bpp_template.c,142,"av_cold void INIT_FUNC(VP9DSPContext * dsp, int bitexact)",7.7666664,5.6,1.1666666,1.0,60,56,83,6,7,4,6,1,true
FFmpeg\libpostproc\postprocess_template.c,1503,"static inline void RENAME(deInterlaceInterpolateCubic)(uint8_t src[], int stride)",7.666667,4.6666665,2.2,0.8,45,42,162,5,11,4,4,2,true
FFmpeg\libswscale\x86\hscale_fast_bilinear_simd.c,281,"void ff_hcscale_fast_mmxext(SwsContext * c, int16_t * dst1, int16_t * dst2, int dstWidth, const uint8_t * src1, const uint8_t * src2, int srcW, int xInc)",7.4896054,5.7972975,1.3846154,0.30769232,74,33,72,13,18,3,4,8,false
FFmpeg\libavcodec\libvpxenc.c,729,"static av_cold int vpx_init(AVCodecContext * avctx, const struct vpx_codec_iface * iface)",7.345723,5.9568343,1.0,0.3888889,278,92,118,18,18,6,7,0,false
FFmpeg\libavutil\cpu.c,191,"int av_parse_cpu_caps(unsigned * flags, const char * s)",7.166667,3.1666667,4.0,0.0,72,57,214,4,16,5,0,6,false
FFmpeg\libavutil\x86\cpu.c,90,int ff_get_cpu_flags_x86(void),6.9663553,4.766355,1.0,1.2,107,102,154,5,5,5,6,0,true
FFmpeg\libavutil\time.c,84,int av_usleep(unsigned usec),6.95,3.2,3.75,0.0,15,12,52,4,15,4,0,6,false
