"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\aix\math.h.xml,6,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\atomics\dummy\stdatomic.h.xml,174,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\atomics\gcc\stdatomic.h.xml,138,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\atomics\pthread\stdatomic.c.xml,22,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\atomics\pthread\stdatomic.h.xml,220,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\atomics\suncc\stdatomic.h.xml,218,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\atomics\win32\stdatomic.h.xml,171,1,10,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\avisynth\avisynth_c.h.xml,1553,4,259,1.105263157894737,0.3153017676423058,,,,,,,,13,8,0,0,0,0,2,2,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\avisynth\avs\capi.h.xml,69,7,20,1.875,0.8345229603962802,,,,,,,,16,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\avisynth\avs\config.h.xml,44,8,9,1.0,0.0,,,,,,,,8,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\avisynth\avs\types.h.xml,24,2,4,1.0,0.0,,,,,,,,4,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats\FFmpeg\compat\avisynth\avxsynth_c.h.xml,941,6,48,1.0434782608695652,0.2085144140570748,,,,,,,,21,0,0,0,0,0,7,2,,
