"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\aix\math.h.xml,22,31,#if,!defined(COMPAT_AIX_MATH_H),COMPAT_AIX_MATH_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\dummy\stdatomic.h.xml,24,176,#if,!defined(COMPAT_ATOMICS_DUMMY_STDATOMIC_H),COMPAT_ATOMICS_DUMMY_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\gcc\stdatomic.h.xml,24,173,#if,!defined(COMPAT_ATOMICS_GCC_STDATOMIC_H),COMPAT_ATOMICS_GCC_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\pthread\stdatomic.h.xml,24,197,#if,!defined(COMPAT_ATOMICS_PTHREAD_STDATOMIC_H),COMPAT_ATOMICS_PTHREAD_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\suncc\stdatomic.h.xml,19,186,#if,!defined(COMPAT_ATOMICS_SUNCC_STDATOMIC_H),COMPAT_ATOMICS_SUNCC_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\win32\stdatomic.h.xml,19,181,#if,!defined(COMPAT_ATOMICS_WIN32_STDATOMIC_H),COMPAT_ATOMICS_WIN32_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\win32\stdatomic.h.xml,122,137,#if,(!defined(COMPAT_ATOMICS_WIN32_STDATOMIC_H)) && (defined(_WIN64)),COMPAT_ATOMICS_WIN32_STDATOMIC_H;_WIN64
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\win32\stdatomic.h.xml,137,152,#else,(!defined(COMPAT_ATOMICS_WIN32_STDATOMIC_H)) && (!(defined(_WIN64))),COMPAT_ATOMICS_WIN32_STDATOMIC_H;_WIN64
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,54,1264,#if,!defined(__AVISYNTH_C__),__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,67,69,#if,(!defined(__AVISYNTH_C__)) && (!defined(__AVISYNTH_6_H__)),__AVISYNTH_6_H__;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,315,324,#if,(!defined(__AVISYNTH_C__)) && (defined(BUILDING_AVSCORE)),BUILDING_AVSCORE;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,485,492,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,551,553,#if,(!defined(__AVISYNTH_C__)) && (defined(SIZETMOD)),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,553,555,#else,(!defined(__AVISYNTH_C__)) && (!(defined(SIZETMOD))),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,570,572,#if,(!defined(__AVISYNTH_C__)) && (defined(SIZETMOD)),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,572,574,#else,(!defined(__AVISYNTH_C__)) && (!(defined(SIZETMOD))),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,576,578,#if,(!defined(__AVISYNTH_C__)) && (defined(SIZETMOD)),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,578,580,#else,(!defined(__AVISYNTH_C__)) && (!(defined(SIZETMOD))),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,586,588,#if,(!defined(__AVISYNTH_C__)) && (defined(SIZETMOD)),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,588,590,#else,(!defined(__AVISYNTH_C__)) && (!(defined(SIZETMOD))),SIZETMOD;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,612,617,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,619,623,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,626,631,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,633,637,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,639,643,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,645,649,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,651,655,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,737,741,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,892,903,#if,(!defined(__AVISYNTH_C__)) && (!defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,936,1262,#if,(!defined(__AVISYNTH_C__)) && (defined(AVSC_NO_DECLSPEC)),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,1111,1158,#if,((!defined(__AVISYNTH_C__)) && (defined(AVSC_NO_DECLSPEC))) && (0),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,1219,1241,#if,((!defined(__AVISYNTH_C__)) && (defined(AVSC_NO_DECLSPEC))) && (0),AVSC_NO_DECLSPEC;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avs\capi.h.xml,33,94,#if,!defined(AVS_CAPI_H),AVS_CAPI_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avs\capi.h.xml,36,38,#if,(!defined(AVS_CAPI_H)) && (defined(__cplusplus)),AVS_CAPI_H;__cplusplus
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avs\capi.h.xml,38,40,#else,(!defined(AVS_CAPI_H)) && (!(defined(__cplusplus))),AVS_CAPI_H;__cplusplus
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avs\capi.h.xml,42,52,#if,(!defined(AVS_CAPI_H)) && (defined(BUILDING_AVSCORE)),AVS_CAPI_H;BUILDING_AVSCORE
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avs\capi.h.xml,43,45,#if,((!defined(AVS_CAPI_H)) && (defined(BUILDING_AVSCORE))) && (defined(GCC) && defined(X86_32)),AVS_CAPI_H;BUILDING_AVSCORE;GCC;X86_32
