"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\aix\math.h.xml,COMPAT_AIX_MATH_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\dummy\stdatomic.h.xml,COMPAT_ATOMICS_DUMMY_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\gcc\stdatomic.h.xml,COMPAT_ATOMICS_GCC_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\pthread\stdatomic.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\pthread\stdatomic.h.xml,COMPAT_ATOMICS_PTHREAD_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\suncc\stdatomic.h.xml,COMPAT_ATOMICS_SUNCC_STDATOMIC_H
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\atomics\win32\stdatomic.h.xml,COMPAT_ATOMICS_WIN32_STDATOMIC_H;_WIN64
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avisynth_c.h.xml,AVSC_NO_DECLSPEC;BUILDING_AVSCORE;SIZETMOD;__AVISYNTH_6_H__;__AVISYNTH_C__
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\compat\avisynth\avs\capi.h.xml,AVSC_NO_DECLSPEC;AVSC_USE_STDCALL;AVSC_WIN32_GCC32;AVS_CAPI_H;BUILDING_AVSCORE;GCC;X86_32;__cplusplus
