Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.1468416,0.20584694,0.14298978,0.0038518193,0.06285714,154,1077,1684,437196,44,true
LIBCURL_VERSION_NUM,0.055605233,0.059067518,0.054781802,8.234293E-4,0.004285714,59,1077,360,437196,3,true
GIT_WINDOWS_NATIVE,0.032976005,0.05206924,0.03064067,0.002335337,0.021428572,33,1077,1021,437196,15,true
USE_CURL_MULTI,0.027644861,0.031212362,0.026926648,7.182133E-4,0.004285714,29,1077,314,437196,3,true
"_MSC_VER",0.023697536,0.0346412,0.023212628,4.8490838E-4,0.011428571,25,1077,212,437196,8,true
NO_IPV6,0.020706303,0.028070036,0.019498607,0.0012076963,0.008571428,21,1077,528,437196,6,true
NO_PTHREADS,0.019331776,0.022855816,0.018570103,7.616721E-4,0.004285714,20,1077,333,437196,3,true
FULLSANITYCHECKS,0.014121998,0.015356149,0.013927577,1.944208E-4,0.0014285714,15,1077,85,437196,1,true
"__GNUC__",0.012232965,0.017784853,0.012070566,1.6239856E-4,0.0057142857,13,1077,71,437196,4,true
NO_OPENSSL,0.011622394,0.012570633,0.011142061,4.8033375E-4,0.0014285714,12,1077,210,437196,1,true
USE_LIBPCRE2,0.009703628,0.010713623,0.009285051,4.1857656E-4,0.0014285714,10,1077,183,437196,1,true
HAVE_VARIADIC_MACROS,0.007775711,0.011713754,0.0074280407,3.4767014E-4,0.004285714,8,1077,152,437196,3,true
"__BYTE_ORDER__",0.0074920855,0.008856612,0.0074280407,6.40445E-5,0.0014285714,8,1077,28,437196,1,true
"__ORDER_BIG_ENDIAN__",0.0074920855,0.008856612,0.0074280407,6.40445E-5,0.0014285714,8,1077,28,437196,1,true
USE_CURL_FOR_IMAP_SEND,0.006778587,0.007928107,0.006499536,2.7905105E-4,0.0014285714,7,1077,122,437196,1,true
LIBCURL_CAN_HANDLE_AUTH_ANY,0.006575017,0.007928107,0.006499536,7.548102E-5,0.0014285714,7,1077,33,437196,1,true
"__BYTE_ORDER",0.006552144,0.007928107,0.006499536,5.2607982E-5,0.0014285714,7,1077,23,437196,1,true
"__BIG_ENDIAN",0.006552144,0.007928107,0.006499536,5.2607982E-5,0.0014285714,7,1077,23,437196,1,true
WIN32,0.0056533734,0.009856745,0.0055710305,8.234293E-5,0.004285714,6,1077,36,437196,3,true
DEBUG_CACHE_TREE,0.0056465114,0.006999602,0.0055710305,7.548102E-5,0.0014285714,6,1077,33,437196,1,true
"__hpux",0.005641937,0.008428173,0.0055710305,7.090641E-5,0.0028571428,6,1077,31,437196,2,true
"__i386__",0.0056213513,0.008428173,0.0055710305,5.032068E-5,0.0028571428,6,1077,22,437196,2,true
"__x86_64__",0.0056213513,0.008428173,0.0055710305,5.032068E-5,0.0028571428,6,1077,22,437196,2,true
"_BYTE_ORDER",0.005612202,0.006999602,0.0055710305,4.1171465E-5,0.0014285714,6,1077,18,437196,1,true
"_BIG_ENDIAN",0.005612202,0.006999602,0.0055710305,4.1171465E-5,0.0014285714,6,1077,18,437196,1,true
THREADCACHEMAX,0.004729443,0.006071097,0.0046425257,8.6917535E-5,0.0014285714,5,1077,38,437196,1,true
NO_CURL_EASY_DUPHANDLE,0.004676835,0.006071097,0.0046425257,3.4309556E-5,0.0014285714,5,1077,15,437196,1,true
"_LITTLE_ENDIAN",0.004676835,0.006071097,0.0046425257,3.4309556E-5,0.0014285714,5,1077,15,437196,1,true
WIN32_NATIVE,0.004654102,0.005142592,0.0037140204,9.400818E-4,0.0014285714,4,1077,411,437196,1,true
HAVE_DEV_TTY,0.004628942,0.005142592,0.0037140204,9.1492146E-4,0.0014285714,4,1077,400,437196,1,true
NO_GETTEXT,0.0039175902,0.005142592,0.0037140204,2.0357002E-4,0.0014285714,4,1077,89,437196,1,true
NO_POSIX_GOODIES,0.003853546,0.0065711634,0.0037140204,1.3952552E-4,0.0028571428,4,1077,61,437196,2,true
"__MINGW32__",0.0038489713,0.007999735,0.0037140204,1.3495091E-4,0.004285714,4,1077,59,437196,3,true
NO_CURL_IOCTL,0.0038100872,0.007999735,0.0037140204,9.606675E-5,0.004285714,4,1077,42,437196,3,true
CURLGSSAPI_DELEGATION_FLAG,0.0037895013,0.005142592,0.0037140204,7.548102E-5,0.0014285714,4,1077,33,437196,1,true
DEBUG,0.0037849268,0.005142592,0.0037140204,7.090641E-5,0.0014285714,4,1077,31,437196,1,true
"__APPLE__",0.0037849268,0.0065711634,0.0037140204,7.090641E-5,0.0028571428,4,1077,31,437196,2,true
HW_MEMSIZE,0.0037734902,0.005142592,0.0037140204,5.9469894E-5,0.0014285714,4,1077,26,437196,1,true
"_DEBUG",0.003741468,0.0065711634,0.0037140204,2.7447644E-5,0.0028571428,4,1077,12,437196,2,true
NO_STRTOULL,0.003741468,0.0065711634,0.0037140204,2.7447644E-5,0.0028571428,4,1077,12,437196,2,true
SHA1DC_BIGENDIAN,0.003741468,0.005142592,0.0037140204,2.7447644E-5,0.0014285714,4,1077,12,437196,1,true
