File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\git-analysis\source\git\compat\snprintf.c,7.27044,-0.3962264,4.0,3.6666667,53,7,40,12,5,3,11,true
D:\Pesquisa\Projects\git-analysis\source\git\wrapper.c,3.9130435,-0.08695652,2.25,1.75,506,11,32,9,5,4,7,true
D:\Pesquisa\Projects\git-analysis\source\git\utf8.c,3.5891914,-0.66080844,2.25,2.0,569,94,125,9,6,4,8,true
D:\Pesquisa\Projects\git-analysis\source\git\builtin\gc.c,3.5753908,-0.22460938,3.2,0.6,512,23,126,16,6,5,3,true
D:\Pesquisa\Projects\git-analysis\source\git\block-sha1\sha1.c,3.5321636,-0.46783626,4.0,0.0,171,16,74,20,5,5,0,true
D:\Pesquisa\Projects\git-analysis\source\git\sha1-file.c,2.9947312,-0.0052687037,3.0,0.0,1898,10,30,3,3,1,0,true
D:\Pesquisa\Projects\git-analysis\source\git\refs\packed-backend.c,2.6447918,-0.021875,2.6666667,0.0,960,7,24,8,3,3,0,true
D:\Pesquisa\Projects\git-analysis\source\git\entry.c,1.9925559,-0.007444169,2.0,0.0,403,3,6,2,2,1,0,true
D:\Pesquisa\Projects\git-analysis\source\git\zlib.c,1.9855072,-0.014492754,2.0,0.0,207,3,6,2,2,1,0,true
D:\Pesquisa\Projects\git-analysis\source\git\t\helper\test-path-utils.c,1.7760814,-0.22391857,2.0,0.0,393,44,88,4,2,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\contrib\credential\gnome-keyring\git-credential-gnome-keyring.c,1.7412281,-0.59210527,1.6666666,0.6666667,304,60,171,5,4,3,2,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\winansi.c,1.531812,-0.6348548,1.3333334,0.8333333,482,51,85,8,5,6,5,true
D:\Pesquisa\Projects\git-analysis\source\git\fast-import.c,1.4872483,-0.012751678,1.5,0.0,2980,19,35,3,2,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\git.c,1.4718707,-0.028129395,1.5,0.0,711,10,14,3,2,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\setup.c,1.4582899,-0.041710116,1.5,0.0,959,20,38,3,2,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\mailmap.c,1.4479554,-0.05204461,1.5,0.0,269,7,12,3,2,2,0,true
