FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
git\sha1dc\sha1.c,1303,"static void sha1_recompression_step(uint32_t step, uint32_t ihvin[5], uint32_t ihvout[5], const uint32_t me2[80], const uint32_t state[5])",79.43137,78.43137,1.0,0.0,408,400,400,80,80,80,0,0,false
git\sha1dc\sha1.c,385,"void sha1_compression_states(uint32_t ihv[5], const uint32_t m[16], uint32_t W[80], uint32_t states[80][5])",59.895706,58.895706,1.0,0.0,326,240,240,80,80,80,0,0,false
git\thread-utils.c,21,int online_cpus(void),12.9,7.4,2.75,2.75,40,37,257,8,22,10,22,6,true
git\http.c,857,static CURL * get_curl_handle(void),10.710526,9.5,1.2105263,0.0,200,100,115,19,23,6,0,3,false
git\compat\nedmalloc\nedmalloc.c,202,static FORCEINLINE unsigned int size2binidx(size_t _size) THROWSPEC,8.375,4.375,3.0,1.0,40,35,235,5,15,3,5,6,true
git\builtin\gc.c,239,static uint64_t total_ram(void),8.059259,4.259259,3.2,0.6,27,23,126,5,16,6,3,4,true
git\compat\poll\poll.c,304,"int poll(struct pollfd * pfd, nfds_t nfd, int timeout)",7.32,4.92,1.4,1.0,250,246,431,5,7,4,5,4,true
git\http.c,1472,void run_active_slot(struct active_request_slot * slot),6.01,3.76,1.5,0.75,50,47,75,4,6,3,3,2,true
git\packfile.c,452,static unsigned int get_max_fd_limit(void),4.7045455,3.4545455,1.25,0.0,22,19,23,4,5,4,0,1,false
git\http.c,1109,"void http_init(struct remote * remote, const char * url, int proactive_auth)",3.7692308,2.7692308,1.0,0.0,104,48,48,6,6,3,0,1,false
git\sha1-file.c,1029,"int git_open_cloexec(const char * name, int flags)",3.4761906,0.47619048,3.0,0.0,21,10,30,1,3,3,0,0,false
git\setup.c,1309,int daemonize(void),3.2391305,1.7391304,1.5,0.0,23,20,38,2,3,2,0,1,false
git\daemon.c,676,static void lookup_hostname(struct hostinfo * hi),3.2333333,1.7333333,1.5,0.0,45,39,58,2,3,2,0,3,false
git\http.c,525,static void set_proxyauth_name_password(CURL * result),3.1666665,1.6666666,1.5,0.0,18,15,26,2,3,2,0,1,false
git\thread-utils.c,68,int init_recursive_mutex(pthread_mutex_t * m),3.147059,1.6470588,1.5,0.0,17,14,18,2,3,2,0,3,false
git\ident.c,98,"static int canonical_name(const char * host, struct strbuf * out)",3.0652175,1.5652174,1.5,0.0,23,18,26,2,3,2,0,3,false
git\compat\poll\poll.c,250,"static int compute_revents(int fd, int sought, fd_set * rfds, fd_set * wfds, fd_set * efds)",3.0555556,0.5555556,2.5,0.0,36,10,27,2,5,3,0,1,false
git\run-command.c,524,static void atfork_parent(struct atfork_state * as),3.0,1.5,1.5,0.0,12,9,16,2,3,2,0,1,false
git\run-command.c,1289,int finish_async(struct async * async),2.9545455,1.4545455,1.5,0.0,11,8,15,2,3,2,0,1,false
git\http-push.c,1677,static void run_request_queue(void),2.9411764,1.9411765,1.0,0.0,17,11,11,3,3,1,0,0,false
git\exec-cmd.c,170,"static int git_get_exec_path(struct strbuf * buf, const char * argv0)",2.92,1.92,1.0,0.0,25,12,12,4,4,4,0,0,false
git\http.c,293,"static int http_options(const char * var, const char * value, void * cb)",2.8938355,1.6438357,1.25,0.0,146,30,40,8,10,4,0,3,false
git\grep.c,658,"static void compile_regexp(struct grep_pat * p, struct grep_opt * opt)",2.8095238,1.4761904,1.3333334,0.0,63,31,35,3,4,2,0,1,false
git\daemon.c,966,"static const char * ip2str(int family, struct sockaddr * sin, socklen_t len)",2.7619047,1.4285715,1.3333334,0.0,21,10,14,3,4,2,0,2,false
git\compat\strtoimax.c,3,"intmax_t gitstrtoimax(const char * nptr, char * * endptr, int base)",2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
git\compat\strtoumax.c,3,"uintmax_t gitstrtoumax(const char * nptr, char * * endptr, int base)",2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
git\ident.c,492,static int ident_is_sufficient(int user_ident_explicitly_given),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,3,false
git\run-command.c,1302,int async_with_fork(void),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
git\run-command.c,667,int start_command(struct child_process * cmd),2.7345679,1.2345679,1.5,0.0,243,150,197,2,3,2,0,3,false
git\run-command.c,507,static void atfork_prepare(struct atfork_state * as),2.7,1.2,1.5,0.0,15,9,16,2,3,2,0,1,false
git\http.c,486,static void init_curl_http_auth(CURL * result),2.642857,1.1428572,1.5,0.0,21,12,22,2,3,2,0,1,false
git\read-cache.c,332,"static int is_racy_stat(const struct index_state * istate, const struct stat_data * sd)",2.5769231,1.0769231,1.5,0.0,13,7,11,2,3,2,0,1,false
git\http.c,1300,struct active_request_slot * get_active_slot(void),2.557143,1.3571429,1.2,0.0,70,19,23,5,6,5,0,1,false
git\http.c,459,static int curl_empty_auth_enabled(void),2.5,1.0,1.5,0.0,12,6,12,2,3,2,0,3,false
git\run-command.c,1174,int start_async(struct async * async),2.4896908,0.9896907,1.5,0.0,97,48,72,2,3,2,0,1,false
git\imap-send.c,1535,"int cmd_main(int argc, const char * * argv)",2.4848485,0.8181819,1.6666666,0.0,55,15,28,3,5,3,0,3,false
git\compat\mingw.c,2296,int mingw_raise(int sig),2.4142857,0.9142857,1.5,0.0,35,16,21,2,3,2,0,1,false
git\compat\nedmalloc\nedmalloc.c,375,"static void * threadcache_malloc(nedpool * p, threadcache * tc, size_t * size) THROWSPEC",2.402439,1.402439,1.0,0.0,82,23,23,5,5,3,0,1,false
git\imap-send.c,958,"static struct imap_store * imap_open_store(struct imap_server_conf * srvc, char * folder)",2.3865247,1.0531914,1.3333334,0.0,188,66,89,3,4,3,0,4,false
git\compat\mingw.c,2770,"int wmain(int argc, const wchar_t * * wargv)",2.2520325,0.58536583,1.0,0.6666667,41,8,14,3,3,3,2,0,false
git\grep.c,409,"static void compile_pcre1_regexp(struct grep_pat * p, const struct grep_opt * opt) #1",2.25,0.25,2.0,0.0,28,7,14,1,2,2,0,1,false
git\compat\nedmalloc\nedmalloc.c,473,"static void threadcache_free(nedpool * p, threadcache * tc, int mymspace, void * mem, size_t size) THROWSPEC",2.169231,1.1692308,1.0,0.0,65,19,19,4,4,2,0,0,false
git\entry.c,405,"static void mark_colliding_entries(const struct checkout * state, struct cache_entry * ce, struct stat * st)",2.142857,0.14285715,2.0,0.0,21,3,6,1,2,2,0,0,false
