"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\git-analysis\_cppstats\git\abspath.c.xml,327,2,3,1.0,0.0,,,,,,,,1,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\add-interactive.c.xml,1870,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\add-interactive.h.xml,60,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\add-patch.c.xml,2696,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\advice.c.xml,526,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\advice.h.xml,140,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\alias.c.xml,174,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\alias.h.xml,10,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\alloc.c.xml,208,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\alloc.h.xml,28,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\apply.c.xml,7414,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\apply.h.xml,226,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\archive-tar.c.xml,812,2,4,1.0,0.0,,,,,,,,4,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\archive-zip.c.xml,1120,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\archive.c.xml,980,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\archive.h.xml,86,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\argv-array.c.xml,178,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\argv-array.h.xml,36,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\attr.c.xml,1635,1,22,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\attr.h.xml,86,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\banned.h.xml,35,1,4,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\base85.c.xml,236,1,32,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\bisect.c.xml,1594,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\bisect.h.xml,66,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\blame.c.xml,3768,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\blame.h.xml,168,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\blob.c.xml,32,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\blob.h.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\block-sha1\sha1.c.xml,334,4,9,1.0,0.0,,,,,,,,5,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\block-sha1\sha1.h.xml,24,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\branch.c.xml,640,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\branch.h.xml,50,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin.h.xml,290,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\add.c.xml,988,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\am.c.xml,3310,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\annotate.c.xml,24,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\apply.c.xml,50,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\archive.c.xml,160,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\bisect--helper.c.xml,1150,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\blame.c.xml,1867,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\branch.c.xml,1392,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\bundle.c.xml,306,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\cat-file.c.xml,1128,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-attr.c.xml,312,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-ignore.c.xml,328,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-mailmap.c.xml,106,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-ref-format.c.xml,134,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\checkout-index.c.xml,438,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\checkout.c.xml,2846,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\clean.c.xml,1668,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\clone.c.xml,2050,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\column.c.xml,102,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\commit-graph.c.xml,396,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
