"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\abspath.c.xml,58,60,#if,defined(GIT_WINDOWS_NATIVE),GIT_WINDOWS_NATIVE
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\abspath.c.xml,65,67,#if,!defined(MAXSYMLINKS),MAXSYMLINKS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\abspath.c.xml,250,252,#if,defined(GIT_WINDOWS_NATIVE),GIT_WINDOWS_NATIVE
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\add-interactive.h.xml,1,41,#if,!defined(ADD_INTERACTIVE_H),ADD_INTERACTIVE_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\advice.h.xml,1,95,#if,!defined(ADVICE_H),ADVICE_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\alias.h.xml,1,12,#if,!defined(ALIAS_H),ALIAS_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\alloc.h.xml,1,21,#if,!defined(ALLOC_H),ALLOC_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\apply.h.xml,1,190,#if,!defined(APPLY_H),APPLY_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive-tar.c.xml,30,32,#if,ULONG_MAX == 0xFFFFFFFF,ULONG_MAX
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive-tar.c.xml,32,34,#else,!(ULONG_MAX == 0xFFFFFFFF),ULONG_MAX
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive-tar.c.xml,35,37,#if,TIME_MAX == 0xFFFFFFFF,TIME_MAX
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive-tar.c.xml,37,39,#else,!(TIME_MAX == 0xFFFFFFFF),TIME_MAX
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive.h.xml,1,60,#if,!defined(ARCHIVE_H),ARCHIVE_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\argv-array.h.xml,1,89,#if,!defined(ARGV_ARRAY_H),ARGV_ARRAY_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\attr.c.xml,26,28,#if,!defined(DEBUG_ATTR),DEBUG_ATTR
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\attr.c.xml,791,812,#if,DEBUG_ATTR,DEBUG_ATTR
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\attr.c.xml,812,816,#else,!(DEBUG_ATTR),DEBUG_ATTR
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\attr.h.xml,1,212,#if,!defined(ATTR_H),ATTR_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\banned.h.xml,1,32,#if,!defined(BANNED_H),BANNED_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\banned.h.xml,24,27,#if,(!defined(BANNED_H)) && (defined(HAVE_VARIADIC_MACROS)),BANNED_H;HAVE_VARIADIC_MACROS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\banned.h.xml,27,30,#else,(!defined(BANNED_H)) && (!(defined(HAVE_VARIADIC_MACROS))),BANNED_H;HAVE_VARIADIC_MACROS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\base85.c.xml,5,9,#if,defined(DEBUG_85),DEBUG_85
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\base85.c.xml,9,13,#else,!(defined(DEBUG_85)),DEBUG_85
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\base85.c.xml,104,132,#if,defined(DEBUG_85),DEBUG_85
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\bisect.h.xml,1,71,#if,!defined(BISECT_H),BISECT_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\blame.h.xml,1,190,#if,!defined(BLAME_H),BLAME_H
