"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\abspath.c.xml,GIT_WINDOWS_NATIVE;MAXSYMLINKS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\add-interactive.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\add-interactive.h.xml,ADD_INTERACTIVE_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\add-patch.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\advice.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\advice.h.xml,ADVICE_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\alias.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\alias.h.xml,ALIAS_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\alloc.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\alloc.h.xml,ALLOC_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\apply.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\apply.h.xml,APPLY_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive-tar.c.xml,TIME_MAX;ULONG_MAX
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive-zip.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\archive.h.xml,ARCHIVE_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\argv-array.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\argv-array.h.xml,ARGV_ARRAY_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\attr.c.xml,DEBUG_ATTR
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\attr.h.xml,ATTR_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\banned.h.xml,BANNED_H;HAVE_VARIADIC_MACROS
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\base85.c.xml,DEBUG_85
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\bisect.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\bisect.h.xml,BISECT_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\blame.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\blame.h.xml,BLAME_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\blob.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\blob.h.xml,BLOB_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\block-sha1\sha1.c.xml,__GNUC__;__arm__;__i386__;__x86_64__
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\block-sha1\sha1.h.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\branch.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\branch.h.xml,BRANCH_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin.h.xml,BUILTIN_H
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\add.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\am.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\annotate.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\apply.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\archive.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\bisect--helper.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\blame.c.xml,DEBUG_BLAME
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\branch.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\bundle.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\cat-file.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\check-attr.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\check-ignore.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\check-mailmap.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\check-ref-format.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\checkout-index.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\checkout.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\clean.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\clone.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\column.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\commit-graph.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\commit-tree.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\commit.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\config.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\count-objects.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\credential.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\describe.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\diff-files.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\diff-index.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\diff-tree.c.xml,
