Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.2283721,0.38922107,0.14239714,0.08597496,0.24682395,398,2795,12175,141611,136,true
LTC_TEST,0.113657705,0.19760266,0.06511628,0.048541427,0.13248639,182,2795,6874,141611,73,true
LTC_CLEAN_STACK,0.098552525,0.299588,0.090876564,0.0076759574,0.20871143,254,2795,1087,141611,115,true
LTC_TEST_EXT,0.081405684,0.040279344,0.025760286,0.055645395,0.014519056,72,2795,7880,141611,8,true
LTC_DER,0.06449317,0.14628404,0.024686942,0.039806228,0.1215971,69,2795,5637,141611,67,true
LTC_MECC,0.062009938,0.10426189,0.018962434,0.043047503,0.085299455,53,2795,6096,141611,47,true
FP_LUT,0.05065744,0.008612735,0.0067978534,0.043859586,0.001814882,19,2795,6211,141611,1,true
LTC_SMALL_CODE,0.032848,0.032128282,0.01216458,0.02068342,0.019963702,34,2795,2929,141611,11,true
LTC_FAST,0.027142052,0.07915937,0.022898031,0.0042440207,0.056261342,64,2795,601,141611,31,true
LTC_DES,0.022408687,0.018044926,0.007155635,0.015253052,0.010889292,20,2795,2160,141611,6,true
LTC_MRSA,0.02168129,0.05211796,0.010375671,0.011305619,0.041742288,29,2795,1601,141611,23,true
LTC_TEST_DBG,0.018592905,0.044396758,0.017173525,0.0014193812,0.027223231,48,2795,201,141611,15,true
LTC_GCM_MODE,0.017564412,0.040896855,0.00822898,0.009335433,0.032667875,23,2795,1322,141611,18,true
LTC_MDSA,0.017161902,0.04452662,0.00822898,0.008932922,0.03629764,23,2795,1265,141611,20,true
LTC_TWOFISH_TABLES,0.015132828,0.016178098,0.010733453,0.0043993755,0.005444646,30,2795,623,141611,3,true
LTC_PKCS_1,0.015092853,0.039081976,0.00822898,0.0068638735,0.030852994,23,2795,972,141611,17,true
LTC_NO_FILE,0.015048107,0.03869822,0.009660107,0.0053879996,0.029038113,27,2795,763,141611,16,true
LTC_TWOFISH_SMALL,0.014607876,0.01686769,0.013237925,0.0013699501,0.003629764,37,2795,194,141611,2,true
LTC_OCB3_MODE,0.014393773,0.03800863,0.007155635,0.0072381385,0.030852994,20,2795,1025,141611,17,true
LTC_MECC_FP,0.014386747,0.014083356,0.005008945,0.009377803,0.00907441,14,2795,1328,141611,5,true
LTC_CURVE25519,0.014236041,0.044884406,0.0085867625,0.005649279,0.03629764,24,2795,800,141611,20,true
LTC_CCM_MODE,0.012574258,0.029317975,0.005724508,0.0068497504,0.023593467,16,2795,970,141611,13,true
LTC_MDH,0.0123412255,0.031132856,0.005724508,0.0066167177,0.025408348,16,2795,937,141611,14,true
