File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\demos\constants.c,2.3181818,-0.18181819,2.5,0.0,55,5,15,5,2,2,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\demos\sizes.c,2.3181818,-0.18181819,2.5,0.0,55,5,15,5,2,2,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\asn1\der\general\der_encode_asn1_length.c,2.121212,-2.878788,2.6666667,2.3333333,99,95,294,8,4,3,7,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\ecc\ltc_ecc_projective_dbl_point.c,2.0357141,-0.96428573,3.0,0.0,112,108,324,3,3,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\ecc\ltc_ecc_projective_add_point.c,2.0307693,-0.9692308,3.0,0.0,130,126,378,3,3,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\demos\aesgcm.c,1.5965517,-0.6034483,1.4,0.8,116,14,31,7,5,5,4,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\asn1\der\utf8\der_encode_utf8_string.c,0.673913,-1.826087,1.5,1.0,46,42,48,3,2,2,2,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\math\rand_prime.c,0.65999997,-1.84,2.0,0.5,50,46,141,4,4,2,1,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\demos\openssl-enc.c,0.61928934,-0.38071066,1.0,0.0,197,15,15,5,5,5,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\misc\crypt\crypt_prng_rng_descriptor.c,0.57142854,-0.42857143,1.0,0.0,7,3,3,1,1,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_init.c,0.39999998,-0.6,1.0,0.0,10,6,6,1,1,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\asn1\der\general\der_length_asn1_identifier.c,0.39999998,-0.6,1.0,0.0,10,6,6,1,1,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\asn1\der\general\der_length_asn1_length.c,0.39999998,-0.6,1.0,0.0,10,6,6,1,1,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\ecc\ecc_ansi_x963_export.c,0.39999998,-0.6,1.0,0.0,10,6,6,1,1,1,0,true
D:\Pesquisa\Projects\libtomcrypt-analysis\source\libtomcrypt\src\pk\pkcs1\pkcs_1_os2ip.c,0.39999998,-0.6,1.0,0.0,10,6,6,1,1,1,0,true
