"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\aesgcm.c.xml,224,4,7,1.5,0.5773502691896257,,,,,,,,2,0,0,0,0,0,3,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\constants.c.xml,102,1,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\gcm-file\gcm_file.c.xml,86,2,40,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,246,5,114,2.7142857142857144,0.951189731211342,,,,,,,,4,0,0,0,0,0,6,4,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\hashsum.c.xml,481,10,11,1.0,0.0,,,,,,,,3,7,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\ltcrypt.c.xml,300,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\openssl-enc.c.xml,381,5,5,1.0,0.0,,,,,,,,5,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\sizes.c.xml,102,1,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\small.c.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\timing.c.xml,2372,48,822,1.7755102040816326,0.510934850806546,,,,,,,,18,10,0,0,0,0,44,3,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\demos\tv_gen.c.xml,1343,12,426,1.0,0.0,,,,,,,,8,0,0,0,0,0,12,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\etc\saferp_optimizer.c.xml,222,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\etc\whirlgen.c.xml,128,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\etc\whirltest.c.xml,18,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\rsa-testvectors\oaep-vect.c.xml,2141,1,602,1.0,0.0,,,,,,,,0,12,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\rsa-testvectors\pkcs1v15crypt-vectors.c.xml,8216,1,3422,1.0,0.0,,,,,,,,0,17,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\rsa-testvectors\pkcs1v15sign-vectors.c.xml,6412,1,2567,1.0,0.0,,,,,,,,0,17,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\notes\rsa-testvectors\pss-vect.c.xml,2141,1,602,1.0,0.0,,,,,,,,0,12,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\aes\aes.c.xml,1153,6,557,2.2941176470588234,0.5878675320972554,,,,,,,,12,0,0,0,0,0,14,3,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\aes\aes_tab.c.xml,1938,4,963,2.142857142857143,0.6900655593423541,,,,,,,,8,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\anubis.c.xml,2728,4,1354,2.0,0.6324555320336759,,,,,,,,6,2,0,0,0,0,2,3,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\blowfish.c.xml,1031,4,504,1.9090909090909092,0.30151134457776363,,,,,,,,9,0,0,0,0,0,6,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\camellia.c.xml,1089,1,542,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\cast5.c.xml,1231,4,602,1.9090909090909092,0.30151134457776363,,,,,,,,14,0,0,0,0,0,3,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\des.c.xml,3736,4,1853,1.9166666666666667,0.28867513459481287,,,,,,,,11,0,0,0,0,0,8,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\idea.c.xml,380,3,185,1.75,0.5,,,,,,,,1,0,0,0,0,0,4,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\kasumi.c.xml,478,2,235,1.5,0.7071067811865476,,,,,,,,1,0,0,0,0,0,2,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\khazad.c.xml,1478,2,735,1.5,0.7071067811865476,,,,,,,,1,0,0,0,0,0,2,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\kseed.c.xml,579,2,285,1.5,0.7071067811865476,,,,,,,,1,0,0,0,0,0,2,2,,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats\libtomcrypt\src\ciphers\multi2.c.xml,489,1,242,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
