"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\aesgcm.c.xml,42,46,#if,defined(__linux__) && defined(__GLIBC_PREREQ),__GLIBC_PREREQ;__linux__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\aesgcm.c.xml,43,45,#if,"(defined(__linux__) && defined(__GLIBC_PREREQ)) && (__GLIBC_PREREQ(2, 14))",__GLIBC_PREREQ;__linux__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\aesgcm.c.xml,54,62,#if,!defined(_WIN32),_WIN32
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\aesgcm.c.xml,56,58,#if,(!defined(_WIN32)) && (defined(HAS_SYNCFS)),HAS_SYNCFS;_WIN32
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\aesgcm.c.xml,58,60,#else,(!defined(_WIN32)) && (!(defined(HAS_SYNCFS))),HAS_SYNCFS;_WIN32
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\constants.c.xml,11,13,#if,defined(_POSIX_C_SOURCE) && _POSIX_C_SOURCE >= 200112L,_POSIX_C_SOURCE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\constants.c.xml,13,15,#else,!(defined(_POSIX_C_SOURCE) && _POSIX_C_SOURCE >= 200112L),_POSIX_C_SOURCE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_file.c.xml,17,89,#if,defined(LTC_GCM_MODE),LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_file.c.xml,18,88,#if,(defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE)),LTC_GCM_MODE;LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,17,197,#if,defined(LTC_GCM_MODE),LTC_GCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,18,196,#if,(defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE)),LTC_GCM_MODE;LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,20,22,#if,((defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE))) && (defined(_MSC_VER)),LTC_GCM_MODE;LTC_NO_FILE;_MSC_VER
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,22,24,#else,((defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE))) && (!(defined(_MSC_VER))),LTC_GCM_MODE;LTC_NO_FILE;_MSC_VER
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,88,90,#if,((defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE))) && (!defined(LTC_GCM_TABLES_SSE2)),LTC_GCM_MODE;LTC_GCM_TABLES_SSE2;LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,90,92,#else,((defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE))) && (!(!defined(LTC_GCM_TABLES_SSE2))),LTC_GCM_MODE;LTC_GCM_TABLES_SSE2;LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,106,110,#if,((defined(LTC_GCM_MODE)) && (!defined(LTC_NO_FILE))) && (defined(LTC_GCM_TABLES_SSE2)),LTC_GCM_MODE;LTC_GCM_TABLES_SSE2;LTC_NO_FILE
