"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\aesgcm.c.xml,HAS_SYNCFS;_WIN32;__GLIBC_PREREQ;__linux__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\constants.c.xml,_POSIX_C_SOURCE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_file.c.xml,LTC_GCM_MODE;LTC_NO_FILE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\gcm-file\gcm_filehandle.c.xml,LTC_CLEAN_STACK;LTC_GCM_MODE;LTC_GCM_TABLES_SSE2;LTC_NO_FILE;_MSC_VER
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\hashsum.c.xml,LTC_SHA1;LTC_SHA224;LTC_SHA256;LTC_SHA384;LTC_SHA512;LTC_SHA512_224;LTC_SHA512_256;PATH_MAX;_MSC_VER;_POSIX_C_SOURCE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\ltcrypt.c.xml,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\openssl-enc.c.xml,LTC_CBC_MODE;LTC_MD5;LTC_PKCS_5;LTC_RIJNDAEL;LTC_RNG_GET_BYTES
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\sizes.c.xml,_POSIX_C_SOURCE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\small.c.xml,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\timing.c.xml,EXT_MATH_LIB;LTC_CBC_MODE;LTC_CCM_MODE;LTC_CTR_MODE;LTC_EAX_MODE;LTC_ECB_MODE;LTC_ECC_SECP112R1;LTC_ECC_SECP128R1;LTC_ECC_SECP160R1;LTC_ECC_SECP192R1;LTC_ECC_SECP224R1;LTC_ECC_SECP256R1;LTC_ECC_SECP384R1;LTC_ECC_SECP512R1;LTC_F9_MODE;LTC_GCM_MODE;LTC_GCM_TABLES_SSE2;LTC_HMAC;LTC_LRW_MODE;LTC_MDH;LTC_MDSA;LTC_MECC;LTC_MRSA;LTC_NO_ASM;LTC_OCB3_MODE;LTC_OCB_MODE;LTC_OMAC;LTC_PELICAN;LTC_PMAC;LTC_PPC32;LTC_PROFILE;LTC_XCBC;TFM_DESC;TFM_PPC32;USE_GMP;USE_LTM;USE_TFM;_M_AMD64;_M_IA64;_M_IX86;_WIN32;__GNUC__;__INTEL_COMPILER;__arch64__;__i386__;__ia64__;__sparc__;__x86_64__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\demos\tv_gen.c.xml,EXT_MATH_LIB;LTC_CCM_MODE;LTC_EAX_MODE;LTC_GCM_MODE;LTC_LRW_MODE;LTC_OCB3_MODE;LTC_OCB_MODE;LTC_OMAC;LTC_PMAC;USE_GMP;USE_LTM;USE_TFM
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\etc\saferp_optimizer.c.xml,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\etc\whirlgen.c.xml,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\etc\whirltest.c.xml,
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\rsa-testvectors\oaep-vect.c.xml,LTC_TEST_EXT
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\rsa-testvectors\pkcs1v15crypt-vectors.c.xml,LTC_TEST_EXT
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\rsa-testvectors\pkcs1v15sign-vectors.c.xml,LTC_TEST_EXT
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\notes\rsa-testvectors\pss-vect.c.xml,LTC_TEST_EXT
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\aes\aes.c.xml,ENCRYPT_ONLY;LTC_CLEAN_STACK;LTC_RIJNDAEL;LTC_SMALL_CODE;LTC_TEST;_MSC_VER
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\aes\aes_tab.c.xml,ENCRYPT_ONLY;LTC_SMALL_CODE;PELI_TAB;__LTC_AES_TAB_C__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\anubis.c.xml,LTC_ANUBIS;LTC_ANUBIS_TWEAK;LTC_CLEAN_STACK;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\blowfish.c.xml,LTC_BLOWFISH;LTC_CLEAN_STACK;LTC_TEST;__GNUC__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\camellia.c.xml,LTC_CAMELLIA
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\cast5.c.xml,LTC_CAST5;LTC_CLEAN_STACK;LTC_TEST;_MSC_VER
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\des.c.xml,LTC_CLEAN_STACK;LTC_DES;LTC_SMALL_CODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\idea.c.xml,LTC_CLEAN_STACK;LTC_IDEA;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\kasumi.c.xml,LTC_KASUMI;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\khazad.c.xml,LTC_KHAZAD;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\kseed.c.xml,LTC_KSEED;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\multi2.c.xml,LTC_MULTI2
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\noekeon.c.xml,LTC_CLEAN_STACK;LTC_NOEKEON;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\rc2.c.xml,LTC_CLEAN_STACK;LTC_RC2;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\rc5.c.xml,LTC_CLEAN_STACK;LTC_RC5;LTC_TEST
