Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.45254228,0.6051948,0.27552447,0.17701781,0.32967034,394,1430,18572,104916,60,true
LV_USE_ANIMATION,0.13070163,0.2032967,0.115384616,0.015317015,0.08791209,165,1430,1607,104916,16,true
LV_USE_GROUP,0.0668054,0.196004,0.053146854,0.013658546,0.14285715,76,1430,1433,104916,26,true
LV_COLOR_DEPTH,0.061326794,0.11778222,0.057342656,0.0039841398,0.06043956,82,1430,418,104916,11,true
LV_FONT_ROBOTO_28,0.041897666,0.006893107,0.0013986015,0.040499065,0.0054945056,2,1430,4249,104916,1,true
LV_FONT_ROBOTO_12_SUBPX,0.03055526,0.006893107,0.0013986015,0.029156659,0.0054945056,2,1430,3059,104916,1,true
LV_ANTIALIAS,0.030343382,0.056743257,0.023776224,0.0065671583,0.032967035,34,1430,689,104916,6,true
LV_FONT_ROBOTO_22,0.02869663,0.006893107,0.0013986015,0.02729803,0.0054945056,2,1430,2864,104916,1,true
LV_USE_EXT_CLICK_AREA,0.028041268,0.037562437,0.026573427,0.001467841,0.010989011,38,1430,154,104916,2,true
LV_FONT_ROBOTO_28_COMPRESSED,0.021328831,0.006893107,0.0013986015,0.01993023,0.0054945056,2,1430,2091,104916,1,true
LV_USE_BIDI,0.019988298,0.042857144,0.015384615,0.004603683,0.027472528,22,1430,483,104916,5,true
LV_BTN_INK_EFFECT,0.018946853,0.022277722,0.016783217,0.0021636356,0.0054945056,24,1430,227,104916,1,true
LV_USE_TA,0.01880848,0.055744257,0.006293706,0.012514774,0.04945055,9,1430,1313,104916,9,true
LV_FONT_ROBOTO_16,0.0181358,0.006893107,0.0013986015,0.016737198,0.0054945056,2,1430,1756,104916,1,true
LV_USE_LABEL,0.016753197,0.061938062,0.006993007,0.009760189,0.054945055,10,1430,1024,104916,10,true
LV_USE_FILESYSTEM,0.016282104,0.028371628,0.011888112,0.0043939915,0.016483517,17,1430,461,104916,3,true
LV_USE_BTNM,0.01621341,0.057142857,0.0076923077,0.008521102,0.04945055,11,1430,894,104916,9,true
LV_USE_TABVIEW,0.016177803,0.055744257,0.006293706,0.009884098,0.04945055,9,1430,1037,104916,9,true
LV_USE_CHART,0.015720295,0.055744257,0.006293706,0.009426589,0.04945055,9,1430,989,104916,9,true
LV_EXT_CLICK_AREA_TINY,0.015505019,0.025674326,0.014685315,8.197034E-4,0.010989011,21,1430,86,104916,2,true
LV_LABEL_TEXT_SEL,0.015368072,0.024975024,0.013986014,0.001382058,0.010989011,20,1430,145,104916,2,true
LV_USE_LIST,0.01495778,0.055744257,0.006293706,0.008664074,0.04945055,9,1430,909,104916,9,true
LV_USE_DDLIST,0.014879009,0.057142857,0.0076923077,0.0071867015,0.04945055,11,1430,754,104916,9,true
LV_USE_PAGE,0.014795747,0.055744257,0.006293706,0.00850204,0.04945055,9,1430,892,104916,9,true
LV_FONT_ROBOTO_12,0.01348446,0.006893107,0.0013986015,0.012085859,0.0054945056,2,1430,1268,104916,1,true
LV_USE_CALENDAR,0.013124239,0.04955045,0.005594406,0.0075298334,0.043956045,8,1430,790,104916,8,true
LV_USE_SLIDER,0.013081074,0.06333666,0.0083916085,0.0046894657,0.054945055,12,1430,492,104916,10,true
LV_USE_BTN,0.013061024,0.055744257,0.006293706,0.0067673186,0.04945055,9,1430,710,104916,9,true
LV_USE_IMG,0.012878395,0.06473526,0.00979021,0.0030881849,0.054945055,14,1430,324,104916,10,true
LV_EXT_CLICK_AREA_FULL,0.012536249,0.022877123,0.011888112,6.4813753E-4,0.010989011,17,1430,68,104916,2,true
LV_USE_BAR,0.012334116,0.057142857,0.0076923077,0.0046418086,0.04945055,11,1430,487,104916,9,true
LV_USE_TABLE,0.011599209,0.04955045,0.005594406,0.006004804,0.043956045,8,1430,630,104916,8,true
LV_MEM_CUSTOM,0.0115916515,0.020779222,0.00979021,0.0018014412,0.010989011,14,1430,189,104916,2,true
LV_USE_ROLLER,0.011545527,0.055744257,0.006293706,0.0052518207,0.04945055,9,1430,551,104916,9,true
LV_IMGBTN_TILED,0.011105548,0.015284715,0.00979021,0.001315338,0.0054945056,14,1430,138,104916,1,true
LV_USE_WIN,0.010945046,0.055744257,0.006293706,0.00465134,0.04945055,9,1430,488,104916,9,true
LV_USE_LMETER,0.01069471,0.057142857,0.0076923077,0.003002402,0.04945055,11,1430,315,104916,9,true
LV_TXT_ENC,0.010608926,0.013186813,0.0076923077,0.002916619,0.0054945056,11,1430,306,104916,1,true
LV_USE_MBOX,0.010325503,0.055744257,0.006293706,0.004031797,0.04945055,9,1430,423,104916,9,true
LV_ENABLE_GC,0.010129835,0.025574427,0.009090909,0.0010389264,0.016483517,13,1430,109,104916,3,true
LV_USE_KB,0.009944245,0.055744257,0.006293706,0.0036505396,0.04945055,9,1430,383,104916,9,true
LV_USE_CB,0.009887056,0.055744257,0.006293706,0.0035933508,0.04945055,9,1430,377,104916,9,true
LV_COLOR_SCREEN_TRANSP,0.00983436,0.02007992,0.009090909,7.434519E-4,0.010989011,13,1430,78,104916,2,true
LV_USE_SW,0.009782211,0.055744257,0.006293706,0.003488505,0.04945055,9,1430,366,104916,9,true
LV_USE_GAUGE,0.009629708,0.055744257,0.006293706,0.0033360021,0.04945055,9,1430,350,104916,9,true
LV_USE_CONT,0.009308159,0.043356646,0.004895105,0.0044130543,0.03846154,7,1430,463,104916,7,true
LV_USE_OBJ_REALIGN,0.008992089,0.013886115,0.0083916085,6.0048036E-4,0.0054945056,12,1430,63,104916,1,true
LV_GC_INCLUDE,0.00873474,0.07432568,0.0083916085,3.4313166E-4,0.06593407,12,1430,36,104916,12,true
LV_USE_LED,0.008219056,0.055744257,0.006293706,0.0019253498,0.04945055,9,1430,202,104916,9,true
LV_USE_LINE,0.00811421,0.055744257,0.006293706,0.001820504,0.04945055,9,1430,191,104916,9,true
LV_USE_THEME_ALIEN,0.008105225,0.0061938064,6.993007E-4,0.0074059246,0.0054945056,1,1430,777,104916,1,true
LV_USE_TILEVIEW,0.007865407,0.03716284,0.0041958042,0.0036696023,0.032967035,6,1430,385,104916,6,true
LV_USE_THEME_NEMO,0.007857408,0.0061938064,6.993007E-4,0.0071581076,0.0054945056,1,1430,751,104916,1,true
LV_USE_THEME_MATERIAL,0.0077334996,0.0061938064,6.993007E-4,0.007034199,0.0054945056,1,1430,738,104916,1,true
LV_USE_THEME_ZEN,0.007485682,0.0061938064,6.993007E-4,0.0067863814,0.0054945056,1,1430,712,104916,1,true
LV_USE_PRELOAD,0.0074018724,0.043356646,0.004895105,0.0025067674,0.03846154,7,1430,263,104916,7,true
LV_USE_CPICKER,0.0071711447,0.0061938064,6.993007E-4,0.006471844,0.0054945056,1,1430,679,104916,1,true
LV_TXT_ENC_UTF8,0.007154055,0.010389611,0.004895105,0.00225895,0.0054945056,7,1430,237,104916,1,true
LV_USE_THEME_NIGHT,0.007152082,0.0061938064,6.993007E-4,0.006452781,0.0054945056,1,1430,677,104916,1,true
LV_USE_SPINBOX,0.0070075775,0.03716284,0.0041958042,0.0028117732,0.032967035,6,1430,295,104916,6,true
LV_USE_ARC,0.006753735,0.043356646,0.004895105,0.0018586298,0.03846154,7,1430,195,104916,7,true
LV_USE_GPU,0.0065094237,0.022077924,0.005594406,9.1501774E-4,0.016483517,8,1430,96,104916,3,true
LV_SPRINTF_CUSTOM,0.0064372243,0.0061938064,6.993007E-4,0.0057379236,0.0054945056,1,1430,602,104916,1,true
LV_USE_CANVAS,0.005398298,0.0061938064,6.993007E-4,0.0046989974,0.0054945056,1,1430,493,104916,1,true
LV_USE_USER_DATA,0.0052572996,0.021378621,0.004895105,3.6219452E-4,0.016483517,7,1430,38,104916,3,true
LV_USE_SHADOW,0.0046999836,0.007592408,0.0020979021,0.0026020817,0.0054945056,3,1430,273,104916,1,true
LV_THEME_LIVE_UPDATE,0.0046342504,0.00969031,0.0041958042,4.38446E-4,0.0054945056,6,1430,46,104916,1,true
LV_ARCH_64,0.0044817473,0.00969031,0.0041958042,2.8594304E-4,0.0054945056,6,1430,30,104916,1,true
LV_USE_THEME_MONO,0.0044070287,0.0061938064,6.993007E-4,0.003707728,0.0054945056,1,1430,389,104916,1,true
PRINTF_SUPPORT_EXPONENTIAL,0.004382927,0.008991009,0.0034965035,8.864234E-4,0.0054945056,5,1430,93,104916,1,true
LV_USE_TEMPL,0.0042269183,0.008291708,0.002797203,0.0014297152,0.0054945056,4,1430,150,104916,1,true
LV_IMG_CF_INDEXED,0.0040362896,0.008291708,0.002797203,0.0012390865,0.0054945056,4,1430,130,104916,1,true
LV_USE_THEME_DEFAULT,0.003997177,0.0061938064,6.993007E-4,0.0032978763,0.0054945056,1,1430,346,104916,1,true
PRINTF_SUPPORT_FLOAT,0.0039660633,0.007592408,0.0020979021,0.0018681611,0.0054945056,3,1430,196,104916,1,true
LV_USE_THEME_TEMPL,0.003911394,0.0061938064,6.993007E-4,0.0032120934,0.0054945056,1,1430,337,104916,1,true
PRINTF_SUPPORT_LONG_LONG,0.0038301037,0.008991009,0.0034965035,3.336002E-4,0.0054945056,5,1430,35,104916,1,true
LV_IMG_CF_ALPHA,0.0037312834,0.008291708,0.002797203,9.3408057E-4,0.0054945056,4,1430,98,104916,1,true
LV_USE_IMGBTN,0.003619426,0.012387613,0.0013986015,0.0022208244,0.010989011,2,1430,233,104916,2,true
LV_FONT_UNSCII_8,0.0035431744,0.006893107,0.0013986015,0.0021445728,0.0054945056,2,1430,225,104916,1,true
LV_TXT_ENC_ASCII,0.003454872,0.008291708,0.002797203,6.57669E-4,0.0054945056,4,1430,69,104916,1,true
LV_LABEL_LONG_TXT_HINT,0.0029497058,0.008291708,0.002797203,1.5250295E-4,0.0054945056,4,1430,16,104916,1,true
CIRCLE_AA_NON_LINEAR_OPA_THRESHOLD,0.00291158,0.008291708,0.002797203,1.1437722E-4,0.0054945056,4,1430,12,104916,1,true
LV_CONF_INCLUDE_SIMPLE,0.00291158,0.013786214,0.002797203,1.1437722E-4,0.010989011,4,1430,12,104916,2,true
LV_USE_DEBUG,0.002570968,0.012387613,0.0013986015,0.0011723664,0.010989011,2,1430,123,104916,2,true
LV_USE_LOG,0.0024124396,0.01858142,0.0020979021,3.1453735E-4,0.016483517,3,1430,33,104916,3,true
