File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_objx_templ.c,1.6025641,-1.8974359,3.5,0.0,78,74,228,7,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_misc\lv_ll.c,1.4035088,-0.096491225,1.5,0.0,228,11,18,3,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_misc\lv_area.c,1.3901099,-0.10989011,1.5,0.0,91,5,9,3,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_draw\lv_draw_label.c,1.2307692,-0.26923078,1.5,0.0,208,14,23,6,2,4,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_led.c,1.0336134,-0.96638656,2.0,0.0,119,115,230,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_arc.c,1.0291971,-0.9708029,2.0,0.0,137,133,266,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_line.c,1.02454,-0.9754601,2.0,0.0,163,159,318,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_gauge.c,1.0150943,-0.98490566,2.0,0.0,265,261,522,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_kb.c,1.0141845,-0.9858156,2.0,0.0,282,278,556,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_win.c,1.011976,-0.98802394,2.0,0.0,334,330,660,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_cont.c,1.0089087,-0.9910913,2.0,0.0,449,445,890,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_calendar.c,1.0066116,-0.9933884,2.0,0.0,605,601,1202,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_chart.c,1.004128,-0.995872,2.0,0.0,969,965,1930,2,2,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_misc\lv_task.c,0.98578197,-0.014218009,1.0,0.0,211,3,3,1,1,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\porting\lv_port_indev_template.c,0.985,-0.015,1.0,0.0,200,3,3,1,1,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\porting\lv_port_fs_template.c,0.9781022,-0.02189781,1.0,0.0,137,3,3,1,1,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_hal\lv_hal_indev.c,0.9594595,-0.04054054,1.0,0.0,74,3,3,1,1,1,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_draw\lv_draw_img.c,0.953125,-0.046875,1.0,0.0,384,9,9,2,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_core\lv_refr.c,0.9459459,-0.054054055,1.0,0.0,333,9,9,2,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_draw\lv_img_cache.c,0.8956522,-0.104347825,1.0,0.0,115,6,6,2,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_misc\lv_gc.c,0.75,-0.75,1.5,0.0,16,6,9,3,2,2,0,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_objx\lv_img.c,0.38354242,-2.949791,2.0,1.3333334,239,235,497,6,6,3,4,true
D:\Pesquisa\Projects\lvgl-analysis\source\lvgl\src\lv_core\lv_style.c,0.0607595,-1.1392405,1.0,0.2,237,54,57,5,3,5,1,true
