FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_draw\lv_img_decoder.c,555,"static lv_res_t lv_img_decoder_built_in_line_alpha(lv_img_decoder_dsc_t * dsc, lv_coord_t x, lv_coord_t y, lv_coord_t len, uint8_t * buf)",14.057346,8.612903,2.8888888,2.5555556,93,89,174,9,26,4,23,8,true
lvgl\src\lv_draw\lv_img_decoder.c,663,"static lv_res_t lv_img_decoder_built_in_line_indexed(lv_img_decoder_dsc_t * dsc, lv_coord_t x, lv_coord_t y, lv_coord_t len, uint8_t * buf)",14.020914,8.57647,2.8888888,2.5555556,85,81,165,9,26,4,23,8,true
lvgl\src\lv_core\lv_obj.c,149,"lv_obj_t * lv_obj_create(lv_obj_t * parent, const lv_obj_t * copy)",10.072045,8.595855,1.4761904,0.0,193,79,115,21,31,8,0,2,false
lvgl\src\lv_draw\lv_img_decoder.c,317,"lv_res_t lv_img_decoder_built_in_open(lv_img_decoder_t * decoder, lv_img_decoder_dsc_t * dsc)",7.9310746,6.0560746,1.5,0.375,107,81,114,8,12,4,3,4,true
lvgl\src\lv_misc\lv_mem.c,191,void lv_mem_free(const void * data),7.763393,5.90625,1.2857143,0.5714286,32,27,56,7,9,5,4,2,true
lvgl\src\lv_misc\lv_mem.c,125,void * lv_mem_alloc(size_t size),7.3920264,5.534884,1.4285715,0.42857143,43,34,73,7,10,5,3,3,true
lvgl\src\lv_core\lv_obj.c,1195,"void lv_obj_set_ext_click_area(lv_obj_t * obj, lv_coord_t left, lv_coord_t right, lv_coord_t top, lv_coord_t bottom)",6.7017546,2.368421,4.3333335,0.0,19,15,74,3,13,4,0,3,false
lvgl\src\lv_draw\lv_draw_line.c,225,"static void line_draw_skew(line_draw_t * main_line, bool dir_ori, const lv_area_t * mask, const lv_style_t * style, lv_opa_t opa_scale)",6.66787,5.66787,1.0,0.0,277,157,157,10,10,1,0,0,false
lvgl\src\lv_core\lv_obj.c,1930,lv_coord_t lv_obj_get_ext_click_pad_left(const lv_obj_t * obj),6.3333335,2.0,4.3333335,0.0,12,8,45,3,13,4,0,3,false
lvgl\src\lv_core\lv_obj.c,1949,lv_coord_t lv_obj_get_ext_click_pad_right(const lv_obj_t * obj),6.3333335,2.0,4.3333335,0.0,12,8,45,3,13,4,0,3,false
lvgl\src\lv_core\lv_obj.c,1968,lv_coord_t lv_obj_get_ext_click_pad_top(const lv_obj_t * obj),6.3333335,2.0,4.3333335,0.0,12,8,45,3,13,4,0,3,false
lvgl\src\lv_core\lv_obj.c,1987,lv_coord_t lv_obj_get_ext_click_pad_bottom(const lv_obj_t * obj),6.3333335,2.0,4.3333335,0.0,12,8,45,3,13,4,0,3,false
lvgl\src\lv_themes\lv_theme.c,56,void lv_theme_set_current(lv_theme_t * th),6.1588235,4.5588236,1.2,0.4,34,31,60,5,6,3,2,1,true
lvgl\src\lv_core\lv_indev.c,999,"static lv_obj_t * indev_search_obj(const lv_indev_proc_t * proc, lv_obj_t * obj)",5.6410255,1.3076923,4.3333335,0.0,39,17,74,3,13,4,0,3,false
lvgl\src\lv_objx\lv_list.c,793,"static lv_res_t lv_list_signal(lv_obj_t * list, lv_signal_t sign, void * param)",5.4672413,4.2672415,1.0,0.2,116,99,102,5,5,1,1,0,true
lvgl\src\lv_misc\lv_mem.c,86,void lv_mem_init(void),4.6904764,2.357143,1.3333334,1.0,14,11,21,3,4,3,3,1,true
lvgl\src\lv_objx\lv_btn.c,507,"static lv_res_t lv_btn_signal(lv_obj_t * btn, lv_signal_t sign, void * param)",4.3381295,2.3381295,2.0,0.0,139,65,130,5,10,2,0,0,false
lvgl\src\lv_objx\lv_btn.c,425,"static bool lv_btn_design(lv_obj_t * btn, const lv_area_t * mask, lv_design_mode_t mode)",4.1551723,1.6551725,2.5,0.0,58,48,101,2,5,3,0,1,false
lvgl\src\lv_core\lv_group.c,548,"static void style_mod_def(lv_group_t * group, lv_style_t * style)",4.1190476,1.6190476,2.5,0.0,21,17,41,2,5,2,0,3,false
