"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\lv_conf_template.h.xml,409,26,180,2.8846153846153846,0.4314554973040045,,,,,,,,27,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\lvgl.h.xml,112,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\porting\lv_port_disp_template.c.xml,146,1,68,1.75,0.5,,,,,,,,5,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\porting\lv_port_disp_template.h.xml,21,2,7,2.25,0.9574271077563381,,,,,,,,4,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\porting\lv_port_fs_template.c.xml,268,0,132,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\porting\lv_port_fs_template.h.xml,21,2,7,2.25,0.9574271077563381,,,,,,,,4,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\porting\lv_port_indev_template.c.xml,394,0,195,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\porting\lv_port_indev_template.h.xml,21,2,7,2.25,0.9574271077563381,,,,,,,,4,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\src\lv_conf_checker.h.xml,800,141,186,1.2682926829268293,0.4444278182003277,,,,,,,,165,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats\lvgl\src\lv_core\lv_debug.c.xml,238,4,113,1.75,0.5,,,,,,,,3,0,0,0,0,0,1,2,,
