"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\lv_conf_template.h.xml,LV_CONF_H;LV_ENABLE_GC;LV_MEM_CUSTOM;LV_SPRINTF_CUSTOM;LV_TICK_CUSTOM;LV_USE_ANIMATION;LV_USE_BIDI;LV_USE_BTN;LV_USE_CHART;LV_USE_DDLIST;LV_USE_DEBUG;LV_USE_FILESYSTEM;LV_USE_GROUP;LV_USE_IMGBTN;LV_USE_LABEL;LV_USE_LIST;LV_USE_LOG;LV_USE_PAGE;LV_USE_PRELOAD;LV_USE_ROLLER;LV_USE_TA;LV_USE_TABLE;LV_USE_TABVIEW;LV_USE_TILEVIEW;_CRT_SECURE_NO_WARNINGS;_MSC_VER
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\lvgl.h.xml,LVGL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\porting\lv_port_disp_template.c.xml,LV_USE_GPU
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\porting\lv_port_disp_template.h.xml,LV_PORT_DISP_TEMPL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\porting\lv_port_fs_template.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\porting\lv_port_fs_template.h.xml,LV_PORT_FS_TEMPL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\porting\lv_port_indev_template.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\porting\lv_port_indev_template.h.xml,LV_PORT_INDEV_TEMPL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_conf_checker.h.xml,LV_ANTIALIAS;LV_ATTRIBUTE_LARGE_CONST;LV_ATTRIBUTE_MEM_ALIGN;LV_ATTRIBUTE_TASK_HANDLER;LV_ATTRIBUTE_TICK_INC;LV_BIDI_BASE_DIR_DEF;LV_BTN_INK_EFFECT;LV_CHART_AXIS_TICK_LABEL_MAX_LEN;LV_COLOR_16_SWAP;LV_COLOR_DEPTH;LV_COLOR_SCREEN_TRANSP;LV_COLOR_TRANSP;LV_CONF_CHECKER_H;LV_DDLIST_DEF_ANIM_TIME;LV_DISP_DEF_REFR_PERIOD;LV_DPI;LV_ENABLE_GC;LV_EXPORT_CONST_INT;LV_FONT_CUSTOM_DECLARE;LV_FONT_DEFAULT;LV_FONT_FMT_TXT_LARGE;LV_FONT_ROBOTO_12;LV_FONT_ROBOTO_12_SUBPX;LV_FONT_ROBOTO_16;LV_FONT_ROBOTO_22;LV_FONT_ROBOTO_28;LV_FONT_ROBOTO_28_COMPRESSED;LV_FONT_SUBPX_BGR;LV_FONT_UNSCII_8;LV_GC_INCLUDE;LV_HOR_RES_MAX;LV_IMGBTN_TILED;LV_IMG_CACHE_DEF_SIZE;LV_IMG_CF_ALPHA;LV_IMG_CF_INDEXED;LV_INDEV_DEF_DRAG_LIMIT;LV_INDEV_DEF_DRAG_THROW;LV_INDEV_DEF_LONG_PRESS_REP_TIME;LV_INDEV_DEF_LONG_PRESS_TIME;LV_INDEV_DEF_READ_PERIOD;LV_INDEXED_CHROMA;LV_LABEL_DEF_SCROLL_SPEED;LV_LABEL_LONG_TXT_HINT;LV_LABEL_TEXT_SEL;LV_LABEL_WAIT_CHAR_COUNT;LV_LIST_DEF_ANIM_TIME;LV_LOG_LEVEL;LV_LOG_PRINTF;LV_MEM_ADR;LV_MEM_ATTR;LV_MEM_AUTO_DEFRAG;LV_MEM_CUSTOM;LV_MEM_CUSTOM_ALLOC;LV_MEM_CUSTOM_FREE;LV_MEM_CUSTOM_GET_SIZE;LV_MEM_CUSTOM_INCLUDE;LV_MEM_CUSTOM_REALLOC;LV_MEM_SIZE;LV_PAGE_DEF_ANIM_TIME;LV_PRELOAD_DEF_ANIM;LV_PRELOAD_DEF_ARC_LENGTH;LV_PRELOAD_DEF_SPIN_TIME;LV_ROLLER_DEF_ANIM_TIME;LV_ROLLER_INF_PAGES;LV_SPRINTF_CUSTOM;LV_SPRINTF_INCLUDE;LV_TABLE_COL_MAX;LV_TABVIEW_DEF_ANIM_TIME;LV_TA_DEF_CURSOR_BLINK_TIME;LV_TA_DEF_PWD_SHOW_TIME;LV_THEME_LIVE_UPDATE;LV_TICK_CUSTOM;LV_TICK_CUSTOM_INCLUDE;LV_TICK_CUSTOM_SYS_TIME_EXPR;LV_TILEVIEW_DEF_ANIM_TIME;LV_TXT_BREAK_CHARS;LV_TXT_COLOR_CMD;LV_TXT_ENC;LV_TXT_LINE_BREAK_LONG_LEN;LV_TXT_LINE_BREAK_LONG_POST_MIN_LEN;LV_TXT_LINE_BREAK_LONG_PRE_MIN_LEN;LV_USE_ANIMATION;LV_USE_ARC;LV_USE_ASSERT_MEM;LV_USE_ASSERT_NULL;LV_USE_ASSERT_OBJ;LV_USE_ASSERT_STR;LV_USE_ASSERT_STYLE;LV_USE_BAR;LV_USE_BIDI;LV_USE_BTN;LV_USE_BTNM;LV_USE_CALENDAR;LV_USE_CANVAS;LV_USE_CB;LV_USE_CHART;LV_USE_CONT;LV_USE_CPICKER;LV_USE_DDLIST;LV_USE_DEBUG;LV_USE_EXT_CLICK_AREA;LV_USE_FILESYSTEM;LV_USE_GAUGE;LV_USE_GPU;LV_USE_GROUP;LV_USE_IMG;LV_USE_IMGBTN;LV_USE_KB;LV_USE_LABEL;LV_USE_LED;LV_USE_LINE;LV_USE_LIST;LV_USE_LMETER;LV_USE_LOG;LV_USE_MBOX;LV_USE_OBJ_REALIGN;LV_USE_PAGE;LV_USE_PRELOAD;LV_USE_ROLLER;LV_USE_SHADOW;LV_USE_SLIDER;LV_USE_SPINBOX;LV_USE_SW;LV_USE_TA;LV_USE_TABLE;LV_USE_TABVIEW;LV_USE_THEME_ALIEN;LV_USE_THEME_DEFAULT;LV_USE_THEME_MATERIAL;LV_USE_THEME_MONO;LV_USE_THEME_NEMO;LV_USE_THEME_NIGHT;LV_USE_THEME_TEMPL;LV_USE_THEME_ZEN;LV_USE_TILEVIEW;LV_USE_USER_DATA;LV_USE_WIN;LV_VER_RES_MAX;_CRT_SECURE_NO_WARNINGS;_MSC_VER;lv_snprintf;lv_vsnprintf
