Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.12612717,0.26441732,0.12383376,0.0022934093,0.14058356,146,1179,998,435160,53,true
WIN32,0.11218615,0.18633783,0.10941476,0.0027713943,0.07692308,129,1179,1206,435160,29,true
INCLUDE_GENERATED_DECLARATIONS,0.10520124,0.41732305,0.1043257,8.7554E-4,0.31299734,123,1179,381,435160,118,true
UNIX,0.09880398,0.14974251,0.096692115,0.0021118668,0.0530504,114,1179,919,435160,20,true
BACKSLASH_IN_FILENAME,0.058608986,0.10276884,0.057675995,9.3299017E-4,0.04509284,68,1179,406,435160,17,true
REGEXP_DEBUG,0.048193753,0.05110657,0.045801528,0.0023922236,0.0053050397,54,1179,1041,435160,2,true
EXITFREE,0.03161671,0.09949987,0.030534351,0.0010823605,0.06896552,36,1179,471,435160,26,true
HAVE_ICONV,0.025254345,0.035207197,0.024597116,6.572295E-4,0.010610079,29,1179,286,435160,4,true
U_DEBUG,0.016402604,0.018767873,0.016115353,2.8725067E-4,0.0026525198,19,1179,125,435160,1,true
HAVE_ACL,0.013747769,0.026833422,0.013570823,1.7694641E-4,0.0132626,16,1179,77,435160,5,true
USE_KLEE,0.012865122,0.018027686,0.012722646,1.4247633E-4,0.0053050397,15,1179,62,435160,2,true
"__APPLE__",0.012214575,0.02513707,0.01187447,3.401048E-4,0.0132626,14,1179,148,435160,5,true
"_WIN32",0.012170913,0.01983203,0.01187447,2.9644268E-4,0.00795756,14,1179,129,435160,3,true
NDEBUG,0.012164019,0.02513707,0.01187447,2.8954868E-4,0.0132626,14,1179,126,435160,5,true
HAVE_WORKING_LIBINTL,0.010690573,0.020788196,0.010178117,5.124552E-4,0.010610079,12,1179,223,435160,4,true
DEBUG_TRIEWALK,0.010338978,0.012830637,0.010178117,1.6086038E-4,0.0026525198,12,1179,70,435160,1,true
HAVE_LOCALE_H,0.009460926,0.02524506,0.00932994,1.309863E-4,0.01591512,11,1179,57,435160,6,true
HAVE_READLINK,0.008040335,0.015591148,0.007633588,4.0674696E-4,0.00795756,9,1179,177,435160,3,true
USE_CRNL,0.0078036403,0.018243667,0.007633588,1.700524E-4,0.010610079,9,1179,74,435160,4,true
MIN_LOG_LEVEL,0.007033596,0.01739549,0.0067854114,2.4818457E-4,0.010610079,8,1179,108,435160,4,true
"__FreeBSD__",0.0068635438,0.014742971,0.0067854114,7.813218E-5,0.00795756,8,1179,34,435160,3,true
"__NetBSD__",0.0068589477,0.014742971,0.0067854114,7.353617E-5,0.00795756,8,1179,32,435160,3,true
LC_MESSAGES,0.0068451595,0.009437932,0.0067854114,5.9748138E-5,0.0026525198,8,1179,26,435160,1,true
SPELL_PRINTTREE,0.0061210752,0.008589755,0.005937235,1.8384043E-4,0.0026525198,7,1179,80,435160,1,true
FF_VERBOSE,0.006084307,0.008589755,0.005937235,1.4707234E-4,0.0026525198,7,1179,64,435160,1,true
HAVE__NSGETENVIRON,0.0059854933,0.008589755,0.005937235,4.8258113E-5,0.0026525198,7,1179,21,435160,1,true
DEBUG_LOG_LEVEL,0.005291283,0.013046619,0.0050890585,2.0222447E-4,0.00795756,6,1179,88,435160,3,true
SUGGEST_PROFILE,0.0052085547,0.0077415784,0.0050890585,1.19496275E-4,0.0026525198,6,1179,52,435160,1,true
HAVE_GET_LOCALE_VAL,0.0051579988,0.0077415784,0.0050890585,6.894016E-5,0.0026525198,6,1179,30,435160,1,true
FEAT_TUI,0.0051534027,0.010394098,0.0050890585,6.434415E-5,0.0053050397,6,1179,28,435160,2,true
NFA_REGEXP_DEBUG_LOG,0.0051419125,0.0077415784,0.0050890585,5.2854124E-5,0.0026525198,6,1179,23,435160,1,true
SIGPWR,0.0051396145,0.0077415784,0.0050890585,5.055612E-5,0.0026525198,6,1179,22,435160,1,true
NVIM_MSGPACK_HAS_FLOAT32,0.005137317,0.010394098,0.0050890585,4.8258113E-5,0.0053050397,6,1179,21,435160,2,true
HAVE_PWD_H,0.0043534846,0.006893402,0.004240882,1.1260226E-4,0.0026525198,5,1179,49,435160,1,true
S_ISFIFO,0.0043098223,0.012198443,0.004240882,6.894016E-5,0.00795756,5,1179,30,435160,3,true
MAKE_LIB,0.004291438,0.006893402,0.004240882,5.055612E-5,0.0026525198,5,1179,22,435160,1,true
SIGUSR1,0.0042868424,0.006893402,0.004240882,4.5960107E-5,0.0026525198,5,1179,20,435160,1,true
MSWIN,0.0042799483,0.009545922,0.004240882,3.906609E-5,0.0053050397,5,1179,17,435160,2,true
BSD,0.003553566,0.008697745,0.0033927057,1.6086038E-4,0.0053050397,4,1179,70,435160,2,true
TERMKEY_VERSION_MAJOR,0.003507606,0.008697745,0.0033927057,1.14900264E-4,0.0053050397,4,1179,50,435160,2,true
TERMKEY_VERSION_MINOR,0.003507606,0.008697745,0.0033927057,1.14900264E-4,0.0053050397,4,1179,50,435160,2,true
HAVE_PATHDEF,0.0034846258,0.008697745,0.0033927057,9.1920214E-5,0.0053050397,4,1179,40,435160,2,true
SPECIAL_WILDCHAR,0.003475434,0.0060452255,0.0033927057,8.272819E-5,0.0026525198,4,1179,36,435160,1,true
HAVE_SYS_UTSNAME_H,0.0034708378,0.0060452255,0.0033927057,7.813218E-5,0.0026525198,4,1179,34,435160,1,true
USE_WCHAR_FUNCTIONS,0.0034593479,0.0060452255,0.0033927057,6.6642155E-5,0.0026525198,4,1179,29,435160,1,true
OPEN_CHR_FILES,0.003447858,0.008697745,0.0033927057,5.5152126E-5,0.0053050397,4,1179,24,435160,2,true
HT_DEBUG,0.0034455599,0.0060452255,0.0033927057,5.2854124E-5,0.0026525198,4,1179,23,435160,1,true
"__OpenBSD__",0.0034340697,0.011350266,0.0033927057,4.1364096E-5,0.00795756,4,1179,18,435160,3,true
"__DragonFly__",0.0034340697,0.008697745,0.0033927057,4.1364096E-5,0.0053050397,4,1179,18,435160,2,true
ABORT_ON_INTERNAL_ERROR,0.0034271758,0.008697745,0.0033927057,3.447008E-5,0.0053050397,4,1179,15,435160,2,true
"__clang_analyzer__",0.0034248778,0.008697745,0.0033927057,3.2172076E-5,0.0053050397,4,1179,14,435160,2,true
ARCH_64,0.0034248778,0.008697745,0.0033927057,3.2172076E-5,0.0053050397,4,1179,14,435160,2,true
"__clang__",0.0034248778,0.0060452255,0.0033927057,3.2172076E-5,0.0026525198,4,1179,14,435160,1,true
USE_FNAME_CASE,0.0034225797,0.014002785,0.0033927057,2.9874069E-5,0.010610079,4,1179,13,435160,4,true
ARCH_32,0.0034225797,0.008697745,0.0033927057,2.9874069E-5,0.0053050397,4,1179,13,435160,2,true
HAS_BW_FLAGS,0.0034202817,0.0060452255,0.0033927057,2.7576063E-5,0.0026525198,4,1179,12,435160,1,true
"__MINGW32__",0.0034202817,0.0060452255,0.0033927057,2.7576063E-5,0.0026525198,4,1179,12,435160,1,true
HAVE_READV,0.0027628397,0.0078495685,0.0025445293,2.1831051E-4,0.0053050397,3,1179,95,435160,2,true
BT_REGEXP_DUMP,0.0027076877,0.005197049,0.0025445293,1.6315837E-4,0.0026525198,3,1179,71,435160,1,true
UNIT_TESTING,0.0026755156,0.010502089,0.0025445293,1.309863E-4,0.00795756,3,1179,57,435160,3,true
DEBUG_GET_CHANGED_RANGES,0.0026111715,0.005197049,0.0025445293,6.6642155E-5,0.0026525198,3,1179,29,435160,1,true
"__linux__",0.0025927874,0.0078495685,0.0025445293,4.8258113E-5,0.0053050397,3,1179,21,435160,2,true
THROW_TEST,0.0025789994,0.005197049,0.0025445293,3.447008E-5,0.0026525198,3,1179,15,435160,1,true
HAVE_SETSID,0.0025789994,0.005197049,0.0025445293,3.447008E-5,0.0026525198,3,1179,15,435160,1,true
"_MSC_VER",0.0025698072,0.0078495685,0.0025445293,2.527806E-5,0.0053050397,3,1179,11,435160,2,true
SIGPIPE,0.0025698072,0.005197049,0.0025445293,2.527806E-5,0.0026525198,3,1179,11,435160,1,true
S_ISSOCK,0.0025675094,0.010502089,0.0025445293,2.2980053E-5,0.00795756,3,1179,10,435160,3,true
SIGQUIT,0.0025675094,0.005197049,0.0025445293,2.2980053E-5,0.0026525198,3,1179,10,435160,1,true
LC_NUMERIC,0.0025652114,0.010502089,0.0025445293,2.0682048E-5,0.00795756,3,1179,9,435160,3,true
BT_REGEXP_LOG,0.0025652114,0.005197049,0.0025445293,2.0682048E-5,0.0026525198,3,1179,9,435160,1,true
S_ISREG,0.0018296372,0.0043488727,0.0016963528,1.3328431E-4,0.0026525198,2,1179,58,435160,1,true
