File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\tree_sitter\stack.c,2.4863389,-0.013661202,2.5,0.0,732,5,15,5,3,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\tui\terminfo.c,2.14082,-0.19251336,2.0,0.33333334,187,12,42,6,5,3,1,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\map.c,1.8444444,-0.15555556,2.0,0.0,90,7,16,4,3,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\shada.c,1.7214286,-0.17857143,1.6,0.3,3304,59,95,16,7,10,3,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\normal.c,1.4979163,-0.002083695,1.5,0.0,5759,6,9,3,3,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\charset.c,1.480851,-0.11914894,1.6,0.0,1175,28,46,8,6,5,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\state.c,1.4111111,-0.08888889,1.5,0.0,135,6,9,3,3,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\test\functional\fixtures\shell-test.c,1.404,-0.096,1.5,0.0,125,6,10,3,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\channel.c,1.3532656,-0.2467344,1.6,0.0,689,34,58,8,5,5,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\os\shell.c,1.3052632,-0.028070174,1.3333334,0.0,855,8,12,4,3,3,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\eval\decode.c,1.3048524,-0.02848101,1.3333334,0.0,948,9,13,4,3,3,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\ex_session.c,1.3016293,-0.031704098,1.3333334,0.0,757,8,12,4,3,3,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\api\vim.c,1.2892157,-0.04411765,1.3333334,0.0,1632,24,41,4,3,3,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\msgpack_rpc\helpers.c,1.252071,-0.147929,1.4,0.0,507,15,23,7,3,5,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\msgpack_rpc\channel.c,1.2484326,-0.5015674,1.75,0.0,638,80,157,7,3,4,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\eval\typval.c,1.2411234,-0.09220986,1.0,0.33333334,1887,58,68,3,3,3,1,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\option.c,1.1635765,-0.42733264,1.4545455,0.13636364,5766,112,158,32,10,22,3,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\quickfix.c,1.1447157,-0.07750666,1.1111112,0.11111111,4877,42,49,10,6,9,1,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\msgpack_rpc\server.c,1.1299436,-0.20338982,1.3333334,0.0,177,12,16,4,3,3,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\tui\input.c,1.1262531,-0.44517547,1.5714285,0.0,456,29,48,11,6,7,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\ex_cmds.c,1.0732139,-0.06964329,1.1428572,0.0,4121,41,45,8,5,7,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\diff.c,1.0387151,-0.18350703,1.2222222,0.0,2207,45,53,11,3,9,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\version.c,1.0108225,-0.26190478,1.2727273,0.0,2142,51,63,14,8,11,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\marktree.c,0.99895394,-0.25104603,1.25,0.0,956,60,64,5,3,4,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\indent_c.c,0.9986934,-0.0013066202,1.0,0.0,2296,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\fold.c,0.9985409,-0.0014591439,1.0,0.0,2056,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\digraph.c,0.9983398,-0.0016602103,1.0,0.0,1807,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\move.c,0.9981807,-0.0018192844,1.0,0.0,1649,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\change.c,0.99763405,-0.0023659307,1.0,0.0,1268,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\screen.c,0.9973992,-0.0026007802,1.0,0.0,5383,7,7,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\menu.c,0.99735916,-0.002640845,1.0,0.0,1136,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\api\buffer.c,0.9971014,-0.0028985508,1.0,0.0,1035,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\terminal.c,0.99702674,-0.0029732408,1.0,0.0,1009,3,3,1,1,1,0,true
