FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
neovim\src\nvim\eval\funcs.c,3308,"static void f_getftype(typval_T * argvars, typval_T * rettv, FunPtr fptr)",13.828571,11.4,1.1428572,1.2857143,70,57,159,14,16,13,18,2,true
neovim\src\nvim\os\process.c,107,"int os_proc_children(int ppid, int * * proc_list, size_t * proc_count)",12.704348,8.804348,2.5,1.4,92,81,354,10,25,7,14,8,true
neovim\src\nvim\if_cscope.c,666,static int cs_create_connection(size_t i),11.245198,9.06338,1.4545455,0.72727275,142,117,207,11,16,4,8,4,true
neovim\src\nvim\if_cscope.c,1778,"static void cs_release_csp(size_t i, int freefnpp)",8.311688,5.4545455,1.4285715,1.4285715,77,60,130,7,10,5,10,3,true
neovim\src\nvim\fileio.c,262,"int readfile(char_u * fname, char_u * sfname, linenr_T from, linenr_T lines_to_skip, linenr_T lines_to_read, exarg_T * eap, int flags)",7.3187876,5.9021206,1.0833334,0.33333334,1226,201,275,36,39,11,12,7,false
neovim\src\nvim\fileio.c,2201,"int buf_write(buf_T * buf, char_u * fname, char_u * sfname, linenr_T start, linenr_T end, exarg_T * eap, int append, int forceit, int reset_changed, int filtering)",6.952977,5.856203,1.0967742,0.0,1064,201,233,31,34,5,0,8,false
neovim\src\nvim\ex_cmds2.c,3908,void set_lang_var(void),6.090909,4.090909,2.0,0.0,22,15,36,6,12,4,0,4,false
neovim\src\nvim\eval\funcs.c,6707,"static void f_resolve(typval_T * argvars, typval_T * rettv, FunPtr fptr)",6.0610237,3.8110237,1.5,0.75,127,121,360,4,6,3,3,2,true
neovim\src\nvim\os\env.c,281,char * os_getenvname_at_index(size_t index),6.023585,3.7735848,1.5,0.75,53,50,79,4,6,3,3,2,true
neovim\src\nvim\regexp_nfa.c,5018,"static int nfa_regmatch(nfa_regprog_T * prog, nfa_state_T * start, regsubs_T * submatch, regsubs_T * m)",5.942857,4.942857,1.0,0.0,1050,173,173,30,30,2,0,0,false
neovim\src\nvim\os\env.c,236,"void os_copy_fullenv(char * * env, size_t env_size)",5.886364,3.6363637,1.5,0.75,33,30,50,4,6,3,3,2,true
neovim\src\nvim\os\pty_process_unix.c,186,static void init_termios(struct termios * termios) FUNC_ATTR_NONNULL_ALL,5.86,4.86,1.0,0.0,50,27,27,9,9,9,0,0,false
neovim\src\nvim\regexp_nfa.c,2706,"static void st_error(int * postfix, int * end, int * p)",5.828947,3.5789473,1.25,1.0,38,34,67,4,5,3,4,1,true
neovim\src\nvim\os\env.c,188,size_t os_get_fullenv_size(void),5.509259,3.2592592,1.5,0.75,27,22,42,4,6,3,3,2,true
neovim\src\nvim\os\env.c,361,"void os_get_hostname(char * hostname, size_t size)",5.385417,2.71875,2.6666667,0.0,32,29,81,3,8,3,0,3,false
neovim\src\nvim\ex_cmds2.c,3852,char * get_mess_lang(void),5.25,3.0,1.5,0.75,20,15,34,4,6,3,3,2,true
neovim\src\nvim\path.c,208,int vim_ispathsep(int c),5.25,3.0,1.5,0.75,12,9,26,4,6,3,3,2,true
neovim\src\nvim\path.c,1769,char * fix_fname(const char * fname),5.15,3.4,1.25,0.5,20,17,39,4,5,4,2,1,true
neovim\src\nvim\os\users.c,38,int os_get_usernames(garray_T * users),4.904762,2.5714285,2.3333333,0.0,56,48,116,3,7,5,0,1,false
neovim\src\nvim\os\lang.c,17,void lang_init(void),4.8,2.8,1.0,1.0,45,42,51,3,3,3,3,0,true
neovim\src\nvim\os\signal.c,37,void signal_init(void),4.5,3.5,1.0,0.0,30,21,21,5,5,5,0,1,false
neovim\src\nvim\os\fs.c,153,int os_nodetype(const char * name) FUNC_ATTR_NONNULL_ALL,4.4,2.7333333,1.3333334,0.33333334,45,41,74,3,4,3,1,3,true
neovim\src\nvim\tui\terminfo.c,37,bool terminfo_is_bsd_console(const char * term),4.3846154,1.3846154,2.5,0.5,13,9,39,2,5,4,1,0,true
neovim\src\nvim\channel.c,183,"void channel_create_event(Channel * chan, const char * ext_source)",4.152174,1.6521739,2.5,0.0,23,19,43,2,5,3,0,1,false
neovim\src\nvim\diff.c,1129,void ex_diffpatch(exarg_T * eap),4.1465516,2.8965516,1.25,0.0,116,42,50,8,10,2,0,2,false
neovim\src\nvim\option.c,627,void set_init_1(void),4.135928,2.035928,1.8,0.3,167,34,71,10,18,6,3,5,false
neovim\src\nvim\eval\funcs.c,3991,"static void f_has(typval_T * argvars, typval_T * rettv, FunPtr fptr)",3.9736843,2.8070176,1.1666666,0.0,171,40,46,12,14,10,0,2,false
neovim\src\nvim\ex_cmds2.c,3944,void ex_language(exarg_T * eap),3.960443,2.835443,1.125,0.0,79,28,32,8,9,5,0,3,false
neovim\src\nvim\tui\input.c,28,"void tinput_init(TermInput * input, Loop * loop)",3.7894735,1.7894737,2.0,0.0,38,17,36,4,8,4,0,2,false
neovim\src\nvim\fileio.c,3870,"static bool time_differs(long t1, long t2) FUNC_ATTR_CONST",3.75,1.25,2.5,0.0,8,5,15,2,5,3,0,1,false
neovim\test\symbolic\klee\viml_expressions_lexer.c,34,"int main(const int argc, const char * const * const argv, const char * const * const environ)",3.4054723,2.2388058,1.1666666,0.0,67,25,30,6,7,2,0,3,false
neovim\src\nvim\os\signal.c,110,static char * signal_name(int signum),3.3703704,2.3703704,1.0,0.0,27,16,16,4,4,4,0,0,false
neovim\src\nvim\version.c,2131,void list_version(void),3.3076923,2.3076923,1.0,0.0,39,30,30,3,3,2,0,0,false
neovim\test\functional\fixtures\tty-test.c,134,"int main(int argc, char * * argv)",3.196875,1.796875,1.4,0.0,64,23,36,5,7,2,0,7,false
neovim\src\nvim\os\signal.c,157,"static void on_signal(SignalWatcher * handle, int signum, void * data)",3.1818182,2.1818182,1.0,0.0,33,18,18,4,4,4,0,0,false
neovim\src\nvim\marktree.c,1097,void marktree_check(MarkTree * b),3.1666665,1.6666666,1.5,0.0,18,15,19,2,3,2,0,3,false
neovim\src\nvim\ui.c,113,void ui_builtin_start(void),3.1666665,1.6666666,1.5,0.0,18,15,29,2,3,2,0,1,false
neovim\src\nvim\path.c,323,"int path_fnamencmp(const char * const fname1, const char * const fname2, size_t len) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT",3.1551723,1.6551725,1.5,0.0,29,24,31,2,3,2,0,1,false
neovim\src\nvim\mbyte.c,1036,bool utf_printable(int c),3.0714285,1.5714285,1.5,0.0,14,11,21,2,3,2,0,1,false
neovim\src\nvim\shada.c,3281,static inline uint64_t be64toh(uint64_t big_endian_64_bits),3.0384617,1.5384616,1.5,0.0,13,10,19,2,3,2,0,1,false
neovim\src\nvim\ex_getln.c,4044,"char * vim_strsave_fnameescape(const char * const fname, const bool shell) FUNC_ATTR_NONNULL_RET FUNC_ATTR_MALLOC FUNC_ATTR_NONNULL_ALL",3.0,1.5,1.5,0.0,32,24,37,2,3,2,0,1,false
neovim\src\nvim\msgpack_rpc\server.c,87,char * server_address_new(void),3.0,1.5,1.5,0.0,12,9,13,2,3,2,0,1,false
neovim\src\nvim\charset.c,1877,bool rem_backslash(const char_u * str) FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT FUNC_ATTR_NONNULL_ALL,2.9666667,1.4666667,1.5,0.0,15,11,15,2,3,2,0,1,false
neovim\src\nvim\os\time.c,118,"struct tm * os_localtime_r(const time_t * restrict clock, struct tm * restrict result) FUNC_ATTR_NONNULL_ALL",2.9285715,1.4285715,1.5,0.0,14,10,19,2,3,2,0,1,false
neovim\src\nvim\os\env.c,127,"int os_setenv(const char * name, const char * value, int overwrite) FUNC_ATTR_NONNULL_ALL",2.9166667,1.5833334,1.3333334,0.0,36,19,25,3,4,2,0,1,false
neovim\src\nvim\path.c,2286,int path_is_absolute(const char_u * fname),2.9,1.4,1.5,0.0,10,7,11,2,3,2,0,1,false
neovim\src\nvim\buffer.c,154,"int open_buffer(int read_stdin, exarg_T * eap, int flags)",2.8204722,1.2204725,1.0,0.6,127,31,41,5,5,4,3,0,false
neovim\src\nvim\path.c,302,"int path_fnamecmp(const char * fname1, const char * fname2) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT",2.7727273,1.2727273,1.5,0.0,11,7,11,2,3,2,0,1,false
neovim\src\nvim\math.c,18,int xfpclassify(double d),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\math.c,31,int xisnan(double d),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\os\env.c,348,int64_t os_get_pid(void),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\os\users.c,113,"int os_get_user_name(char * s, size_t len)",2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\path.c,236,int vim_ispathlistsep(int c),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\test\functional\fixtures\tty-test.c,24,bool owns_tty(void),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\os\fileio.c,280,"ptrdiff_t file_read(FileDescriptor * const fp, char * const ret_buf, const size_t size) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_WARN_UNUSED_RESULT",2.7222223,1.2222222,1.5,0.0,72,44,68,2,3,2,0,1,false
neovim\src\nvim\os\users.c,144,char * os_get_user_directory(const char * name),2.6923077,0.6923077,2.0,0.0,13,9,18,1,2,2,0,0,false
neovim\src\nvim\os\env.c,405,void init_homedir(void),2.6666665,1.6666666,1.0,0.0,54,45,45,2,2,2,0,0,false
neovim\test\symbolic\klee\viml_expressions_parser.c,33,"int main(const int argc, const char * const * const argv, const char * const * const environ)",2.6473684,1.4473684,1.2,0.0,76,22,27,5,6,2,0,2,false
neovim\src\nvim\os\users.c,126,"int os_get_uname(uv_uid_t uid, char * s, size_t len)",2.6153846,0.61538464,2.0,0.0,13,8,16,1,2,2,0,0,false
