"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\coverity-model.c.xml,32,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\buffer.c.xml,2061,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\buffer.h.xml,9,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\defs.h.xml,177,1,2,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\dispatch.c.xml,77,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\dispatch.h.xml,23,1,2,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\handle.c.xml,30,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\handle.h.xml,16,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\helpers.c.xml,2301,2,7,1.0,0.0,,,,,,,,1,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\private\helpers.h.xml,105,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\tabpage.c.xml,218,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\tabpage.h.xml,9,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\ui.c.xml,1181,1,2,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\ui.h.xml,9,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\ui_events.in.h.xml,287,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\vim.c.xml,3254,2,19,1.0,0.0,,,,,,,,1,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\vim.h.xml,15,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\window.c.xml,666,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\api\window.h.xml,9,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\arabic.c.xml,1425,1,32,1.0,0.0,,,,,,,,2,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\arabic.h.xml,15,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\ascii.h.xml,221,1,4,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\assert.h.xml,95,5,23,1.1428571428571428,0.37796447300922725,,,,,,,,15,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\aucmd.c.xml,97,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\aucmd.h.xml,7,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\buffer.c.xml,7580,9,56,1.2307692307692308,0.4385290096535146,,,,,,,,3,0,0,0,4,2,5,2,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\buffer.h.xml,169,3,9,1.3333333333333333,0.5773502691896257,,,,,,,,1,0,0,0,0,0,2,2,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\buffer_defs.h.xml,1628,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\buffer_updates.c.xml,551,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\buffer_updates.h.xml,7,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\change.c.xml,2527,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\neovim-analysis\_cppstats\neovim\src\nvim\change.h.xml,9,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
