"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\buffer.c.xml,38,40,#if,defined(INCLUDE_GENERATED_DECLARATIONS),INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\buffer.h.xml,1,11,#if,!defined(NVIM_API_BUFFER_H),NVIM_API_BUFFER_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\buffer.h.xml,8,10,#if,(!defined(NVIM_API_BUFFER_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_BUFFER_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\defs.h.xml,1,133,#if,!defined(NVIM_API_PRIVATE_DEFS_H),NVIM_API_PRIVATE_DEFS_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\defs.h.xml,19,22,#if,(!defined(NVIM_API_PRIVATE_DEFS_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_PRIVATE_DEFS_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\dispatch.c.xml,49,51,#if,defined(INCLUDE_GENERATED_DECLARATIONS),INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\dispatch.h.xml,1,25,#if,!defined(NVIM_API_PRIVATE_DISPATCH_H),NVIM_API_PRIVATE_DISPATCH_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\dispatch.h.xml,20,23,#if,(!defined(NVIM_API_PRIVATE_DISPATCH_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_PRIVATE_DISPATCH_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\handle.h.xml,1,23,#if,!defined(NVIM_API_PRIVATE_HANDLE_H),NVIM_API_PRIVATE_HANDLE_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.c.xml,41,45,#if,defined(INCLUDE_GENERATED_DECLARATIONS),INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.c.xml,493,496,#if,!defined(NDEBUG),NDEBUG
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.c.xml,558,561,#if,!defined(NDEBUG),NDEBUG
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.h.xml,1,128,#if,!defined(NVIM_API_PRIVATE_HELPERS_H),NVIM_API_PRIVATE_HELPERS_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.h.xml,125,127,#if,(!defined(NVIM_API_PRIVATE_HELPERS_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_PRIVATE_HELPERS_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\tabpage.h.xml,1,11,#if,!defined(NVIM_API_TABPAGE_H),NVIM_API_TABPAGE_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\tabpage.h.xml,8,10,#if,(!defined(NVIM_API_TABPAGE_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_TABPAGE_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui.c.xml,23,26,#if,defined(INCLUDE_GENERATED_DECLARATIONS),INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui.h.xml,1,11,#if,!defined(NVIM_API_UI_H),NVIM_API_UI_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui.h.xml,8,10,#if,(!defined(NVIM_API_UI_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_UI_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui_events.in.h.xml,1,168,#if,!defined(NVIM_API_UI_EVENTS_IN_H),NVIM_API_UI_EVENTS_IN_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui_events.in.h.xml,5,7,#if,(!defined(NVIM_API_UI_EVENTS_IN_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_UI_EVENTS_IN_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\vim.c.xml,54,56,#if,defined(INCLUDE_GENERATED_DECLARATIONS),INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\vim.c.xml,2504,2509,#if,defined(WIN32),WIN32
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\vim.c.xml,2509,2525,#else,!(defined(WIN32)),WIN32
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\vim.h.xml,1,15,#if,!defined(NVIM_API_VIM_H),NVIM_API_VIM_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\vim.h.xml,12,14,#if,(!defined(NVIM_API_VIM_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_VIM_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\window.h.xml,1,11,#if,!defined(NVIM_API_WINDOW_H),NVIM_API_WINDOW_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\window.h.xml,8,10,#if,(!defined(NVIM_API_WINDOW_H)) && (defined(INCLUDE_GENERATED_DECLARATIONS)),INCLUDE_GENERATED_DECLARATIONS;NVIM_API_WINDOW_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\arabic.c.xml,248,250,#if,defined(INCLUDE_GENERATED_DECLARATIONS),INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\arabic.c.xml,585,615,#if,0,
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\arabic.c.xml,743,745,#if,0,
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\arabic.c.xml,745,747,#else,!(0),
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\arabic.h.xml,1,16,#if,!defined(NVIM_ARABIC_H),NVIM_ARABIC_H
