"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\coverity-model.c.xml,
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\buffer.c.xml,INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\buffer.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_BUFFER_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\defs.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_PRIVATE_DEFS_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\dispatch.c.xml,INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\dispatch.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_PRIVATE_DISPATCH_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\handle.c.xml,
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\handle.h.xml,NVIM_API_PRIVATE_HANDLE_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.c.xml,INCLUDE_GENERATED_DECLARATIONS;NDEBUG
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\private\helpers.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_PRIVATE_HELPERS_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\tabpage.c.xml,
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\tabpage.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_TABPAGE_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui.c.xml,INCLUDE_GENERATED_DECLARATIONS
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_UI_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\ui_events.in.h.xml,INCLUDE_GENERATED_DECLARATIONS;NVIM_API_UI_EVENTS_IN_H
D:\Pesquisa\Projects\neovim-analysis\_cppstats_featurelocations\neovim\src\nvim\api\vim.c.xml,INCLUDE_GENERATED_DECLARATIONS;WIN32
