Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.24927863,0.36788633,0.23870417,0.010574457,0.12918216,560,2346,4148,392266,139,true
"_WIN32",0.08844972,0.11758368,0.08226769,0.0061820294,0.035315987,193,2346,2425,392266,38,true
"_MSC_VER",0.05504269,0.09332186,0.05242967,0.0026130227,0.040892195,123,2346,1025,392266,44,true
"__APPLE__",0.036199633,0.05233855,0.032821823,0.00337781,0.019516729,77,2346,1325,392266,21,true
"__MINGW32__",0.026784336,0.040871594,0.026001705,7.826322E-4,0.014869888,61,2346,307,392266,16,true
"_DEBUG",0.023779614,0.04024964,0.022591645,0.0011879693,0.017657993,53,2346,466,392266,19,true
AV_VERSION_INT,0.021823702,0.031186517,0.0200341,0.001789602,0.0111524165,47,2346,702,392266,12,true
"__cplusplus",0.02156772,0.028475266,0.019181585,0.002386136,0.00929368,45,2346,936,392266,10,true
CRYPTO,0.018605812,0.017204005,0.015345269,0.0032605426,0.001858736,36,2346,1279,392266,2,true
"__MSVCRT__",0.017945625,0.025840867,0.017476555,4.6906946E-4,0.008364312,41,2346,184,392266,9,true
USE_MBEDTLS,0.014098585,0.015072717,0.013213981,8.846038E-4,0.001858736,31,2346,347,392266,2,true
"_WIN64",0.012233476,0.019370154,0.011935209,2.98267E-4,0.007434944,28,2346,117,392266,8,true
"__GNUC__",0.011786824,0.024520103,0.011508951,2.7787266E-4,0.013011153,27,2346,109,392266,14,true
LIBAVFORMAT_VERSION_INT,0.010975098,0.017162014,0.010656437,3.186613E-4,0.0065055764,25,2346,125,392266,7,true
"__MINGW64__",0.0101837665,0.017238867,0.009803922,3.7984428E-4,0.007434944,23,2346,149,392266,8,true
"__CYGWIN__",0.0097473115,0.010307032,0.009377664,3.6964714E-4,9.29368E-4,22,2346,145,392266,1,true
"__OS2__",0.008825965,0.009454517,0.008525149,3.008163E-4,9.29368E-4,20,2346,118,392266,1,true
PTW32_MUTEX_TYPES,0.00873929,0.012242621,0.008525149,2.1414041E-4,0.003717472,20,2346,84,392266,4,true
"__FreeBSD__",0.008297211,0.0123194745,0.0076726344,6.245762E-4,0.00464684,18,2346,245,392266,5,true
USE_POLARSSL,0.008075423,0.00953137,0.0076726344,4.027879E-4,0.001858736,18,2346,158,392266,2,true
"__DJGPP__",0.007947958,0.008602003,0.0076726344,2.7532337E-4,9.29368E-4,18,2346,108,392266,1,true
LIBAVCODEC_VERSION_INT,0.007894423,0.01882505,0.0076726344,2.2178827E-4,0.0111524165,18,2346,87,392266,12,true
"_UWIN",0.0078128455,0.021613155,0.0076726344,1.4021098E-4,0.013940521,18,2346,55,392266,15,true
WORDS_BIGENDIAN,0.007396785,0.014681321,0.007246377,1.5040814E-4,0.007434944,17,2346,59,392266,8,true
"__VMS",0.00706995,0.0077494876,0.0068201195,2.4983048E-4,9.29368E-4,16,2346,98,392266,1,true
NEED_SEM,0.006727819,0.01197007,0.006393862,3.3395705E-4,0.0055762082,15,2346,131,392266,6,true
DEBUG_AUDIO,0.006602904,0.010111334,0.006393862,2.0904183E-4,0.003717472,15,2346,82,392266,4,true
"__BYTE_ORDER",0.006508054,0.0068969727,0.0059676045,5.404496E-4,9.29368E-4,14,2346,212,392266,1,true
HAVE_SMALL,0.006349998,0.00782634,0.0059676045,3.8239357E-4,0.001858736,14,2346,150,392266,2,true
"__linux__",0.0062041627,0.010188187,0.005541347,6.628155E-4,0.00464684,13,2346,260,392266,5,true
TUKLIB_PHYSMEM_AIX,0.006189393,0.0068969727,0.0059676045,2.2178827E-4,9.29368E-4,14,2346,87,392266,1,true
USE_GNUTLS,0.00581667,0.007400083,0.005541347,2.7532337E-4,0.001858736,13,2346,108,392266,2,true
"__DMC__",0.005788628,0.010188187,0.005541347,2.472812E-4,0.00464684,13,2346,97,392266,5,true
USE_ONLY_MD5,0.0053735394,0.004765685,0.0038363172,0.0015372222,9.29368E-4,9,2346,603,392266,1,true
TUKLIB_PHYSMEM_SYSCONF,0.005321582,0.0060444577,0.0051150895,2.0649254E-4,9.29368E-4,12,2346,81,392266,1,true
"_DEBUG_SHADERS",0.0052624224,0.0056182,0.004688832,5.735904E-4,9.29368E-4,11,2346,225,392266,1,true
"_POSIX_THREAD_PROCESS_SHARED",0.005217061,0.010691298,0.0051150895,1.0197162E-4,0.0055762082,12,2346,40,392266,6,true
COMPILE_PYTHON,0.0048851273,0.0056182,0.004688832,1.9629537E-4,9.29368E-4,11,2346,77,392266,1,true
"__CLEANUP_SEH",0.0047647846,0.0061213104,0.0042625745,5.022102E-4,0.001858736,10,2346,197,392266,2,true
NO_SSL,0.004573588,0.0061213104,0.0042625745,3.1101346E-4,0.001858736,10,2346,122,392266,2,true
HAVE_SCHED_YIELD,0.0045684893,0.0051919427,0.0042625745,3.0591487E-4,9.29368E-4,10,2346,120,392266,1,true
PTW32_STATIC_LIB,0.004466518,0.009838782,0.0042625745,2.0394324E-4,0.0055762082,10,2346,80,392266,6,true
TUKLIB_PHYSMEM_SYSCTL,0.0044461233,0.0051919427,0.0042625745,1.8354892E-4,9.29368E-4,10,2346,72,392266,1,true
COMPILE_LUA,0.004410433,0.0051919427,0.0042625745,1.4785885E-4,9.29368E-4,10,2346,58,392266,1,true
ALIGNED_MALLOC,0.003945937,0.004765685,0.0038363172,1.0961949E-4,9.29368E-4,9,2346,43,392266,1,true
"_OPENMP",0.003940838,0.004765685,0.0038363172,1.04520914E-4,9.29368E-4,9,2346,41,392266,1,true
USE_NEW_HARDWARE_CODEC_METHOD,0.0037057775,0.005268796,0.0034100597,2.957177E-4,0.001858736,8,2346,116,392266,2,true
"__CLEANUP_C",0.003657341,0.006198164,0.0034100597,2.472812E-4,0.0027881041,8,2346,97,392266,3,true
NEED_FTIME,0.0035579186,0.007127532,0.0034100597,1.4785885E-4,0.003717472,8,2346,58,392266,4,true
TUKLIB_PHYSMEM_GETSYSINFO,0.0035247777,0.0043394277,0.0034100597,1.14718074E-4,9.29368E-4,8,2346,45,392266,1,true
THREAD_PRIORITY_LOWEST,0.003501834,0.007127532,0.0034100597,9.177446E-5,0.003717472,8,2346,36,392266,4,true
THREAD_PRIORITY_NORMAL,0.003501834,0.007127532,0.0034100597,9.177446E-5,0.003717472,8,2346,36,392266,4,true
NEED_UNICODE_CONSTS,0.003483989,0.005268796,0.0034100597,7.392943E-5,0.001858736,8,2346,29,392266,2,true
TRACK_OVERHEAD,0.0034788905,0.0043394277,0.0034100597,6.883084E-5,9.29368E-4,8,2346,27,392266,1,true
"__CLEANUP_CXX",0.0032591256,0.005771906,0.0029838022,2.7532337E-4,0.0027881041,7,2346,108,392266,3,true
BUILD_CAPTIONS,0.003254027,0.0048425384,0.0029838022,2.702248E-4,0.001858736,7,2346,106,392266,2,true
SHUTDOWN_ON_DEACTIVATE,0.0030883232,0.00391317,0.0029838022,1.04520914E-4,9.29368E-4,7,2346,41,392266,1,true
USE_XINPUT,0.0030266142,0.0034869127,0.0025575447,4.6906946E-4,9.29368E-4,6,2346,184,392266,1,true
LIBAVUTIL_VERSION_INT,0.0029541822,0.004493134,0.0017050299,0.0012491524,0.0027881041,4,2346,490,392266,3,true
TEST_FRAMEDROPS,0.0028277696,0.004416281,0.0025575447,2.702248E-4,0.001858736,6,2346,106,392266,2,true
