File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\ptw32_threadDestroy.c,4.769231,-0.23076923,5.0,0.0,26,6,30,5,5,1,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-outputs\librtmp\amf.c,3.8269522,-1.006381,2.8333333,2.0,1097,92,538,34,5,12,24,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\exit.c,3.6666667,-0.33333334,4.0,0.0,9,3,12,4,3,1,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\graphics\graphics-magick.c,3.3360655,-0.16393442,3.5,0.0,61,5,21,7,4,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\tests\self1.c,3.3333333,-0.6666667,4.0,0.0,18,6,24,8,4,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\ptw32_callUserDestroyRoutines.c,2.7163978,-2.4086022,2.375,2.75,93,28,112,19,6,8,22,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\autostatic.c,2.6944444,-3.5555556,2.5,3.75,27,24,108,10,5,4,15,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\linux-v4l2\v4l2-helpers.c,2.3439023,-0.15609756,2.5,0.0,205,16,45,5,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\jansson\src\load.c,2.1908803,-0.18411967,1.25,1.125,869,20,42,10,6,8,9,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\text-freetype2\text-freetype2.c,2.1512346,-0.09876543,2.25,0.0,405,10,27,9,3,4,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\graphics\graphics-ffmpeg.c,2.1304348,-0.20289853,2.3333333,0.0,207,14,34,7,4,3,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\pthread_setschedparam.c,2.1190476,-0.3809524,2.5,0.0,63,12,37,5,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\mutex.c,2.0555556,-0.44444445,2.5,0.0,27,6,15,5,4,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-outputs\librtmp\md5.c,2.048387,-2.951613,2.6666667,2.3333333,186,183,211,8,5,3,7,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\sched_get_priority_max.c,2.0,-0.5,2.5,0.0,20,5,15,5,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\sched_get_priority_min.c,2.0,-0.5,2.5,0.0,20,5,15,5,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\lzma\liblzma\common\block_buffer_encoder.c,1.9756098,-0.024390243,2.0,0.0,164,4,8,2,2,1,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\win-capture\inject-helper\inject-helper.c,1.969697,-0.030303031,2.0,0.0,99,3,6,2,2,1,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\pthread_cond_wait.c,1.9055119,-0.09448819,2.0,0.0,127,6,12,4,1,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\pthread_rwlock_timedwrlock.c,1.8481013,-0.15189873,2.0,0.0,79,6,12,4,1,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\rtmp-services\rtmp-services-main.c,1.8426967,-0.15730338,2.0,0.0,89,14,28,2,2,1,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\pthread_rwlock_wrlock.c,1.8356165,-0.16438356,2.0,0.0,73,6,12,4,1,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\graphics\graphics.c,1.8159182,-0.18408181,2.0,0.0,2249,207,582,4,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-ffmpeg\obs-ffmpeg-audio-encoders.c,1.794562,-0.20543806,2.0,0.0,331,17,37,8,5,4,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\glad\src\glad.c,1.7579807,-0.16509627,1.3846154,0.53846157,7323,93,174,18,6,13,7,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\graphics\graphics-imports.c,1.734104,-0.26589596,2.0,0.0,173,23,64,4,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\lzma\liblzma\check\sha256.c,1.733871,-0.26612902,2.0,0.0,124,11,24,6,4,3,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-ffmpeg\obs-ffmpeg-output.c,1.7014925,-0.29850745,2.0,0.0,938,40,77,14,5,7,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\tests\exit5.c,1.6945812,-1.4482759,3.142857,0.0,87,18,66,22,4,7,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\pthread_once.c,1.6571429,-0.34285715,2.0,0.0,35,6,12,4,1,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\tests\exit4.c,1.6247847,-1.5180724,3.142857,0.0,83,18,66,22,4,7,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\w32-pthreads\pthread_exit.c,1.6203704,-1.6296296,3.25,0.0,27,11,39,13,6,4,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\graphics\libnsgif\libnsgif.c,1.4854652,-0.014534884,1.5,0.0,688,5,9,3,2,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\media-playback\media-playback\media.c,1.480226,-0.01977401,1.5,0.0,708,7,11,3,3,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-filters\compressor-filter.c,1.4773242,-0.022675738,1.5,0.0,441,5,9,3,2,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\obs-hotkey.c,1.4749413,-0.025058731,1.5,0.0,1277,16,25,3,2,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\deps\obs-scripting\obs-scripting-lua.c,1.4744174,-0.27558258,1.75,0.0,987,34,55,14,5,8,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-filters\expander-filter.c,1.4732621,-0.026737968,1.5,0.0,374,5,9,3,2,2,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\win-capture\game-capture.c,1.4727273,-0.027272727,1.5,0.0,1760,12,22,6,2,4,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\libobs\obs-windows.c,1.4643811,-0.03561888,1.5,0.0,1123,10,18,6,2,4,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-ffmpeg\obs-ffmpeg-nvenc.c,1.4583333,-0.6666667,2.125,0.0,456,38,88,17,5,8,0,true
D:\Pesquisa\Projects\obs-analysis\source\obs-studio\plugins\obs-filters\noise-suppress-filter.c,1.4519231,-0.048076924,1.5,0.0,208,5,9,3,2,2,0,true
