FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
obs-studio\deps\lzma\common\tuklib_physmem.c,69,extern uint64_t tuklib_physmem(void),24.349722,12.195876,11.153846,1.0,97,91,1183,13,145,14,13,66,true
obs-studio\deps\w32-pthreads\ptw32_threadStart.c,124,unsigned __stdcall #else void #endif ptw32_threadStart(void * vthreadParms),18.462828,14.756945,2.8235295,0.88235295,144,125,487,17,48,10,15,15,true
obs-studio\deps\w32-pthreads\ptw32_throw.c,61,"void ptw32_throw(DWORD exception) #if defined(__CLEANUP_CXX) throw(ptw32_exception_cancel, ptw32_exception_exit) #endif",13.254974,9.671641,2.5,1.0833334,67,54,228,12,30,9,13,9,true
obs-studio\deps\w32-pthreads\ptw32_relmillisecs.c,45,INLINE #endif DWORD ptw32_relmillisecs(const struct timespec * abstime),12.078788,4.7454543,4.0,3.3333333,55,29,139,9,36,6,30,6,true
obs-studio\plugins\obs-outputs\librtmp\rtmp.c,366,void RTMP_TLS_Init(RTMP * r),11.851351,5.3513513,3.5,3.0,37,33,173,6,21,6,18,10,true
obs-studio\plugins\obs-outputs\librtmp\amf.c,77,double AMF_DecodeNumber(const char * data),10.0986395,5.265306,2.8333333,2.0,49,43,251,6,17,5,12,3,true
obs-studio\plugins\obs-outputs\librtmp\amf.c,194,"char * AMF_EncodeNumber(char * output, char * outend, double dVal)",9.991228,5.1578946,2.8333333,2.0,57,49,287,6,17,5,12,3,true
obs-studio\plugins\obs-outputs\librtmp\rtmp.c,2507,"static int b64enc(const unsigned char * input, int length, char * output, int maxsize)",9.377464,4.5774646,4.8,0.0,71,65,355,5,24,5,0,10,false
obs-studio\plugins\obs-outputs\librtmp\rtmp.c,286,void RTMP_TLS_LoadCerts(RTMP * r),8.570895,3.8208954,2.5,2.25,67,64,209,4,10,5,9,3,true
obs-studio\libobs\util\threading-windows.c,168,void os_set_thread_name(const char * name),7.8333335,5.3333335,1.5,1.0,27,24,67,6,9,3,6,3,true
obs-studio\deps\lzma\common\tuklib_cpucores.c,31,extern uint32_t tuklib_cpucores(void),6.8461537,3.846154,2.4,0.6,26,20,69,5,12,5,3,4,true
obs-studio\deps\w32-pthreads\tests\exception1.c,139,void * canceledThread(void * arg),6.7536235,2.0869565,3.3333333,1.3333334,23,16,46,3,10,4,4,6,true
obs-studio\deps\w32-pthreads\tests\exception1.c,85,void * exceptionedThread(void * arg),6.7066665,2.04,3.3333333,1.3333334,25,17,46,3,10,4,4,6,true
obs-studio\deps\w32-pthreads\create.c,44,"int pthread_create(pthread_t * tid, const pthread_attr_t * attr, void *(PTW32_CDECL * start)(void *), void * arg)",6.6161394,3.4732826,2.857143,0.2857143,131,65,311,7,20,9,2,5,false
obs-studio\deps\w32-pthreads\pthread_win32_attach_detach_np.c,47,BOOL pthread_win32_process_attach_np(),6.1032863,4.4366198,1.6666666,0.0,71,35,71,9,15,5,0,4,false
obs-studio\plugins\vlc-video\vlc-video-plugin.c,143,static bool load_libvlc_module(void),5.8397436,3.5897436,1.5,0.75,39,35,65,4,6,3,3,2,true
obs-studio\libobs\util\threading-posix.c,252,void os_set_thread_name(const char * name),5.770833,2.4375,3.3333333,0.0,16,13,66,3,10,5,0,4,false
obs-studio\plugins\obs-outputs\librtmp\rtmp.c,928,"int RTMP_Connect1(RTMP * r, RTMPPacket * cp)",5.5444446,2.9444444,1.8,0.8,90,53,155,5,9,4,4,4,true
