"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\frontend-plugins\decklink-output-ui\DecklinkOutputUI.h.xml,48,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\frontend-plugins\decklink-output-ui\decklink-ui-main.h.xml,10,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,76,3,8,1.0,0.0,,,,,,,,2,0,0,0,0,0,4,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\obf.c.xml,36,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\obf.h.xml,16,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\obs-frontend-api\obs-frontend-api.h.xml,274,2,60,1.0,0.0,,,,,,,,1,0,0,0,0,0,3,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\win-update\updater\init-hook-files.c.xml,310,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\UI\win-update\updater\resource.h.xml,26,2,5,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\cmake\Modules\CheckForPthreads.c.xml,63,3,6,1.0,0.0,,,,,,,,2,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\blake2\src\blake2-impl.h.xml,254,5,51,1.125,0.3535533905932738,,,,,,,,5,0,0,0,0,0,12,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\blake2\src\blake2.h.xml,286,2,4,1.0,0.0,,,,,,,,3,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\blake2\src\blake2b-ref.c.xml,548,2,58,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\file-updater\file-updater\file-updater.c.xml,886,1,1,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\file-updater\file-updater\file-updater.h.xml,42,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\include\KHR\khrplatform.h.xml,190,19,59,1.1111111111111112,0.33333333333333337,,,,,,,,20,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\include\glad\glad.h.xml,25924,526,12683,2.0386847195357833,0.34446426668921926,,,,,,,,7,0,0,0,0,0,525,6,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\include\glad\glad_glx.h.xml,2047,90,960,2.259259259259259,0.8482007099999636,,,,,,,,5,0,0,0,0,0,90,6,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\include\glad\glad_wgl.h.xml,1715,65,813,2.1818181818181817,0.8395803147377291,,,,,,,,7,0,0,0,0,0,65,6,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\src\glad.c.xml,14632,5,74,1.3333333333333333,0.5,,,,,,,,4,0,0,0,0,0,9,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\src\glad_glx.c.xml,1328,4,69,1.3,0.48304589153964794,,,,,,,,5,0,0,0,0,0,11,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\glad\src\glad_wgl.c.xml,1192,2,61,1.5,0.5477225575051661,,,,,,,,3,0,0,0,0,0,7,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\ipc-util\ipc-util\pipe-posix.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\ipc-util\ipc-util\pipe-posix.h.xml,4,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\ipc-util\ipc-util\pipe-windows.c.xml,400,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\ipc-util\ipc-util\pipe-windows.h.xml,38,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\ipc-util\ipc-util\pipe.h.xml,58,4,7,1.25,0.5,,,,,,,,2,0,0,0,0,0,4,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\android\jansson_config.h.xml,15,1,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\doc\github_commits.c.xml,304,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\examples\simple_parse.c.xml,270,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\dump.c.xml,689,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\error.c.xml,102,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\hashtable.c.xml,535,3,3,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\hashtable.h.xml,74,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\hashtable_seed.c.xml,377,19,129,1.1578947368421053,0.3746343246326776,,,,,,,,15,0,0,0,0,0,10,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\jansson.h.xml,414,6,18,1.5,0.8366600265340756,,,,,,,,1,0,0,0,0,0,7,3,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\jansson_private.h.xml,141,8,15,1.8571428571428572,0.8997354108424372,,,,,,,,9,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\load.c.xml,1725,5,8,1.5,0.8366600265340756,,,,,,,,6,0,0,0,0,0,2,3,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\lookup3.h.xml,351,22,54,1.4545454545454546,0.8201995322647243,,,,,,,,7,0,0,0,0,0,9,3,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\memory.c.xml,90,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\pack_unpack.c.xml,1362,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\strbuffer.c.xml,161,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\strbuffer.h.xml,28,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\strconv.c.xml,197,3,30,1.0,0.0,,,,,,,,4,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\utf.c.xml,280,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\utf.h.xml,20,2,2,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\src\value.c.xml,1536,6,6,1.1666666666666667,0.408248290463863,,,,,,,,6,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\bin\json_process.c.xml,594,4,9,1.0,0.0,,,,,,,,4,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_array.c.xml,614,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_copy.c.xml,526,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_dump.c.xml,306,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_dump_callback.c.xml,126,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_equal.c.xml,284,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_load.c.xml,318,1,9,1.0,0.0,,,,,,,,0,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_load_callback.c.xml,112,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_loadb.c.xml,48,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_memory_funcs.c.xml,190,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_number.c.xml,121,3,27,1.4,0.5477225575051661,,,,,,,,2,0,0,0,0,0,3,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_object.c.xml,782,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_pack.c.xml,489,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_simple.c.xml,363,1,9,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\test_unpack.c.xml,582,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\test\suites\api\util.h.xml,38,3,3,1.0,0.0,,,,,,,,2,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\jansson\win32\jansson_config.h.xml,13,1,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\caption.h.xml,130,3,5,1.25,0.5,,,,,,,,1,0,0,0,0,0,4,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\cea708.h.xml,110,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\dvtcc.h.xml,22,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\eia608.h.xml,152,3,4,1.25,0.5,,,,,,,,1,0,0,0,0,0,3,2,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\eia608_charmap.h.xml,368,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\mpeg.h.xml,180,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\scc.h.xml,30,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\srt.h.xml,44,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\utf8.h.xml,47,2,3,1.0,0.0,,,,,,,,1,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\vtt.h.xml,102,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\caption\xds.h.xml,34,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\caption.c.xml,660,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\cea708.c.xml,424,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\dvtcc.c.xml,30,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\eia608.c.xml,454,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\eia608_charmap.c.xml,356,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\eia608_from_utf8.c.xml,934,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\mpeg.c.xml,1066,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\scc.c.xml,136,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\srt.c.xml,56,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\utf8.c.xml,333,1,15,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\vtt.c.xml,546,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libcaption\src\xds.c.xml,64,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-audio-decoder.c.xml,278,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-callbacks.c.xml,66,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-callbacks.h.xml,56,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-circular-queue.c.xml,186,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-circular-queue.h.xml,60,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-clock.c.xml,190,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-clock.h.xml,72,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-compat.h.xml,24,1,9,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-decoder.c.xml,520,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-decoder.h.xml,106,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-demuxer.c.xml,988,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-demuxer.h.xml,108,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-frame.h.xml,30,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-packet-queue.c.xml,206,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-packet-queue.h.xml,80,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\obs-analysis\_cppstats\obs-studio\deps\libff\libff\ff-threading-posix.c.xml,16,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
