"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,10,13,#if,defined(_WIN32) && BUILD_CAPTIONS,BUILD_CAPTIONS;_WIN32
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,18,21,#if,ENABLE_SCRIPTING,ENABLE_SCRIPTING
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,25,27,#if,defined(_WIN32) && BUILD_CAPTIONS,BUILD_CAPTIONS;_WIN32
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,30,32,#if,ENABLE_SCRIPTING,ENABLE_SCRIPTING
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,38,40,#if,defined(_WIN32) && BUILD_CAPTIONS,BUILD_CAPTIONS;_WIN32
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,43,45,#if,ENABLE_SCRIPTING,ENABLE_SCRIPTING
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obf.h.xml,5,7,#if,defined(__cplusplus),__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obf.h.xml,11,13,#if,defined(__cplusplus),__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obs-frontend-api\obs-frontend-api.h.xml,6,8,#if,defined(__cplusplus),__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obs-frontend-api\obs-frontend-api.h.xml,56,71,#if,!defined(SWIG),SWIG
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obs-frontend-api\obs-frontend-api.h.xml,86,151,#if,!defined(SWIG),SWIG
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obs-frontend-api\obs-frontend-api.h.xml,197,199,#if,defined(__cplusplus),__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\win-update\updater\resource.h.xml,14,21,#if,defined(APSTUDIO_INVOKED),APSTUDIO_INVOKED
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\win-update\updater\resource.h.xml,15,20,#if,(defined(APSTUDIO_INVOKED)) && (!defined(APSTUDIO_READONLY_SYMBOLS)),APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\cmake\Modules\CheckForPthreads.c.xml,8,12,#if,defined(__CLASSIC_C__),__CLASSIC_C__
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\cmake\Modules\CheckForPthreads.c.xml,12,14,#else,!(defined(__CLASSIC_C__)),__CLASSIC_C__
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\cmake\Modules\CheckForPthreads.c.xml,19,21,#if,defined(__BEOS__) && !defined(__ZETA__),__BEOS__;__ZETA__
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,15,160,#if,!defined(BLAKE2_IMPL_H),BLAKE2_IMPL_H
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,21,29,#if,(!defined(BLAKE2_IMPL_H)) && (!defined(__cplusplus) && (!defined(__STDC_VERSION__) || __STDC_VERSION__ < 199901L)),BLAKE2_IMPL_H;__STDC_VERSION__;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,22,24,#if,((!defined(BLAKE2_IMPL_H)) && (!defined(__cplusplus) && (!defined(__STDC_VERSION__) || __STDC_VERSION__ < 199901L))) && (defined(_MSC_VER)),BLAKE2_IMPL_H;_MSC_VER;__STDC_VERSION__;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,24,26,#elif,(((!defined(BLAKE2_IMPL_H)) && (!defined(__cplusplus) && (!defined(__STDC_VERSION__) || __STDC_VERSION__ < 199901L))) && (!(defined(_MSC_VER)))) && (defined(__GNUC__)),BLAKE2_IMPL_H;_MSC_VER;__GNUC__;__STDC_VERSION__;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,26,28,#else,(((!defined(BLAKE2_IMPL_H)) && (!defined(__cplusplus) && (!defined(__STDC_VERSION__) || __STDC_VERSION__ < 199901L))) && (!(defined(_MSC_VER)))) && (!(defined(__GNUC__))),BLAKE2_IMPL_H;_MSC_VER;__GNUC__;__STDC_VERSION__;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,29,31,#else,(!defined(BLAKE2_IMPL_H)) && (!(!defined(__cplusplus) && (!defined(__STDC_VERSION__) || __STDC_VERSION__ < 199901L))),BLAKE2_IMPL_H;__STDC_VERSION__;__cplusplus
