"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\decklink-output-ui\DecklinkOutputUI.h.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\decklink-output-ui\decklink-ui-main.h.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\frontend-plugins\frontend-tools\frontend-tools.c.xml,BUILD_CAPTIONS;ENABLE_SCRIPTING;_WIN32
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obf.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obf.h.xml,__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\obs-frontend-api\obs-frontend-api.h.xml,SWIG;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\win-update\updater\init-hook-files.c.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\UI\win-update\updater\resource.h.xml,APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\cmake\Modules\CheckForPthreads.c.xml,__BEOS__;__CLASSIC_C__;__ZETA__
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2-impl.h.xml,BLAKE2_IMPL_H;NATIVE_LITTLE_ENDIAN;_MSC_VER;__GNUC__;__STDC_VERSION__;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2.h.xml,BLAKE2_H;_MSC_VER;__cplusplus
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\blake2\src\blake2b-ref.c.xml,BLAKE2B_SELFTEST;SUPERCOP
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\file-updater\file-updater\file-updater.c.xml,LIBCURL_VERSION_NUM
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\file-updater\file-updater\file-updater.h.xml,
D:\Pesquisa\Projects\obs-analysis\_cppstats_featurelocations\obs-studio\deps\glad\include\KHR\khrplatform.h.xml,KHRONOS_MAX_ENUM;KHRONOS_SUPPORT_FLOAT;KHRONOS_SUPPORT_INT64;_LP64;_WIN32;_WIN32_WCE;_WIN64;__ARMCC_2__;__GNUC__;__SCITECH_SNAP__;__SCO__;__STDC_VERSION__;__SYMBIAN32__;__USLC__;__VMS;__arch64__;__digital__;__khrplatform_h_;__sgi;__sun__
