File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\qnx\src\utils.c,7.5,-1.0,5.3333335,3.1666667,258,43,385,32,8,6,19,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\sdb\src\cdb_make.c,3.2242775,-0.37572253,3.6,0.0,173,13,56,18,5,5,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\search\old_xrefs.c,2.6460178,-0.3539823,3.0,0.0,339,20,59,18,7,6,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\native\xnu\trap_arm.c,2.0243902,-0.9756098,3.0,0.0,82,80,240,3,3,1,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\windbg\windbg.c,1.9896324,-0.010367578,2.0,0.0,1061,11,22,2,2,1,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\main\ragg2.c,1.8175313,-0.18246868,2.0,0.0,559,17,38,12,5,6,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\gdb\src\gdbclient\core.c,1.6711712,-0.07882883,1.75,0.0,1776,35,87,7,4,4,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\main\r2agent.c,1.6040515,-0.7292818,2.3333333,0.0,181,22,54,14,8,6,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\core\cmd_debug.c,1.5656196,-0.43438044,2.0,0.0,5189,98,187,46,10,23,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\asm\arch\tms320\tms320_dasm.c,1.4887767,-0.011223344,1.5,0.0,891,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\egg\egg_lang.c,1.4884201,-0.011579818,1.5,0.0,1209,7,12,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\str.c,1.4875815,-0.012418504,1.5,0.0,3221,10,18,6,2,4,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\bin\format\pe\pe.c,1.4872823,-0.012717722,1.5,0.0,3617,23,36,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\core\cmd_help.c,1.4845228,-0.015477214,1.5,0.0,1163,9,17,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\cons\pal.c,1.484252,-0.015748031,1.5,0.0,635,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\zip\zlib\gzread.c,1.4778271,-0.022172948,1.5,0.0,451,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\grub\fs\udf.c,1.4778051,-0.022194821,1.5,0.0,811,9,15,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\main\rax2.c,1.4761499,-0.023850085,1.5,0.0,587,7,13,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\anal\rtti_msvc.c,1.4586878,-0.041312274,1.5,0.0,823,17,27,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\bin\format\mdmp\mdmp_pe.c,1.4586776,-0.041322313,1.5,0.0,242,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\vector.c,1.458159,-0.041841004,1.5,0.0,239,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\anal\data.c,1.4548873,-0.04511278,1.5,0.0,399,9,16,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\flag\flag.c,1.4505563,-0.04944376,1.5,0.0,809,10,18,6,2,4,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\grub\kern\partition.c,1.45,-0.05,1.5,0.0,200,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\core\cmd_magic.c,1.445946,-0.054054055,1.5,0.0,185,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\core\task.c,1.4416058,-0.05839416,1.5,0.0,548,16,22,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\core\canal.c,1.4352975,-0.06470248,1.5,0.0,5193,84,119,6,2,4,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\bin\format\elf\elf_write.c,1.4349594,-0.06504065,1.5,0.0,246,8,14,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\reg\double.c,1.4107143,-0.08928572,1.5,0.0,112,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\regex\regexec.c,1.4019607,-0.09803922,1.5,0.0,102,5,9,3,2,2,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\asm\arch\arc\gnu\arcompact-dis.c,1.3758919,-0.024108004,1.4,0.0,3111,15,24,7,3,5,0,true
