FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
radare2\shlr\qnx\src\sigutil.c,86,enum target_signal target_signal_from_host(int hostsig),53.70241,52.5913,1.1111112,0.0,230,224,248,54,60,55,0,0,false
radare2\shlr\qnx\src\sigutil.c,327,"static int do_target_signal_to_host(enum target_signal oursig, int * oursig_ok)",52.964706,51.764706,1.1454545,0.054545455,238,224,265,55,63,56,3,1,true
radare2\libr\debug\p\debug_native.c,463,"static RDebugReasonType r_debug_native_wait(RDebug * dbg, int pid) #3",41.596428,30.625,3.9714286,7.0,104,91,403,35,139,25,245,71,true
radare2\libr\debug\p\native\linux\linux_debug.c,27,char * linux_reg_profile(RDebug * dbg),19.435898,10.435898,7.818182,1.1818181,39,37,479,11,86,11,13,38,true
radare2\libr\debug\p\native\reg.c,4,static char * r_debug_native_reg_profile(RDebug * dbg),18.266666,10.266666,4.909091,3.090909,30,28,254,11,54,11,34,19,true
radare2\libr\debug\p\debug_native.c,994,static RList * r_debug_native_map_get(RDebug * dbg),18.21692,11.633588,2.8333333,3.75,131,127,1008,12,34,7,45,20,true
radare2\libr\debug\p\debug_native.c,730,"static int r_debug_native_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)",17.54697,12.613636,3.9333334,1.0,44,37,221,15,59,7,15,23,true
radare2\libr\util\thread.c,67,"R_API bool r_th_setname(RThread * th, const char * name)",17.28,5.2799997,6.1666665,5.8333335,25,22,197,6,37,8,35,10,true
radare2\libr\magic\fsmagic.c,78,"int file_fsmagic(struct r_magic_set * ms, const char * fn, struct stat * sb)",16.407894,14.25,1.2105263,0.94736844,180,135,207,19,23,12,18,4,true
radare2\libr\debug\p\native\linux\linux_debug.c,978,"int linux_reg_read(RDebug * dbg, int type, ut8 * buf, int size)",16.266666,11.2,3.4,1.6666666,150,112,645,15,51,11,25,16,true
radare2\libr\util\thread.c,93,"R_API bool r_th_getname(RThread * th, char * name, size_t len)",16.2,3.2,6.75,6.25,15,12,111,4,27,10,25,3,true
radare2\shlr\lz4\lz4.c,263,static unsigned LZ4_NbCommonBytes(register reg_t val),15.850878,9.684211,6.1666665,0.0,57,46,328,12,74,6,0,32,false
radare2\shlr\zip\zlib\zutil.c,32,uLong ZEXPORT zlibCompileFlags(),14.17349,11.962963,1.3684211,0.84210527,81,51,140,19,26,19,16,4,true
radare2\libr\debug\p\native\xnu\xnu_threads.c,70,"static bool xnu_thread_set_drx(RDebug * dbg, xnu_thread_t * thread)",13.761905,4.9285717,8.333333,0.5,56,46,372,6,50,12,3,13,true
radare2\libr\socket\run.c,758,R_API int r_run_config_env(RRunProfile * p),13.1328125,11.1328125,1.8947369,0.10526316,256,150,230,19,36,8,2,13,true
radare2\libr\util\thread.c,109,"R_API bool r_th_setaffinity(RThread * th, int cpuid)",12.248062,5.5813956,6.6666665,0.0,43,40,262,6,40,7,0,15,false
radare2\libr\debug\p\native\xnu\xnu_threads.c,26,"static bool xnu_thread_get_drx(RDebug * dbg, xnu_thread_t * thread)",11.069767,3.0697675,8.0,0.0,43,33,250,4,32,10,0,6,false
radare2\libr\debug\p\native\bsd\bsd_debug.c,257,"RList * bsd_pid_list(RDebug * dbg, RList * list)",10.99452,4.7945204,3.2,3.0,73,70,205,5,16,5,15,6,true
radare2\libr\io\p\io_self.c,69,"static int update_self_regions(RIO * io, int pid)",10.658576,5.8252425,3.6666667,1.1666666,103,100,530,6,22,5,7,11,true
radare2\libr\util\sys.c,1048,R_API char * r_sys_pid_to_path(int pid),10.310925,6.882353,2.2857144,1.1428572,119,117,277,7,16,5,8,7,true
radare2\libr\debug\p\native\xnu\xnu_threads.c,184,"static bool xnu_thread_get_gpr(RDebug * dbg, xnu_thread_t * thread)",9.976191,2.4761906,7.5,0.0,42,26,239,4,30,11,0,6,false
radare2\libr\debug\p\debug_native.c,712,"static int r_debug_native_reg_read(RDebug * dbg, int type, ut8 * buf, int size)",9.929412,3.5294118,6.4,0.0,17,12,108,5,32,9,0,10,false
radare2\libr\debug\p\native\xnu\xnu_debug.c,325,char * xnu_reg_profile(RDebug * dbg),9.886364,3.6363637,6.25,0.0,22,20,125,4,25,8,0,6,false
radare2\libr\debug\p\debug_native.c,270,"static RDebugInfo * r_debug_native_info(RDebug * dbg, const char * arg)",9.830769,4.230769,5.6,0.0,13,11,84,5,28,7,0,10,false
radare2\libr\debug\p\native\linux\linux_debug.c,886,static void print_fpu(void * f),9.698051,6.840909,2.0,0.85714287,88,86,305,7,14,4,6,5,true
radare2\libr\socket\run.c,236,"static void setASLR(RRunProfile * r, int enabled)",9.287879,5.4545455,3.1666667,0.6666667,22,20,73,6,19,6,4,8,true
radare2\libr\socket\socket.c,258,"R_API bool r_socket_connect(RSocket * s, const char * host, const char * port, int proto, unsigned int timeout) #2",9.232767,6.804196,1.5714285,0.85714287,143,139,284,7,11,5,6,3,true
radare2\libr\debug\p\debug_native.c,137,"static int r_debug_native_attach(RDebug * dbg, int pid)",9.2,3.8,5.4,0.0,25,19,150,5,27,6,0,10,false
radare2\libr\debug\p\native\linux\linux_debug.c,1139,"int linux_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)",9.110119,5.395833,3.7142856,0.0,48,37,130,7,26,10,0,6,false
radare2\libr\debug\p\native\xnu\xnu_excthreads.c,114,"static int modify_trace_bit(RDebug * dbg, xnu_thread_t * th, int enable)",9.1,1.6,7.5,0.0,85,68,605,2,15,9,0,3,false
radare2\libr\debug\p\debug_native.c,1516,static RList * r_debug_desc_native_list(int pid),9.085714,4.285714,4.8,0.0,14,12,80,5,24,5,0,10,false
radare2\libr\debug\p\native\linux\linux_coredump.c,1090,"static ut8 * build_note_section(RDebug * dbg, elf_proc_note_t * elf_proc_note, proc_content_t * proc_data, size_t * section_size)",8.874596,6.607929,2.2666667,0.0,227,100,214,15,34,6,0,3,false
radare2\libr\util\sys.c,365,R_API int r_sys_clearenv(void),8.77957,5.612903,1.8333334,1.3333334,31,29,95,6,11,5,8,5,true
radare2\libr\debug\p\native\xnu\xnu_threads.c,130,"static bool xnu_thread_set_gpr(RDebug * dbg, xnu_thread_t * thread)",8.64539,1.9787233,6.6666665,0.0,47,31,191,3,20,10,0,3,false
radare2\libr\debug\p\debug_native.c,1594,"static bool r_debug_gcore(RDebug * dbg, RBuffer * dest)",8.63077,4.230769,3.8,0.6,13,11,85,5,19,8,3,4,true
radare2\libr\cons\dietline.c,1235,"R_API const char * r_line_readline_cb(RLineReadCallback cb, void * user)",8.279657,6.6725144,1.3928572,0.21428572,684,163,272,28,39,4,6,15,false
radare2\libr\util\sys.c,303,R_API void r_sys_backtrace(void),8.266666,4.6666665,2.6,1.0,30,28,100,5,13,4,5,6,true
radare2\libr\util\mem.c,330,"R_API void r_mem_memzero(void * dst, size_t l)",8.085714,4.285714,2.2,1.6,14,12,51,5,11,4,8,4,true
radare2\libr\io\p\io_self.c,531,"bool bsd_proc_vmmaps(RIO * io, int pid)",7.9601994,3.960199,4.0,0.0,201,199,782,4,16,5,0,6,false
radare2\shlr\qnx\src\utils.c,92,int errnoconvert(int x) #1,7.659091,2.909091,4.75,0.0,33,24,116,4,19,6,0,6,false
radare2\libr\util\sandbox.c,169,"R_API int r_sandbox_system(const char * x, int n)",7.6354837,4.435484,1.4,1.8,62,55,162,5,7,4,9,2,true
radare2\libr\debug\p\debug_native.c,218,"static int r_debug_native_continue(RDebug * dbg, int pid, int tid, int sig)",7.576087,3.826087,3.75,0.0,46,44,233,4,15,4,0,6,false
radare2\libr\debug\p\debug_native.c,1531,"static int r_debug_native_map_protect(RDebug * dbg, ut64 addr, int size, int perms)",7.55,3.8,3.75,0.0,40,38,190,4,15,4,0,6,false
radare2\libr\io\p\io_debug.c,200,static void trace_me(void),7.328947,3.5789473,3.0,0.75,19,17,66,4,12,3,3,10,true
radare2\libr\debug\p\debug_native.c,119,static int r_debug_native_step(RDebug * dbg),7.25,3.5,3.75,0.0,16,14,70,4,15,4,0,6,false
radare2\libr\debug\p\native\xnu\xnu_debug.c,657,"static void get_mach_header_sizes(size_t * mach_header_sz, size_t * segment_command_sz)",7.181818,2.1818182,5.0,0.0,11,8,46,3,15,6,0,3,false
radare2\libr\debug\p\native\xnu\xnu_debug.c,352,"int xnu_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)",7.1764708,3.1764708,4.0,0.0,34,18,96,6,24,10,0,7,false
radare2\libr\debug\p\debug_native.c,955,"static RDebugMap * r_debug_native_map_alloc(RDebug * dbg, ut64 addr, int size, bool thp)",7.1346154,3.3846154,3.75,0.0,13,11,49,4,15,4,0,6,false
radare2\libr\debug\p\debug_native.c,163,"static int r_debug_native_detach(RDebug * dbg, int pid)",7.022727,3.2727273,3.75,0.0,11,9,45,4,15,4,0,6,false
radare2\libr\debug\p\debug_native.c,970,"static int r_debug_native_map_dealloc(RDebug * dbg, ut64 addr, int size)",7.022727,3.2727273,3.75,0.0,11,9,45,4,15,4,0,6,false
radare2\libr\cons\cons.c,1281,R_API int r_cons_get_size(int * rows),6.8852816,4.051948,2.8333333,0.0,77,52,206,6,17,6,0,6,false
radare2\libr\debug\p\debug_native.c,1451,"static int r_debug_native_bp(RBreakpoint * bp, RBreakpointItem * b, bool set)",6.857143,2.857143,3.75,0.25,21,15,85,4,15,7,1,3,true
radare2\libr\debug\p\debug_native.c,601,"static RList * r_debug_native_pids(RDebug * dbg, int pid)",6.784483,3.0344827,3.75,0.0,29,22,58,4,15,4,0,6,false
