"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\alloc.c.xml,12,23,#if,USE_MALLOC,USE_MALLOC
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\alloc.c.xml,23,100,#else,!(USE_MALLOC),USE_MALLOC
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\alloc.c.xml,103,135,#if,__MAIN__,__MAIN__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\alloc.c.xml,108,110,#if,(__MAIN__) && (R_ALLOC_USE_STACK),R_ALLOC_USE_STACK;__MAIN__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\alloc.c.xml,111,118,#if,(__MAIN__) && (R_ALLOC_USE_MMAP),R_ALLOC_USE_MMAP;__MAIN__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\libr2.c.xml,5,7,#if,__WINDOWS__,__WINDOWS__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\libr2.c.xml,11,56,#if,__UNIX__,__UNIX__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\libr2.c.xml,56,103,#elif,(!(__UNIX__)) && (__WINDOWS__),__UNIX__;__WINDOWS__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.c.xml,65,86,#if,__UNIX__,__UNIX__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.c.xml,86,88,#else,!(__UNIX__),__UNIX__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.c.xml,442,470,#if,DO_DIFF,DO_DIFF
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.c.xml,470,483,#else,!(DO_DIFF),DO_DIFF
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,3,195,#if,!defined(RADARE2_R2R_H),RADARE2_R2R_H
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,8,10,#if,(!defined(RADARE2_R2R_H)) && (defined (__FreeBSD__) || defined (__FreeBSD_kernel__)),RADARE2_R2R_H;__FreeBSD__;__FreeBSD_kernel__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,10,12,#elif,((!defined(RADARE2_R2R_H)) && (!(defined (__FreeBSD__) || defined (__FreeBSD_kernel__)))) && (defined(__linux__)),RADARE2_R2R_H;__FreeBSD__;__FreeBSD_kernel__;__linux__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,12,14,#elif,(((!defined(RADARE2_R2R_H)) && (!(defined (__FreeBSD__) || defined (__FreeBSD_kernel__)))) && (!(defined(__linux__)))) && (defined(__APPLE__)),RADARE2_R2R_H;__APPLE__;__FreeBSD__;__FreeBSD_kernel__;__linux__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,14,16,#else,(((!defined(RADARE2_R2R_H)) && (!(defined (__FreeBSD__) || defined (__FreeBSD_kernel__)))) && (!(defined(__linux__)))) && (!(defined(__APPLE__))),RADARE2_R2R_H;__APPLE__;__FreeBSD__;__FreeBSD_kernel__;__linux__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,18,20,#if,(!defined(RADARE2_R2R_H)) && (__i386__),RADARE2_R2R_H;__i386__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,20,22,#elif,((!defined(RADARE2_R2R_H)) && (!(__i386__))) && (__x86_64__),RADARE2_R2R_H;__i386__;__x86_64__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,22,24,#else,((!defined(RADARE2_R2R_H)) && (!(__i386__))) && (!(__x86_64__)),RADARE2_R2R_H;__i386__;__x86_64__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\run.c.xml,10,49,#if,__WINDOWS__,__WINDOWS__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\run.c.xml,49,434,#else,!(__WINDOWS__),__WINDOWS__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\radare2\radare2.c.xml,6,46,#if,EMSCRIPTEN__TODO,EMSCRIPTEN__TODO
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\radare2\radare2.c.xml,46,99,#else,!(EMSCRIPTEN__TODO),EMSCRIPTEN__TODO
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\anal.c.xml,198,203,#if,0,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\anal.c.xml,579,591,#if,0,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\arch\gb\gb.h.xml,1,66,#if,!defined(GB_H),GB_H
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\data.c.xml,68,71,#if,USE_IS_VALID_OFFSET,USE_IS_VALID_OFFSET
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\data.c.xml,71,81,#else,!(USE_IS_VALID_OFFSET),USE_IS_VALID_OFFSET
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\esil.c.xml,142,146,#if,0,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\esil.c.xml,873,927,#if,0,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\esil.c.xml,986,1005,#if,0,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\esil.c.xml,1021,1043,#if,0,
