"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\blob\main.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\alloc.c.xml,R_ALLOC_USE_MMAP;R_ALLOC_USE_STACK;USE_MALLOC;__MAIN__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\demo.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\preload\libr2.c.xml,__UNIX__;__WINDOWS__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2agent\r2agent.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2bb\r2bb.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\load.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.c.xml,DO_DIFF;__UNIX__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\r2r.h.xml,RADARE2_R2R_H;__APPLE__;__FreeBSD__;__FreeBSD_kernel__;__i386__;__linux__;__x86_64__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\r2r\run.c.xml,__WINDOWS__
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\rabin2\rabin2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\radare2\radare2.c.xml,EMSCRIPTEN__TODO
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\radiff2\radiff2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\rafind2\rafind2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\ragg2\ragg2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\rahash2\rahash2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\rarun2\rarun2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\rasign2\rasign2.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\binr\rasm2\rasm2.c.xml,
