Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.18783344,0.3701493,0.18423383,0.003599616,0.1859155,208,1129,1215,337536,66,true
PLATFORM_WEB,0.1313861,0.20360285,0.1275465,0.0038395904,0.07605634,144,1129,1296,337536,27,true
PLATFORM_DESKTOP,0.11092215,0.17284897,0.10806023,0.002861917,0.06478873,122,1129,966,337536,23,true
PLATFORM_ANDROID,0.07471644,0.091463216,0.071744904,0.0029715349,0.01971831,81,1129,1003,337536,7,true
PLATFORM_RPI,0.03655261,0.04210881,0.033658106,0.002894506,0.008450705,38,1129,977,337536,3,true
"_WIN32",0.02986045,0.046130814,0.029229406,6.310438E-4,0.01690141,33,1129,213,337536,6,true
PLATFORM_UWP,0.028406067,0.03220599,0.026572188,0.0018338785,0.0056338026,30,1129,619,337536,2,true
"__linux__",0.01977661,0.033570778,0.01948627,2.903394E-4,0.014084507,22,1129,98,337536,5,true
"_GLFW_WIN32",0.01882273,0.024234334,0.01860053,2.2219852E-4,0.0056338026,21,1129,75,337536,2,true
"__CYGWIN__",0.017898476,0.028982397,0.017714791,1.8368411E-4,0.011267605,20,1129,62,337536,4,true
SUPPORT_QUADS_DRAW_MODE,0.01358245,0.015217256,0.012400354,0.0011820961,0.0028169013,14,1129,399,337536,1,true
"__APPLE__",0.013454965,0.021736799,0.013286094,1.6887087E-4,0.008450705,15,1129,57,337536,3,true
"_GLFW_COCOA",0.013446077,0.018919896,0.013286094,1.5998294E-4,0.0056338026,15,1129,54,337536,2,true
SUPPORT_GESTURES_SYSTEM,0.011858282,0.014331516,0.011514614,3.4366705E-4,0.0028169013,13,1129,116,337536,1,true
SUPPORT_DEFAULT_FONT,0.008404203,0.013605459,0.0079716565,4.3254645E-4,0.0056338026,9,1129,146,337536,2,true
SUPPORT_FILEFORMAT_MP3,0.008161266,0.010788558,0.0079716565,1.896094E-4,0.0028169013,9,1129,64,337536,1,true
SUPPORT_FILEFORMAT_OGG,0.008158303,0.010788558,0.0079716565,1.8664676E-4,0.0028169013,9,1129,63,337536,1,true
SUPPORT_FILEFORMAT_FLAC,0.008152378,0.010788558,0.0079716565,1.8072146E-4,0.0028169013,9,1129,61,337536,1,true
"_MSC_VER",0.008057573,0.022056162,0.0079716565,8.591676E-5,0.014084507,9,1129,29,337536,5,true
RAUDIO_STANDALONE,0.007239974,0.009902818,0.0070859166,1.5405763E-4,0.0028169013,8,1129,52,337536,1,true
EXTERNAL_CONFIG_FLAGS,0.0071570203,0.026804227,0.0070859166,7.1103525E-5,0.01971831,8,1129,24,337536,7,true
SUPPORT_SSH_KEYBOARD_RPI,0.0066593876,0.009017078,0.006200177,4.5921028E-4,0.0028169013,7,1129,155,337536,1,true
HAVE_XKBCOMMON_COMPOSE_H,0.0064134877,0.009017078,0.006200177,2.1331057E-4,0.0028169013,7,1129,72,337536,1,true
SUPPORT_FILEFORMAT_PNG,0.0062742434,0.009017078,0.006200177,7.406617E-5,0.0028169013,7,1129,25,337536,1,true
SUPPORT_IMAGE_MANIPULATION,0.0060434323,0.0063598594,0.0035429583,0.002500474,0.0028169013,4,1129,844,337536,1,true
SUPPORT_MESH_GENERATION,0.0059515904,0.0063598594,0.0035429583,0.002408632,0.0028169013,4,1129,813,337536,1,true
SUPPORT_FILEFORMAT_TTF,0.0058358638,0.008131339,0.0053144377,5.2142586E-4,0.0028169013,6,1129,176,337536,1,true
X_HAVE_UTF8_STRING,0.0055633,0.010948241,0.0053144377,2.4886234E-4,0.0056338026,6,1129,84,337536,2,true
"_GLFW_X11",0.0055277483,0.013765142,0.0053144377,2.1331057E-4,0.008450705,6,1129,72,337536,3,true
SUPPORT_FILEFORMAT_XM,0.005429981,0.008131339,0.0053144377,1.1554323E-4,0.0028169013,6,1129,39,337536,1,true
SUPPORT_FILEFORMAT_MOD,0.0054270183,0.008131339,0.0053144377,1.1258059E-4,0.0028169013,6,1129,38,337536,1,true
SUPPORT_FILEFORMAT_GIF,0.0054210927,0.008131339,0.0053144377,1.0665529E-4,0.0028169013,6,1129,36,337536,1,true
"_POSIX_TIMERS",0.005403317,0.013765142,0.0053144377,8.887941E-5,0.008450705,6,1129,30,337536,3,true
"_POSIX_MONOTONIC_CLOCK",0.005403317,0.013765142,0.0053144377,8.887941E-5,0.008450705,6,1129,30,337536,3,true
SUPPORT_GIF_RECORDING,0.0046242326,0.0072455993,0.0044286977,1.955347E-4,0.0028169013,5,1129,66,337536,1,true
SUPPORT_BUSY_WAIT_LOOP,0.004538316,0.0072455993,0.0044286977,1.0961794E-4,0.0028169013,5,1129,37,337536,1,true
SUPPORT_FILEFORMAT_BMP,0.004484988,0.0072455993,0.0044286977,5.6290293E-5,0.0028169013,5,1129,19,337536,1,true
SUPPORT_FILEFORMAT_TGA,0.004484988,0.0072455993,0.0044286977,5.6290293E-5,0.0028169013,5,1129,19,337536,1,true
TILE_VIEWER_MODE,0.0044820253,0.010062501,0.0044286977,5.3327643E-5,0.0056338026,5,1129,18,337536,2,true
"_GLFW_OSMESA_LIBRARY",0.0044790627,0.0072455993,0.0044286977,5.0364997E-5,0.0028169013,5,1129,17,337536,1,true
"_GLFW_EGL_LIBRARY",0.0044761,0.0072455993,0.0044286977,4.740235E-5,0.0028169013,5,1129,16,337536,1,true
"_GLFW_GLESV2_LIBRARY",0.0044761,0.0072455993,0.0044286977,4.740235E-5,0.0028169013,5,1129,16,337536,1,true
CIRCLE_ERROR_RATE,0.0044731377,0.0072455993,0.0044286977,4.4439705E-5,0.0028169013,5,1129,15,337536,1,true
SUPPORT_FILEFORMAT_GLTF,0.004390275,0.0063598594,0.0035429583,8.4731705E-4,0.0028169013,4,1129,286,337536,1,true
SUPPORT_FILEFORMAT_WAV,0.0040288325,0.0063598594,0.0035429583,4.858741E-4,0.0028169013,4,1129,164,337536,1,true
SUPPORT_FILEFORMAT_KTX,0.00393699,0.0063598594,0.0035429583,3.9403205E-4,0.0028169013,4,1129,133,337536,1,true
