File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\glfw\src\osmesa_context.c,4.5627737,-0.23722628,4.8,0.0,274,13,83,24,5,5,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\games\koala_seasons\screens\screen_title.c,3.474299,-0.025700934,3.5,0.0,856,11,42,7,4,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\glfw\src\glx_context.c,2.1666667,-0.083333336,2.25,0.0,528,11,31,9,4,4,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\games\koala_seasons\screens\screen_gameplay.c,2.065226,-0.7529558,2.8181818,0.0,3214,220,654,31,5,11,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\games\koala_seasons\koala_seasons.c,1.7977011,-0.40229887,2.2,0.0,174,14,35,11,4,5,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\glfw\deps\glad_gl.c,1.7810719,-0.21892816,1.625,0.375,1754,48,73,13,6,8,3,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\glfw\src\wl_window.c,1.7050246,-0.044975404,1.75,0.0,1423,16,29,7,3,4,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\games\koala_seasons\screens\screen_ending.c,1.6067961,-1.8932039,3.5,0.0,412,78,307,35,4,10,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\glfw\deps\glad_vulkan.c,1.5951583,-0.20484172,1.2,0.6,537,22,31,6,4,5,3,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\android\native_app_glue\android_native_app_glue.c,1.4721448,-0.027855154,1.5,0.0,359,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\shaders\shaders_spotlight.c,1.4305556,-0.06944445,1.5,0.0,144,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\shaders\shaders_julia_set.c,1.4056604,-0.094339624,1.5,0.0,106,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\shaders\shaders_postprocessing.c,1.4,-0.1,1.5,0.0,100,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\shaders\shaders_basic_lighting.c,1.3958334,-0.104166664,1.5,0.0,96,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\src\external\glfw\src\win32_init.c,1.3956989,-0.27096775,1.6666666,0.0,465,21,35,10,6,6,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\shaders\shaders_palette_switch.c,1.3809524,-0.11904762,1.5,0.0,84,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\shaders\shaders_fog.c,1.3765432,-0.12345679,1.5,0.0,81,5,9,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\core\core_input_gamepad.c,1.375,-0.125,1.5,0.0,112,7,12,3,2,2,0,true
D:\Pesquisa\Projects\raylib-analysis\source\raylib\examples\text\text_font_sdf.c,1.3648648,-0.13513513,1.5,0.0,74,5,9,3,2,2,0,true
