FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
raylib\src\core.c,2711,"static bool InitGraphicsDevice(int width, int height)",25.415302,23.081968,1.3333334,1.0,366,352,1133,24,32,9,24,5,true
raylib\src\textures.c,196,Image LoadImage(const char * fileName),16.415642,14.945055,1.4117647,0.05882353,91,80,121,17,24,15,1,1,true
raylib\src\core.c,3558,static void PollInputEvents(void),12.324571,10.779117,1.2727273,0.27272728,249,244,262,11,14,9,3,2,true
raylib\src\core.c,3428,static void Wait(float ms),10.704433,6.275862,2.5714285,1.8571428,29,26,137,7,18,8,13,6,true
raylib\src\external\glfw\src\vulkan.c,44,GLFWbool _glfwInitVulkan(int mode),10.392435,5.1702127,3.5555556,1.6666666,94,54,172,9,32,7,15,13,true
raylib\src\core.c,609,"void InitWindow(int width, int height, const char * title)",9.907894,7.1578946,1.375,1.375,76,68,144,8,11,8,11,2,true
raylib\src\raudio.c,1036,Music LoadMusicStream(const char * fileName),9.275863,8.275863,1.0,0.0,116,96,96,10,10,5,0,0,false
raylib\src\textures.c,809,"void ExportImage(Image image, const char * fileName)",7.830357,5.6875,1.1428572,1.0,32,26,47,7,8,7,7,1,true
raylib\src\core.c,1029,void * GetWindowHandle(void),7.75,3.0,4.75,0.0,12,9,57,4,19,5,0,6,false
raylib\games\koala_seasons\screens\screen_ending.c,198,void UpdateEndingScreen(void),7.58377,4.08377,3.5,0.0,191,78,307,10,35,4,0,5,false
raylib\src\core.c,738,void CloseWindow(void),7.078431,5.4117646,1.6666666,0.0,51,46,89,6,10,9,0,1,false
raylib\src\core.c,2303,void OpenURL(const char * url),7.0,3.0,2.2,1.8,25,15,42,5,11,6,9,3,true
raylib\src\external\glfw\src\egl_context.c,459,"GLFWbool _glfwCreateContextEGL(_GLFWwindow * window, const _GLFWctxconfig * ctxconfig, const _GLFWfbconfig * fbconfig)",5.9934688,1.8396226,4.1538463,0.0,212,30,166,13,54,7,0,22,false
raylib\src\external\glfw\src\osmesa_context.c,113,GLFWbool _glfwInitOSMesa(void),5.865574,1.0655738,4.8,0.0,61,13,83,5,24,5,0,10,false
raylib\src\core.c,2672,Vector2 GetTouchPosition(int index),5.6811595,2.347826,3.0,0.33333334,23,18,75,3,9,5,1,1,true
raylib\src\core.c,3937,"static void KeyCallback(GLFWwindow * window, int key, int scancode, int action, int mods)",5.5294123,3.5294118,1.2,0.8,51,36,49,5,6,5,4,1,true
raylib\src\external\glfw\src\egl_context.c,303,GLFWbool _glfwInitEGL(void),5.3172417,0.5172414,4.8,0.0,116,12,75,5,24,5,0,10,false
raylib\src\core.c,2195,"void SaveStorageValue(unsigned int position, int value)",5.169697,2.8363636,1.3333334,1.0,55,52,63,3,4,3,3,1,true
raylib\src\utils.c,114,"void TraceLog(int logType, const char * text, ...)",5.124031,2.7906978,1.3333334,1.0,43,40,84,3,4,3,3,1,true
raylib\src\core.c,2430,const char * GetGamepadName(int gamepad),4.916667,2.25,2.6666667,0.0,12,9,28,3,8,3,0,3,false
raylib\src\core.c,2267,int LoadStorageValue(unsigned int position),4.7777777,2.4444444,1.3333334,1.0,27,22,33,3,4,3,3,1,true
raylib\src\core.c,2639,int GetMouseWheelMove(void),4.7666664,2.1,2.6666667,0.0,10,7,24,3,8,3,0,3,false
