"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\audio\audio_module_playing.c.xml,156,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\audio\audio_multichannel_sound.c.xml,58,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\audio\audio_music_stream.c.xml,84,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\audio\audio_raw_stream.c.xml,152,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\audio\audio_sound_loading.c.xml,50,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\core\core_2d_camera.c.xml,136,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\core\core_2d_camera_platformer.c.xml,424,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\core\core_3d_camera_first_person.c.xml,98,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\core\core_3d_camera_free.c.xml,76,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\core\core_3d_camera_mode.c.xml,58,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\raylib-analysis\_cppstats\raylib\examples\core\core_3d_picking.c.xml,112,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
