"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_basic_window_web.c.xml,20,22,#if,defined(PLATFORM_WEB),PLATFORM_WEB
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_basic_window_web.c.xml,44,46,#if,defined(PLATFORM_WEB),PLATFORM_WEB
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_basic_window_web.c.xml,46,55,#else,!(defined(PLATFORM_WEB)),PLATFORM_WEB
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_gamepad.c.xml,21,24,#if,defined(PLATFORM_RPI),PLATFORM_RPI
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_gamepad.c.xml,24,27,#else,!(defined(PLATFORM_RPI)),PLATFORM_RPI
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_vr_simulator.c.xml,14,16,#if,defined(PLATFORM_DESKTOP),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_vr_simulator.c.xml,16,18,#else,!(defined(PLATFORM_DESKTOP)),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,132,134,#if,defined(PLATFORM_DESKTOP),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,134,136,#else,!(defined(PLATFORM_DESKTOP)),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,164,166,#if,defined(PLATFORM_DESKTOP),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,166,168,#else,!(defined(PLATFORM_DESKTOP)),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,171,173,#if,defined(PLATFORM_DESKTOP),PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,173,175,#else,!(defined(PLATFORM_DESKTOP)),PLATFORM_DESKTOP
