"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\audio\audio_module_playing.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\audio\audio_multichannel_sound.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\audio\audio_music_stream.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\audio\audio_raw_stream.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\audio\audio_sound_loading.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_2d_camera.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_2d_camera_platformer.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_3d_camera_first_person.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_3d_camera_free.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_3d_camera_mode.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_3d_picking.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_basic_window.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_basic_window_web.c.xml,PLATFORM_WEB
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_custom_logging.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_drop_files.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_gamepad.c.xml,PLATFORM_RPI
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_gestures.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_keys.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_mouse.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_mouse_wheel.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_input_multitouch.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_loading_thread.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_random_values.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_scissor_test.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_storage_values.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_vr_simulator.c.xml,PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_window_letterbox.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\core\core_world_screen.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\examples_template.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_animation.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_billboard.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_box_collisions.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_cubicmap.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_first_person_maze.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_geometric_shapes.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_heightmap.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_loading.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_material_pbr.c.xml,PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_mesh_generation.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_mesh_picking.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_orthographic_projection.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_rlgl_solar_system.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_skybox.c.xml,PLATFORM_DESKTOP
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_waving_cubes.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\models_yaw_pitch_roll.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\models\rlights.h.xml,RLIGHTS_H;RLIGHTS_IMPLEMENTATION;__cplusplus
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_ping_pong.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_resolve_host.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_tcp_client.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_tcp_server.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_test.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_udp_client.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\network\network_udp_server.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\others\easings.h.xml,EASINGS_H;EASINGS_STATIC_INLINE;PI;__cplusplus
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\others\easings_testbed.c.xml,
D:\Pesquisa\Projects\raylib-analysis\_cppstats_featurelocations\raylib\examples\others\external\include\GLFW\glfw3.h.xml,APIENTRY;CALLBACK;GLAPIENTRY;GLFW_CALLBACK_DEFINED;GLFW_DLL;GLFW_INCLUDE_ES1;GLFW_INCLUDE_ES2;GLFW_INCLUDE_ES3;GLFW_INCLUDE_ES31;GLFW_INCLUDE_ES32;GLFW_INCLUDE_GLCOREARB;GLFW_INCLUDE_GLEXT;GLFW_INCLUDE_GLU;GLFW_INCLUDE_NONE;GLFW_INCLUDE_VULKAN;GLFW_WINGDIAPI_DEFINED;VK_VERSION_1_0;WIN32;WINGDIAPI;_GLFW_BUILD_DLL;_WIN32;__APPLE__;__GNUC__;__MINGW32__;__WIN32__;__cplusplus;_glfw3_h_
