Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
"",0.21133691,0.42069438,0.18957655,0.021760358,0.23111783,2037,10745,15644,718922,153,true
"_WIN32",0.040633306,0.10959106,0.034062356,0.006570949,0.0755287,366,10745,4724,718922,50,true
UTF8_INPUT_ENABLE,0.017709674,0.0051616784,0.0021405304,0.015569144,0.003021148,23,10745,11193,718922,2,true
SIZEOF_LONG,0.015115879,0.060787775,0.0139599815,0.0011558973,0.046827793,150,10745,831,718922,31,true
"__CYGWIN__",0.0099358875,0.03914587,0.008934388,0.0010014995,0.03021148,96,10745,720,718922,20,true
TIGHT_PARSER,0.009053777,0.0096073635,0.008096789,9.5698837E-4,0.001510574,87,10745,688,718922,1,true
"__GNUC__",0.008953243,0.043119192,0.008375989,5.772532E-4,0.0347432,90,10745,415,718922,23,true
UTF8_OUTPUT_ENABLE,0.008640645,0.006092344,0.003071196,0.0055694496,0.003021148,33,10745,4004,718922,2,true
"__APPLE__",0.008517634,0.034728725,0.00753839,9.792439E-4,0.027190333,81,10745,704,718922,18,true
"__cplusplus",0.00817646,0.0712617,0.00781759,3.5887063E-4,0.06344411,84,10745,258,718922,42,true
SIZEOF_BDIGIT,0.007792061,0.0116978455,0.007166124,6.259372E-4,0.004531722,77,10745,450,718922,3,true
"_MSC_VER",0.007510722,0.032101348,0.0064215916,0.0010891306,0.025679758,69,10745,783,718922,17,true
HAVE_WORKING_FORK,0.007199039,0.01455437,0.005490926,0.001708113,0.009063444,59,10745,1228,718922,6,true
SIZEOF_INT,0.0067167347,0.039468087,0.0062354584,4.8127613E-4,0.03323263,67,10745,346,718922,22,true
"__linux__",0.006272652,0.02966011,0.005490926,7.81726E-4,0.024169184,59,10745,562,718922,16,true
USE_ELF,0.006007431,0.0051616784,0.0021405304,0.0038669007,0.003021148,23,10745,2780,718922,2,true
USE_PACK,0.005845624,0.0070015,0.005490926,3.5469772E-4,0.001510574,59,10745,255,718922,1,true
NDEBUG,0.005803041,0.007116076,0.004094928,0.001708113,0.003021148,44,10745,1228,718922,2,true
USE_SUBEXP_CALL,0.0056467378,0.008998916,0.004467194,0.0011795438,0.004531722,48,10745,848,718922,3,true
SIZEOF_VOIDP,0.0055066124,0.026359763,0.0052117263,2.9488595E-4,0.021148037,56,10745,212,718922,14,true
MJIT_HEADER,0.0053395308,0.0073452275,0.0013029316,0.0040365993,0.006042296,14,10745,2902,718922,4,true
HAVE_SETRESUID,0.0052222344,0.007674475,0.004653327,5.6890736E-4,0.003021148,50,10745,409,718922,2,true
HAVE_SETRESGID,0.005127777,0.0060708346,0.0045602606,5.6751637E-4,0.001510574,49,10745,408,718922,1,true
X0212_ENABLE,0.005071436,0.0050686123,0.002047464,0.003023972,0.003021148,22,10745,2174,718922,2,true
USE_NAMED_GROUP,0.0046349047,0.0074167848,0.0028850627,0.0017498421,0.004531722,31,10745,1258,718922,3,true
INET6,0.004573422,0.01617952,0.004094928,4.7849418E-4,0.012084592,44,10745,344,718922,8,true
WORDS_BIGENDIAN,0.0044967905,0.020804308,0.0041879946,3.0879566E-4,0.016616315,45,10745,222,718922,11,true
HAVE_FCNTL,0.0044043665,0.011182466,0.0036295953,7.747711E-4,0.00755287,39,10745,557,718922,5,true
SIZEOF_LONG_LONG,0.004207725,0.026660472,0.0040018614,2.0586378E-4,0.02265861,43,10745,148,718922,15,true
"__MINGW32__",0.004164862,0.02345319,0.0038157282,3.4913383E-4,0.019637462,41,10745,251,718922,13,true
HAVE_SETREUID,0.003955211,0.006557677,0.0035365287,4.186824E-4,0.003021148,38,10745,301,718922,2,true
RUBY_MSVCRT_VERSION,0.0038887016,0.01241384,0.0033503955,5.3830596E-4,0.009063444,36,10745,387,718922,6,true
HAVE_SETREGID,0.0038551895,0.0049540363,0.003443462,4.1172755E-4,0.001510574,37,10745,296,718922,1,true
HAVE_STRUCT_MSGHDR_MSG_CONTROL,0.0037967921,0.005440878,0.0024197302,0.0013770618,0.003021148,26,10745,990,718922,2,true
"__sun",0.0037927243,0.02751958,0.0033503955,4.4232892E-4,0.024169184,36,10745,318,718922,16,true
HAVE_MACH_O_LOADER_H,0.0036117102,0.0034864808,4.653327E-4,0.0031463774,0.003021148,5,10745,2262,718922,2,true
SHIFTJIS_CP932,0.0035926816,0.0061854105,0.0031642625,4.284192E-4,0.003021148,34,10745,308,718922,2,true
DOSISH,0.0035438691,0.015341921,0.0032573289,2.8654013E-4,0.012084592,35,10745,206,718922,8,true
Pack_32,0.0035010062,0.00458177,0.003071196,4.298102E-4,0.001510574,33,10745,309,718922,1,true
THREAD_SYSTEM_DEPENDENT_IMPLEMENTATION,0.0034549162,0.0032072812,1.8613308E-4,0.003268783,0.003021148,2,10745,2350,718922,2,true
VM_CHECK_MODE,0.0033984599,0.01185544,0.0027919963,6.064636E-4,0.009063444,30,10745,436,718922,6,true
"__x86_64__",0.0032578432,0.013459081,0.0028850627,3.7278037E-4,0.010574019,31,10745,268,718922,7,true
USE_MJIT,0.0032430796,0.013573657,0.0014890647,0.001754015,0.012084592,16,10745,1261,718922,8,true
GC_ENABLE_INCREMENTAL_MARK,0.0032037238,0.0043025706,0.0027919963,4.1172755E-4,0.001510574,30,10745,296,718922,1,true
EWOULDBLOCK,0.003139482,0.015062721,0.0029781293,1.613527E-4,0.012084592,32,10745,116,718922,8,true
HAVE_LONG_LONG,0.003119003,0.022336392,0.0026989297,4.200734E-4,0.019637462,29,10745,302,718922,13,true
RUBY,0.0031133108,0.017897736,0.0027919963,3.213144E-4,0.01510574,30,10745,231,718922,10,true
Avoid_Underflow,0.0031119199,0.0043025706,0.0027919963,3.1992345E-4,0.001510574,30,10745,230,718922,1,true
USE_COMBINATION_EXPLOSION_CHECK,0.0031072556,0.0066722524,0.0021405304,9.667252E-4,0.004531722,23,10745,695,718922,3,true
HAVE_GETIFADDRS,0.0030757776,0.0047894125,0.0017682643,0.0013075132,0.003021148,19,10745,940,718922,2,true
BIGDECIMAL_DEBUG,0.0029715602,0.0042095035,0.0026989297,2.7263042E-4,0.001510574,29,10745,196,718922,1,true
HAVE_SETEUID,0.00287584,0.005533945,0.0025127965,3.6304357E-4,0.003021148,27,10745,261,718922,2,true
HAVE_SETEGID,0.0028716673,0.0040233703,0.0025127965,3.5887063E-4,0.001510574,27,10745,258,718922,1,true
SIZEOF_BDIGIT_DBL,0.0028649694,0.0038372376,0.0023266636,5.3830596E-4,0.001510574,25,10745,387,718922,1,true
"__hpux",0.0028570094,0.009600334,0.002047464,8.095454E-4,0.00755287,22,10745,582,718922,5,true
GZIP_SUPPORT,0.0028564127,0.0019759068,4.653327E-4,0.00239108,0.001510574,5,10745,1719,718922,1,true
OPENSSL_NO_EC,0.00285134,0.0071590943,0.0011167985,0.0017345415,0.006042296,12,10745,1247,718922,4,true
"_HAVE_SANE_QUAD_",0.0028256366,0.0041164374,0.0026058631,2.197735E-4,0.001510574,28,10745,158,718922,1,true
HAVE_SYS_UN_H,0.0028127553,0.010924775,0.0018613308,9.514245E-4,0.009063444,20,10745,684,718922,6,true
"__FreeBSD__",0.0027603894,0.017618537,0.0025127965,2.4759292E-4,0.01510574,27,10745,178,718922,10,true
OPENSSL_VERSION_NUMBER,0.0027424356,0.012993749,0.0024197302,3.227054E-4,0.010574019,26,10745,232,718922,7,true
QUADRATIC_PROBE,0.0027296597,0.0041164374,0.0026058631,1.2379646E-4,0.001510574,28,10745,89,718922,1,true
BYTE_ORDER,0.0026741493,0.0070445184,0.0025127965,1.613527E-4,0.004531722,27,10745,116,718922,3,true
IBM,0.0026381128,0.003930304,0.0024197302,2.1838253E-4,0.001510574,26,10745,157,718922,1,true
HAVE_UNISTD_H,0.0026254652,0.043298297,0.0025127965,1.1266869E-4,0.0407855,27,10745,81,718922,27,true
Sudden_Underflow,0.0025853843,0.0038372376,0.0023266636,2.5872068E-4,0.001510574,25,10745,186,718922,1,true
RGENGC_PROFILE,0.0025603469,0.0038372376,0.0023266636,2.3368321E-4,0.001510574,25,10745,168,718922,1,true
SIZEOF_SIZE_T,0.0025560453,0.01752547,0.0024197302,1.3631521E-4,0.01510574,26,10745,98,718922,10,true
LIBRESSL_VERSION_NUMBER,0.0025326558,0.012807615,0.002233597,2.9905885E-4,0.010574019,24,10745,215,718922,7,true
HAVE_DES_TABLES,0.0025214455,0.0033003476,2.7919962E-4,0.002242246,0.003021148,3,10745,1612,718922,2,true
HAVE_TERMIOS_H,0.0025172266,0.0038372376,0.0023266636,1.9056309E-4,0.001510574,25,10745,137,718922,1,true
LITTLE_ENDIAN,0.0024643699,0.00836896,0.0023266636,1.3770617E-4,0.006042296,25,10745,99,718922,4,true
HAVE_SETGID,0.0024256795,0.0036511044,0.0021405304,2.8514914E-4,0.001510574,23,10745,205,718922,1,true
RGENGC_CHECK_MODE,0.0024092451,0.0034649714,0.0019543974,4.5484767E-4,0.001510574,21,10745,327,718922,1,true
F_GETFL,0.0024060775,0.012807615,0.002233597,1.7248046E-4,0.010574019,24,10745,124,718922,7,true
HAVE_TERMIO_H,0.0024060775,0.003744171,0.002233597,1.7248046E-4,0.001510574,24,10745,124,718922,1,true
Honor_FLT_ROUNDS,0.0023214854,0.003558038,0.002047464,2.7402138E-4,0.001510574,22,10745,197,718922,1,true
CPDEBUG,0.0022575008,0.003558038,0.002047464,2.100367E-4,0.001510574,22,10745,151,718922,1,true
"__i386__",0.002243591,0.011110908,0.002047464,1.9612697E-4,0.009063444,22,10745,141,718922,6,true
DBL_MANT_DIG,0.0022422,0.00808976,0.002047464,1.9473601E-4,0.006042296,22,10745,140,718922,4,true
WIDEVALUE_IS_WIDER,0.0022381556,0.0034649714,0.0019543974,2.8375819E-4,0.001510574,21,10745,204,718922,1,true
HAVE_SETUID,0.002227028,0.0034649714,0.0019543974,2.7263042E-4,0.001510574,21,10745,196,718922,1,true
OBSOLETE_SETREGID,0.0022005993,0.0034649714,0.0019543974,2.4620196E-4,0.001510574,21,10745,177,718922,1,true
OBSOLETE_SETREUID,0.0021992084,0.0034649714,0.0019543974,2.4481097E-4,0.001510574,21,10745,176,718922,1,true
UNICODE_NORMALIZATION,0.002174451,0.0037656804,7.445323E-4,0.0014299187,0.003021148,8,10745,1028,718922,2,true
USE_DLN_A_OUT,0.0021729316,0.005369321,8.3759887E-4,0.0013353326,0.004531722,9,10745,960,718922,3,true
