File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\openssl\ossl_pkcs7.c,4.736343,-0.0636574,4.8,0.0,864,11,72,24,4,5,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\st\numhash\numhash.c,3.419355,-0.08064516,3.5,0.0,124,5,21,7,4,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\win32ole\win32ole_variant_m.c,2.8857143,-0.114285715,3.0,0.0,35,4,12,3,3,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\socket\basicsocket.c,2.7673225,-1.0898204,2.5714285,1.2857143,334,52,219,18,6,7,9,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\win32ole\win32ole.c,2.444035,-1.2596685,2.4444444,1.2592592,3258,152,414,66,12,27,34,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\win32ole\win32ole_variant.c,2.3455882,-0.15441176,2.0,0.5,544,21,73,8,5,4,2,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\dbm\dbm.c,2.317442,-1.4825581,2.8,1.0,688,51,245,56,17,20,20,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\sprintf.c,2.237416,-0.31813952,2.3333333,0.22222222,1075,38,109,21,11,9,2,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\string_spec.c,2.2372093,-0.1627907,2.4,0.0,430,14,36,12,6,5,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\bignum\mul.c,2.1949153,-0.30508474,2.5,0.0,59,9,23,5,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\digest\md5\md5init.c,2.0833335,-0.5833334,2.6666667,0.0,36,7,24,8,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\digest\sha1\sha1init.c,2.0833335,-0.5833334,2.6666667,0.0,36,7,24,8,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\bignum\big2str.c,2.010204,-0.48979592,2.5,0.0,49,12,29,5,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\vm_args.c,1.9960989,-0.0039011703,2.0,0.0,769,3,6,2,2,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\vm_backtrace.c,1.9945897,-0.0054102796,2.0,0.0,1109,6,12,2,2,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\bignum\str2big.c,1.9857142,-0.51428574,2.5,0.0,35,9,23,5,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\win32ole\win32ole_record.c,1.9764706,-0.023529412,2.0,0.0,340,8,16,2,2,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\bignum\div.c,1.9545455,-0.54545456,2.5,0.0,33,9,23,5,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\digest\sha2\sha2init.c,1.9425288,-0.7241379,2.6666667,0.0,29,7,24,8,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\proc.c,1.941731,-0.25826913,2.2,0.0,2207,57,118,22,7,10,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\marshal.c,1.8674754,-1.0325246,2.0,0.9,1937,100,222,40,9,20,18,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\missing\erf.c,1.8540541,-0.945946,1.2,1.6,74,14,45,6,6,5,8,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\missing\ffs.c,1.8461539,-0.15384616,2.0,0.0,39,6,12,2,2,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\socket\ipsocket.c,1.8339921,-0.1660079,2.0,0.0,253,14,28,6,4,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\goruby.c,1.7741935,-0.22580644,2.0,0.0,62,7,14,4,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\coroutine\ucontext\Context.c,1.7692307,-0.23076923,2.0,0.0,13,3,6,2,2,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\re.c,1.6626778,-0.17065558,1.8333334,0.0,2883,82,126,11,5,6,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\range.c,1.5629283,-0.10373832,1.6666666,0.0,1070,37,71,5,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\coroutine\copy\Context.c,1.5604839,-2.064516,1.875,1.75,93,24,73,15,6,8,14,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\win32\file.c,1.5440476,-0.28928572,1.8333334,0.0,560,27,56,11,7,6,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\enumerator.c,1.4951671,-0.0048328633,1.5,0.0,2483,6,9,3,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\vm_trace.c,1.4907336,-0.009266409,1.5,0.0,1295,6,9,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\complex.c,1.488581,-0.136419,1.625,0.0,1642,28,45,13,8,8,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\stringio\stringio.c,1.4860642,-0.3139357,1.8,0.0,1306,82,95,9,7,5,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\eval_error.c,1.4767982,-0.023201857,1.5,0.0,431,5,9,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\openssl\ossl_x509store.c,1.4758065,-0.024193548,1.5,0.0,496,6,9,3,3,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\fiddle\pointer.c,1.4652928,-0.03470716,1.5,0.0,461,8,14,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\regerror.c,1.3791541,-0.12084592,1.5,0.0,331,10,18,6,2,4,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\pack.c,1.362344,-0.6932115,2.0555556,0.0,1532,59,122,37,9,18,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\pathname\pathname.c,1.2934662,-0.03986711,1.3333334,0.0,903,12,16,4,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\eval.c,1.290796,-0.042537317,1.3333334,0.0,1340,19,22,4,4,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\vm_eval.c,1.2366205,-0.26337942,1.5,0.0,1663,219,226,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\symbol\init.c,1.2222222,-0.2777778,1.5,0.0,36,5,9,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\digest\rmd160\rmd160init.c,1.2058823,-0.29411766,1.5,0.0,34,5,9,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\string.c,1.1819791,-1.3529047,1.7906977,0.74418604,8073,254,457,77,20,43,32,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\array.c,1.1819295,-0.19307049,1.25,0.125,4185,101,117,10,3,8,1,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\encoding.c,1.180303,-0.06969697,1.25,0.0,1320,23,35,5,4,4,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\json\parser\parser.c,1.1222223,-0.2777778,1.2,0.2,1944,54,80,12,6,10,2,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\gdbm\gdbm.c,1.0617834,-0.43821657,1.5,0.0,785,43,67,12,7,8,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\missing\procstat_vm.c,1.0542636,-0.27906978,1.3333334,0.0,86,8,12,4,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\load.c,1.04757,-0.23814432,1.2857143,0.0,970,33,48,9,3,7,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\transcode.c,1.0417132,-0.15828678,1.2,0.0,3222,102,105,6,4,5,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\fiddle\fiddle.c,1.0135078,-5.162963,3.3529413,2.8235295,135,41,189,57,12,17,48,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\enc\mktable.c,0.99696046,-0.0030395137,1.0,0.0,987,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\sdbm\init.c,0.99501663,-0.004983389,1.0,0.0,602,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\enc\gb18030.c,0.9943289,-0.0056710774,1.0,0.0,529,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\date\date_strftime.c,0.9939271,-0.0060728746,1.0,0.0,494,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\psych\psych_parser.c,0.9933775,-0.0066225166,1.0,0.0,453,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\variable.c,0.99250656,-0.0074934433,1.0,0.0,2669,20,20,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\vm_method.c,0.9919586,-0.008041356,1.0,0.0,1741,7,7,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\scan_args\scan_args.c,0.989011,-0.010989011,1.0,0.0,273,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\debug.c,0.9818841,-0.6847826,1.3333334,0.33333334,184,21,38,8,3,6,2,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\struct.c,0.9785177,-0.021482278,1.0,0.0,931,20,20,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\missing\signbit.c,0.9736842,-0.5263158,1.5,0.0,19,5,9,3,2,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\object.c,0.97186935,-0.028130671,1.0,0.0,2204,31,31,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\strscan\strscan.c,0.9695603,-0.030439682,1.0,0.0,887,9,9,3,2,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\object_spec.c,0.9685864,-0.03141361,1.0,0.0,382,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\inits.c,0.96103895,-0.038961038,1.0,0.0,77,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\kernel_spec.c,0.959596,-0.04040404,1.0,0.0,297,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\win32\resolv\resolv.c,0.95,-0.05,1.0,0.0,60,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\win32\console\attribute.c,0.9491525,-0.050847456,1.0,0.0,59,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\array_spec.c,0.9491525,-0.050847456,1.0,0.0,236,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\missing\lgamma_r.c,0.9464286,-0.05357143,1.0,0.0,56,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\fiddle\function.c,0.9355191,-0.46448088,1.4,0.0,183,17,26,7,5,5,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\thread_sync.c,0.92632717,-0.07367281,1.0,0.0,923,34,34,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\psych\psych_emitter.c,0.9247911,-0.07520891,1.0,0.0,359,9,9,3,3,3,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\class_spec.c,0.9148936,-0.08510638,1.0,0.0,141,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\ext\-test-\bug-14834\bug-14384.c,0.9117647,-0.0882353,1.0,0.0,34,3,3,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\typed_data_spec.c,0.9117647,-0.0882353,1.0,0.0,136,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\regsyntax.c,0.9099099,-0.09009009,1.0,0.0,333,30,30,1,1,1,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\hash_spec.c,0.9055118,-0.09448819,1.0,0.0,127,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\module_spec.c,0.9032258,-0.09677419,1.0,0.0,124,6,6,2,1,2,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\class.c,0.8931686,-0.106831394,1.0,0.0,1376,21,21,7,7,7,0,true
D:\Pesquisa\Projects\ruby-analysis\source\ruby\spec\ruby\optional\capi\ext\numeric_spec.c,0.8867924,-0.11320755,1.0,0.0,106,6,6,2,1,2,0,true
