FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
ruby\missing\dtoa.c,1444,"double strtod(const char * s00, char * * se)",49.38188,47.45165,1.2325581,0.6976744,879,485,889,86,106,16,60,33,true
ruby\io.c,1840,"static VALUE rb_io_writev(VALUE io, int argc, VALUE * argv)",48.704155,46.201828,1.7209302,0.7813954,7655,1645,3347,215,370,86,168,81,false
ruby\ext\socket\option.c,961,"static int inspect_tcp_info(int level, int optname, VALUE data, VALUE ret)",47.893654,46.677967,1.0,0.21568628,177,162,195,51,51,51,11,0,true
ruby\process.c,8159,void InitVM_process(void),33.283226,31.764708,1.1851852,0.33333334,289,170,330,54,64,55,18,5,true
ruby\ext\syslog\syslog.c,416,void Init_syslog(void),29.130138,28.130138,1.0,0.0,146,111,111,37,37,37,0,0,false
ruby\ext\socket\option.c,1202,static VALUE sockopt_inspect(VALUE self),27.272278,25.772278,1.0526316,0.4473684,202,137,188,38,40,39,17,0,true
ruby\vsnprintf.c,539,"static ssize_t BSD_vfprintf(FILE * fp, const char * fmt0, va_list ap)",26.667582,24.417582,1.9090909,0.3409091,546,303,469,44,84,12,15,15,true
ruby\ext\nkf\nkf-utf8\nkf.c,6933,"int main(int argc, char * * argv)",25.963564,20.930231,3.6,1.4333333,258,180,662,30,108,16,43,62,true
ruby\dln.c,1260,COMPILER_WARNING_POP #endif void * dln_load(const char * file),25.38954,18.179012,2.3157895,4.894737,162,155,817,19,44,16,93,21,true
ruby\ext\socket\socket.c,1627,static VALUE socket_s_ip_address_list(VALUE self),24.732052,11.815385,7.0833335,5.8333335,260,256,1931,12,85,12,70,35,true
ruby\regexec.c,1426,"static OnigPosition match_at(regex_t * reg, const UChar * str, const UChar * end, #if defined(USE_MATCH_RANGE_MUST_BE_INSIDE_OF_SPECIFIED_RANGE) const UChar * right_range, #endif const UChar * sstart, UChar * sprev, OnigMatchArg * msa)",23.516497,21.641497,1.265625,0.609375,1523,515,683,64,81,16,39,23,false
ruby\ext\fcntl\fcntl.c,64,void Init_fcntl(void),23.462719,22.421053,1.0416666,0.0,76,71,75,24,25,24,0,1,false
ruby\ext\pty\pty.c,254,"static int get_device_once(int * master, int * slave, char SlaveName[DEVICELEN], int nomesg, int fail)",21.877056,14.61039,4.4,2.8666666,154,150,1102,15,66,15,43,34,true
ruby\missing\dtoa.c,1153,"static Bigint * d2b(double d_, int * e, int * bits)",20.598486,18.931818,1.2857143,0.3809524,132,119,210,21,27,6,8,12,true
ruby\st.c,1746,"st_index_t st_hash(const void * ptr, size_t len, st_index_t h)",19.785713,17.285713,1.5909091,0.90909094,126,99,230,22,35,7,20,10,true
ruby\thread_pthread.c,667,"static int get_stack(void * * addr, size_t * size)",19.475,13.541667,4.866667,1.0666667,72,65,511,15,73,11,16,29,true
ruby\process.c,6633,"static VALUE p_gid_change_privilege(VALUE obj, VALUE id)",18.373333,11.04,7.3333335,0.0,150,138,1054,12,88,8,0,40,false
ruby\process.c,5919,"static VALUE p_uid_change_privilege(VALUE obj, VALUE id)",18.36689,11.033557,7.3333335,0.0,149,137,1041,12,88,8,0,40,false
ruby\ext\socket\ifaddr.c,277,"static void ifaddr_inspect_flags(ifa_flags_t flags, VALUE result)",18.142857,17.142857,1.0,0.0,70,60,60,20,20,20,0,0,false
ruby\missing\dtoa.c,2595,"char * dtoa(double d_, int mode, int ndigits, int * decpt, int * sign, char * * rve)",16.646181,15.297344,1.1395348,0.20930232,565,201,258,43,49,12,9,15,false
ruby\string.c,471,"static inline const char * search_nonascii(const char * p, const char * e)",14.740541,10.540541,2.6666667,1.5333333,74,52,172,15,40,7,23,12,true
ruby\ext\nkf\nkf-utf8\nkf.c,6370,static int options(unsigned char * cp),14.655803,13.44747,1.2083334,0.0,514,288,359,24,29,14,0,10,false
ruby\hash.c,5086,"void ruby_setenv(const char * name, const char * value)",14.1080885,10.653543,2.5454545,0.90909094,127,123,552,11,28,9,10,12,true
ruby\file.c,3660,"VALUE rb_file_expand_path_internal(VALUE fname, VALUE dname, int abs_mode, int long_name, VALUE result)",13.658214,11.342424,1.3157895,1.0,330,197,321,19,25,8,19,3,true
ruby\signal.c,823,"static void check_stack_overflow(int sig, const uintptr_t addr, const ucontext_t * ctx)",13.315271,9.172414,2.642857,1.5,58,38,240,14,37,9,21,17,true
ruby\ext\nkf\nkf-utf8\nkf.c,1360,static void set_output_encoding(nkf_encoding * enc),13.285714,12.285714,1.0,0.0,140,86,86,20,20,2,0,0,false
ruby\ext\openssl\ossl_engine.c,93,"static VALUE ossl_engine_s_load(int argc, VALUE * argv, VALUE klass)",13.179311,11.379311,1.0,0.8,58,44,80,15,15,15,12,1,true
ruby\vm_exec.c,77,"static VALUE vm_exec_core(rb_execution_context_t * ec, VALUE initial) #1",12.231034,7.9310346,3.6,0.7,58,46,175,10,36,9,7,9,true
ruby\win32\win32.c,2498,static void set_pioinfo_extra(void),12.034188,6.923077,2.3333333,2.7777777,65,50,136,9,21,4,25,4,true
ruby\cont.c,1376,"static void cont_restore_0(rb_context_t * cont, VALUE * addr_in_prev_frame)",10.862627,9.044445,1.2727273,0.54545456,45,37,61,11,14,3,6,6,true
ruby\process.c,6850,static rb_uid_t rb_seteuid_core(rb_uid_t euid),10.657143,5.8,4.857143,0.0,35,29,136,7,34,6,0,16,false
ruby\process.c,6980,static rb_gid_t rb_setegid_core(rb_gid_t egid),10.657143,5.8,4.857143,0.0,35,29,136,7,34,6,0,16,false
ruby\gc.c,11193,"static void gc_profile_dump_on(VALUE out, VALUE( * append)(VALUE, VALUE))",10.54232,8.724138,1.0,0.8181818,87,69,102,11,11,5,9,0,true
ruby\process.c,6941,"static VALUE proc_setegid(VALUE obj, VALUE egid)",10.071428,5.5,4.571429,0.0,28,22,131,7,32,5,0,10,false
ruby\ext\nkf\nkf-utf8\nkf.c,1237,static void set_input_encoding(nkf_encoding * enc),9.980533,8.918033,1.0,0.0625,122,68,73,16,16,4,1,0,true
ruby\mjit.c,478,static bool init_header_filename(void),9.822916,8.15625,1.3333334,0.33333334,96,87,143,9,12,4,3,5,true
ruby\ruby.c,597,void ruby_init_loadpath(void),9.795257,6.573034,1.7777778,1.4444444,89,65,118,9,16,5,13,8,true
ruby\missing\dtoa.c,2404,"static int quorem(Bigint * b, Bigint * S)",9.794637,7.8715596,1.3846154,0.53846157,109,66,166,13,18,4,7,5,true
ruby\io.c,449,"int rb_cloexec_fcntl_dupfd(int fd, int minfd)",9.7,3.2,6.5,0.0,40,32,177,4,26,5,0,6,false
ruby\random.c,372,"static int fill_random_bytes_syscall(void * buf, size_t size, int unused)",9.7,1.2,8.5,0.0,10,6,59,2,17,8,0,3,false
ruby\ext\openssl\ossl.c,1128,void Init_openssl(void),9.481644,6.943182,1.7692307,0.7692308,88,47,174,13,23,10,10,11,true
ruby\ext\nkf\nkf-utf8\nkf.c,965,static void show_configuration(void),9.46,6.96,2.5,0.0,50,29,90,12,30,9,0,9,false
