"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\addr2line.c.xml,4490,25,2199,2.515151515151515,0.9055803429711564,,,,,,,,37,0,0,2,0,0,10,5,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\addr2line.h.xml,8,2,2,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\array.c.xml,8364,2,87,1.2857142857142858,0.48795003647426666,,,,,,,,5,0,0,0,0,0,4,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\ast.c.xml,1230,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\bignum.c.xml,11632,30,944,1.072289156626506,0.2605403639025072,,,,,,,,44,0,0,0,0,0,81,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\builtin.c.xml,102,1,36,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\builtin.h.xml,85,2,4,1.0,0.0,,,,,,,,1,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\ccan\build_assert\build_assert.h.xml,4,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\ccan\check_type\check_type.h.xml,16,1,5,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\ccan\container_of\container_of.h.xml,36,1,4,1.0,0.0,,,,,,,,4,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\ccan\list\list.h.xml,426,2,14,1.0,0.0,,,,,,,,4,0,0,0,0,0,3,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\ccan\str\str.h.xml,4,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\class.c.xml,2737,7,7,1.0,0.0,,,,,,,,7,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\compar.c.xml,278,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\compile.c.xml,19007,28,514,1.0857142857142856,0.2819629507400963,,,,,,,,36,0,0,0,0,0,51,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\complex.c.xml,3274,7,14,1.0,0.0,,,,,,,,6,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\constant.h.xml,62,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\cont.c.xml,3163,18,289,1.0714285714285714,0.26066118021500656,,,,,,,,12,4,0,0,0,0,47,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\amd64\Context.h.xml,66,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\arm32\Context.h.xml,64,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\arm64\Context.h.xml,62,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\copy\Context.c.xml,175,5,14,1.8,0.8366600265340756,,,,,,,,3,0,0,0,0,0,5,3,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\copy\Context.h.xml,107,3,2,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\ppc64le\Context.h.xml,72,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\ucontext\Context.c.xml,18,2,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\ucontext\Context.h.xml,92,2,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\win32\Context.h.xml,70,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\win64\Context.h.xml,82,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\coroutine\x86\Context.h.xml,68,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\debug.c.xml,360,3,11,1.3333333333333333,0.5163977794943223,,,,,,,,3,0,0,0,0,0,3,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\debug_counter.c.xml,214,1,100,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\debug_counter.h.xml,498,4,243,1.5,0.5773502691896257,,,,,,,,3,0,0,2,0,0,0,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dir.c.xml,5322,44,516,1.1954022988505748,0.42697095538085444,,,,,,,,66,4,0,2,0,0,53,3,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dln.c.xml,2398,47,1081,1.7727272727272727,0.9574879721350117,,,,,,,,51,0,0,0,0,0,29,5,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dln.h.xml,51,6,9,1.2857142857142858,0.48795003647426666,,,,,,,,6,0,0,0,0,0,2,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dln_find.c.xml,447,13,86,1.125,0.3415650255319866,,,,,,,,11,0,0,0,1,0,6,2,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dmydln.c.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dmyenc.c.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\dmyext.c.xml,6,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\ascii.c.xml,142,2,2,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\big5.c.xml,572,0,6,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\cesu_8.c.xml,775,4,34,1.0,0.0,,,,,,,,2,0,0,0,0,0,5,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\cp949.c.xml,340,0,6,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\ebcdic.h.xml,6,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\emacs_mule.c.xml,546,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\encdb.c.xml,24,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\euc_jp.c.xml,970,1,52,1.0,0.0,,,,,,,,5,4,0,0,0,0,1,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\euc_kr.c.xml,339,1,27,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\euc_tw.c.xml,362,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\gb18030.c.xml,1050,0,8,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\ruby-analysis\_cppstats\ruby\enc\gb2312.c.xml,18,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
