"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,11,14,#if,defined(__clang__),__clang__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,24,26,#if,defined(HAVE_LIBPROC_H),HAVE_LIBPROC_H
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,30,2657,#if,defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H),HAVE_MACH_O_LOADER_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,44,48,#if,(defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(__GNUC__)),HAVE_MACH_O_LOADER_H;USE_ELF;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,45,47,#if,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(__GNUC__))) && (!defined(alloca)),HAVE_MACH_O_LOADER_H;USE_ELF;__GNUC__;alloca
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,48,60,#else,(defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (!(defined(__GNUC__))),HAVE_MACH_O_LOADER_H;USE_ELF;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,49,51,#if,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (!(defined(__GNUC__)))) && (defined(HAVE_ALLOCA_H)),HAVE_ALLOCA_H;HAVE_MACH_O_LOADER_H;USE_ELF;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,51,59,#else,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (!(defined(__GNUC__)))) && (!(defined(HAVE_ALLOCA_H))),HAVE_ALLOCA_H;HAVE_MACH_O_LOADER_H;USE_ELF;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,52,54,#if,(((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (!(defined(__GNUC__)))) && (!(defined(HAVE_ALLOCA_H)))) && (defined(_AIX)),HAVE_ALLOCA_H;HAVE_MACH_O_LOADER_H;USE_ELF;_AIX;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,54,58,#else,(((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (!(defined(__GNUC__)))) && (!(defined(HAVE_ALLOCA_H)))) && (!(defined(_AIX))),HAVE_ALLOCA_H;HAVE_MACH_O_LOADER_H;USE_ELF;_AIX;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,55,57,#if,((((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (!(defined(__GNUC__)))) && (!(defined(HAVE_ALLOCA_H)))) && (!(defined(_AIX)))) && (!defined(alloca)),HAVE_ALLOCA_H;HAVE_MACH_O_LOADER_H;USE_ELF;_AIX;__GNUC__;alloca
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,62,64,#if,(defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(HAVE_DLADDR)),HAVE_DLADDR;HAVE_MACH_O_LOADER_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,66,72,#if,(defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(HAVE_MACH_O_LOADER_H)),HAVE_MACH_O_LOADER_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,74,95,#if,(defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF)),HAVE_MACH_O_LOADER_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,75,77,#if,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (defined(__OpenBSD__)),HAVE_MACH_O_LOADER_H;USE_ELF;__OpenBSD__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,77,79,#else,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (!(defined(__OpenBSD__))),HAVE_MACH_O_LOADER_H;USE_ELF;__OpenBSD__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,81,87,#if,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (!defined(ElfW)),ElfW;HAVE_MACH_O_LOADER_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,82,84,#if,(((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (!defined(ElfW))) && (SIZEOF_VOIDP == 8),ElfW;HAVE_MACH_O_LOADER_H;SIZEOF_VOIDP;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,84,86,#else,(((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (!defined(ElfW))) && (!(SIZEOF_VOIDP == 8)),ElfW;HAVE_MACH_O_LOADER_H;SIZEOF_VOIDP;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,88,94,#if,((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (!defined(ELF_ST_TYPE)),ELF_ST_TYPE;HAVE_MACH_O_LOADER_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,89,91,#if,(((defined(USE_ELF) || defined(HAVE_MACH_O_LOADER_H)) && (defined(USE_ELF))) && (!defined(ELF_ST_TYPE))) && (SIZEOF_VOIDP == 8),ELF_ST_TYPE;HAVE_MACH_O_LOADER_H;SIZEOF_VOIDP;USE_ELF
