"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.c.xml,ELFCOMPRESS_ZLIB;ELF_ST_TYPE;ElfW;HAVE_ALLOCA_H;HAVE_DLADDR;HAVE_LIBPROC_H;HAVE_LIBZ;HAVE_MACH_O_LOADER_H;HAVE_MAIN_EXE_PATH;PATH_MAX;SHF_COMPRESSED;SIZEOF_OFF_T;SIZEOF_SIZE_T;SIZEOF_VOIDP;SUPPORT_COMPRESSED_DEBUG_LINE;USE_ELF;_AIX;__FreeBSD__;__GNUC__;__INTEL_COMPILER_BUILD_DATE;__LP64__;__OpenBSD__;__clang__;__linux__;alloca
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\addr2line.h.xml,HAVE_MACH_O_LOADER_H;RUBY_ADDR2LINE_H;USE_ELF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\array.c.xml,ARRAY_DEBUG;USE_TRANSIENT_HEAP
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ast.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\bignum.c.xml,BDIGIT_DBL_TO_DOUBLE;BIGNUM_DEBUG;CHAR_BIT;DBL_MANT_DIG;DEBUG_INTEGER_PACK;DLONG;HAVE_BUILTIN___BUILTIN_ASSUME_ALIGNED;HAVE_GMP_H;HAVE_IEEEFP_H;HAVE_INT128_T;HAVE_LIBGMP;HAVE_LONG_LONG;HAVE_STRINGS_H;HAVE_UINT128_T;HAVE_UINT16_T;HAVE_UINT32_T;HAVE_UINT64_T;SIZEOF_BDIGIT;SIZEOF_BDIGIT_DBL;SIZEOF_INT;SIZEOF_INT128_T;SIZEOF_LONG;SIZEOF_LONG_LONG;SIZEOF_SIZE_T;SIZEOF_VALUE;ULL_TO_DOUBLE;USE_GMP;WORDS_BIGENDIAN;__GNUC_MINOR__;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\builtin.c.xml,CROSS_COMPILING
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\builtin.h.xml,BUILTIN_H_INCLUDED;VM_CORE_H_EC_DEFINED;rb_execution_context_t
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ccan\build_assert\build_assert.h.xml,CCAN_BUILD_ASSERT_H
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ccan\check_type\check_type.h.xml,CCAN_CHECK_TYPE_H;HAVE_TYPEOF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ccan\container_of\container_of.h.xml,CCAN_CONTAINER_OF_H;HAVE_TYPEOF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ccan\list\list.h.xml,CCAN_LIST_DEBUG;CCAN_LIST_H;HAVE_TYPEOF
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\ccan\str\str.h.xml,CCAN_STR_H
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\class.c.xml,rb_define_global_function;rb_define_method;rb_define_method_id;rb_define_module_function;rb_define_private_method;rb_define_protected_method;rb_define_singleton_method
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\compar.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\compile.c.xml,ALIGNMENT_SIZE;CPDEBUG;HAVE_DLADDR;HAVE_TRUE_LONG_LONG;IBF_ISEQ_DEBUG;IBF_ISEQ_ENABLE_LOCAL_BUFFER;NAMED_CAPTURE_BY_SVAR;NAMED_CAPTURE_BY_SVAR-0;NAMED_CAPTURE_SINGLE_OPT;NAMED_CAPTURE_SINGLE_OPT-0;OPT_CALL_THREADED_CODE;OPT_DIRECT_THREADED_CODE;OPT_INSTRUCTIONS_UNIFICATION;OPT_STACK_CACHING;OPT_SUPPORT_JOKE;RUBY_DEVEL;SIZEOF_INT;SIZEOF_LONG;SIZEOF_LONG_LONG;SIZEOF_VALUE;SIZEOF_VOIDP;STRICT_ALIGNMENT;USE_LAZY_LOAD;VM_INSN_INFO_TABLE_IMPL;__GNUC__;__OpenBSD__;__STRICT_ALIGNMENT;__sparc
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\complex.c.xml,CANONICALIZATION_FOR_MATHN;HAVE_SIGNBIT;USE_FLONUM;_MSC_VER;__GNUC__;__sun;signbit
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\constant.h.xml,CONSTANT_H
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\cont.c.xml,CAPTURE_JUST_VALID_VM_STACK;COROUTINE_LIMITED_ADDRESS_SPACE;COROUTINE_PRIVATE_STACK;FIBER_POOL_ALLOCATION_FREE;HAVE_ALLOCA;HAVE_WORKING_FORK;MADV_DONTNEED;MADV_FREE;MADV_FREE_REUSABLE;MAP_STACK;RB_EXPERIMENTAL_FIBER_POOL;STACK_GROW_DIRECTION;VM_CHECK_MODE;_M_AMD64;_WIN32;__FreeBSD__;__FreeBSD_kernel__;__clang__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\amd64\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\arm32\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\arm64\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\copy\Context.c.xml,__GNUC__;__arch64__;__sparc;__sparc_v9__;__sparcv9
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\copy\Context.h.xml,INT32_MAX;INTPTR_MAX;__OpenBSD__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\ppc64le\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\ucontext\Context.c.xml,__EXTENSIONS__;__sun
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\ucontext\Context.h.xml,INT32_MAX;INTPTR_MAX
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\win32\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\win64\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\x86\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\debug.c.xml,RUBY_MSVCRT_VERSION;_WIN32;__CYGWIN__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\debug_counter.c.xml,USE_DEBUG_COUNTER
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\debug_counter.h.xml,RB_DEBUG_COUNTER;RUBY_DEBUG_COUNTER_H;USE_DEBUG_COUNTER;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dir.c.xml,ATTR_DIR_ENTRYCOUNT;AT_FDCWD;CASEFOLD_FILESYSTEM;DOSISH;DT_UNKNOWN;FNM_SYSCASE;HAVE_CHROOT;HAVE_DIRECT_H;HAVE_DIRENT_H;HAVE_DIRENT_NAMLEN;HAVE_DIRFD;HAVE_DIR_DD_FD;HAVE_DIR_D_FD;HAVE_FDOPENDIR;HAVE_FGETATTRLIST;HAVE_FSTATAT;HAVE_GETATTRLIST;HAVE_LSTAT;HAVE_NDIR_H;HAVE_OPENAT;HAVE_SEEKDIR;HAVE_STDLIB_H;HAVE_STRING_H;HAVE_SYS_ATTR_H;HAVE_SYS_DIR_H;HAVE_SYS_NDIR_H;HAVE_TELLDIR;HAVE_UNISTD_H;IFTODT;NORMALIZE_UTF8PATH;O_CLOEXEC;O_DIRECTORY;RUBY_FUNCTION_NAME_STRING;S_IFLNK;S_ISDIR;S_ISLNK;USE_NAME_ON_FS;USE_NAME_ON_FS_BY_FNMATCH;USE_NAME_ON_FS_REAL_BASENAME;USE_OPENDIR_AT;_WIN32;__APPLE__;__sun;lstat
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dln.c.xml,DLN_DEFAULT_LIB_PATH;DLN_DEFINED;DLN_NEEDS_ALT_SEPARATOR;DOSISH;HAVE_ALLOCA_H;HAVE_DLOPEN;HAVE_STDLIB_H;HAVE_STRING_H;HAVE_SYS_PARAM_H;HAVE_UNISTD_H;LIBC_NAME;MACOSX_DYLD;MAC_OS_X_VERSION_10_11;MAC_OS_X_VERSION_MIN_REQUIRED;MAXPATHLEN;NSLINKMODULE_OPTION_BINDNOW;NS_TARGET_MAJOR;N_COMM;N_INDR;N_MAGIC;NeXT;RELOC_ADDRESS;RTLD_GLOBAL;RTLD_LAZY;RUBY_EXPORT;R_SYMBOL;S_ISDIR;USE_DLN_A_OUT;USE_DLN_DLOPEN;_AIX;_UNICOSMP;_WIN32;__APPLE__;__CYGWIN__;__ELF__;__FreeBSD__;__INTERIX;__NetBSD__;__OpenBSD__;__clang__;__hp9000s300;__hpux;__sparc;__sun;dln_loaderror;sequent;xmalloc
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dln.h.xml,DLN_FIND_EXTRA_ARG;DLN_FIND_EXTRA_ARG_DECL;DLN_H;HAVE_PROTOTYPES;HAVE_STDARG_PROTOTYPES;USE_DLN_A_OUT;__cplusplus
