Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
PROTO,0.288917,0.54849136,0.062547624,0.22636938,0.48594376,985,15748,159671,705356,121,true
"",0.14681421,0.5792747,0.113411225,0.03340299,0.46586347,1786,15748,23561,705356,116,true
FEAT_EVAL,0.117774025,0.43469125,0.0491491,0.06862492,0.38554215,774,15748,48405,705356,96,true
FEAT_GUI,0.046139147,0.26568222,0.036766574,0.009372572,0.22891566,579,15748,6611,705356,57,true
MSWIN,0.038512655,0.24709354,0.030226061,0.008286595,0.21686748,476,15748,5845,705356,54,true
GTK_CHECK_VERSION,0.029947445,0.053957,0.025844552,0.0041028927,0.02811245,407,15748,2894,705356,7,true
UNIX,0.027981529,0.17904206,0.022415545,0.0055659837,0.15662651,353,15748,3926,705356,39,true
FEAT_FOLDING,0.025554921,0.17127948,0.018669037,0.006885885,0.15261044,294,15748,4857,705356,38,true
FEAT_SYN_HL,0.025238484,0.1513417,0.01479553,0.010442954,0.13654618,233,15748,7366,705356,34,true
FEAT_DIFF,0.023863122,0.15470722,0.018161036,0.0057020853,0.13654618,286,15748,4022,705356,34,true
FEAT_QUICKFIX,0.022712953,0.1607864,0.012192025,0.010520929,0.14859438,192,15748,7421,705356,37,true
FEAT_SPELL,0.022046804,0.10529112,0.0048895096,0.017157294,0.10040161,77,15748,12102,705356,25,true
FEAT_MENU,0.020025592,0.13102295,0.010541021,0.009484572,0.12048193,166,15748,6690,705356,30,true
FEAT_GUI_MSWIN,0.01995093,0.120689265,0.012255524,0.007695405,0.10843374,193,15748,5428,705356,27,true
FEAT_PROP_POPUP,0.019903392,0.15638933,0.011811024,0.008092367,0.14457831,186,15748,5708,705356,36,true
FEAT_JOB_CHANNEL,0.019849252,0.14167415,0.009144018,0.010705233,0.13253012,144,15748,7551,705356,33,true
FEAT_TERMINAL,0.019564744,0.16627853,0.0096520195,0.009912725,0.15662651,152,15748,6992,705356,39,true
FEAT_GUI_GTK,0.017017202,0.13624552,0.011747523,0.0052696792,0.124497995,185,15748,3717,705356,31,true
VMS,0.016834863,0.15370677,0.013144527,0.0036903352,0.14056225,207,15748,2603,705356,35,true
VIMDLL,0.016755886,0.11164113,0.011239522,0.0055163633,0.10040161,177,15748,3891,705356,25,true
FEAT_RIGHTLEFT,0.01224453,0.111069635,0.010668022,0.0015765089,0.10040161,168,15748,1112,705356,25,true
FEAT_TOOLBAR,0.012236194,0.06352741,0.0073025147,0.004933679,0.0562249,115,15748,3480,705356,14,true
FEAT_FLOAT,0.01077335,0.10113249,0.008763017,0.0020103324,0.092369474,138,15748,1418,705356,23,true
FEAT_CLIPBOARD,0.010695862,0.12702245,0.006540513,0.0041553485,0.12048193,103,15748,2931,705356,30,true
FEAT_CRYPT,0.010150563,0.09106836,0.0067310133,0.00341955,0.084337346,106,15748,2412,705356,21,true
FEAT_NETBEANS_INTG,0.009662391,0.1295145,0.00501651,0.004645881,0.124497995,79,15748,3277,705356,31,true
FEAT_CINDENT,0.009486068,0.06105091,0.0048260097,0.0046600583,0.0562249,76,15748,3287,705356,14,true
EBCDIC,0.009270662,0.10210055,0.0057150116,0.0035556513,0.09638554,90,15748,2508,705356,24,true
FEAT_BROWSE,0.008485136,0.09197292,0.0036195072,0.004865628,0.08835341,57,15748,3432,705356,22,true
FEAT_VARTABS,0.008236864,0.07927417,0.006985014,0.0012518502,0.072289154,110,15748,883,705356,18,true
FEAT_CLIENTSERVER,0.008143851,0.068702035,0.004445009,0.0036988414,0.064257026,70,15748,2609,705356,16,true
FEAT_TERMGUICOLORS,0.008134104,0.05441578,0.006223012,0.0019110917,0.04819277,98,15748,1348,705356,12,true
FEAT_SEARCH_EXTRA,0.008115882,0.0735436,0.0052705104,0.0028453716,0.06827309,83,15748,2007,705356,17,true
FEAT_GUI_TABLINE,0.008089451,0.06047941,0.0042545083,0.0038349428,0.0562249,67,15748,2705,705356,14,true
TERMINFO,0.008061523,0.019541208,0.007493015,5.6850724E-4,0.012048192,118,15748,401,705356,3,true
FEAT_TITLE,0.0073380773,0.11791082,0.005461011,0.0018770663,0.1124498,86,15748,1324,705356,28,true
RUBY_VERSION,0.0072890716,0.010556577,0.006540513,7.485582E-4,0.004016064,103,15748,528,705356,1,true
FEAT_CONCEAL,0.006863893,0.0741786,0.005905512,9.583813E-4,0.06827309,93,15748,676,705356,17,true
FEAT_LINEBREAK,0.0068094945,0.065955974,0.0057150116,0.0010944828,0.060240965,90,15748,772,705356,15,true
FEAT_SIGNS,0.0066784993,0.083432786,0.003111506,0.0035669932,0.08032128,49,15748,2516,705356,20,true
FEAT_MZSCHEME,0.0066549038,0.042256147,0.0020955042,0.0045593996,0.04016064,33,15748,3216,705356,10,true
FEAT_VIMINFO,0.0065652207,0.06271747,0.002476505,0.0040887157,0.060240965,39,15748,2884,705356,15,true
FEAT_GUI_DIALOG,0.0063107833,0.08324229,0.002921006,0.0033897776,0.08032128,46,15748,2391,705356,20,true
FEAT_X11,0.0061386633,0.056463346,0.0042545083,0.001884155,0.052208837,67,15748,1329,705356,13,true
FEAT_XCLIPBOARD,0.006136423,0.048304215,0.004127508,0.0020089147,0.044176705,65,15748,1417,705356,11,true
FEAT_PRINTER,0.0059443074,0.037097078,9.525019E-4,0.0049918056,0.036144577,15,15748,3521,705356,9,true
FEAT_CSCOPE,0.0059191943,0.04716121,0.002984506,0.0029346882,0.044176705,47,15748,2070,705356,11,true
FEAT_PROFILE,0.0059007835,0.06041591,0.0041910084,0.001709775,0.0562249,66,15748,1206,705356,14,true
FEAT_XFONTSET,0.005672391,0.049002714,0.0048260097,8.463811E-4,0.044176705,76,15748,597,705356,11,true
FEAT_XIM,0.005620282,0.079543725,0.0032385064,0.002381776,0.07630522,51,15748,1680,705356,19,true
BACKSLASH_IN_FILENAME,0.0055473335,0.097258985,0.0048895096,6.5782387E-4,0.092369474,77,15748,464,705356,23,true
FEAT_POSTSCRIPT,0.0052972306,0.033208016,0.0010795022,0.0042177285,0.032128513,17,15748,2975,705356,8,true
FEAT_BEVAL_GUI,0.0052968133,0.06322547,0.002984506,0.0023123075,0.060240965,47,15748,1631,705356,15,true
PY_VERSION_HEX,0.005205434,0.012667637,0.004635509,5.6992495E-4,0.008032128,73,15748,402,705356,2,true
FEAT_MULTI_LANG,0.0051862504,0.056399845,0.0041910084,9.952422E-4,0.052208837,66,15748,702,705356,13,true
FEAT_PYTHON,0.005117972,0.06016191,0.003937008,0.0011809639,0.0562249,62,15748,833,705356,14,true
FEAT_RELTIME,0.0049250918,0.056463346,0.0042545083,6.7058334E-4,0.052208837,67,15748,473,705356,13,true
FEAT_PYTHON3,0.0047735344,0.055828344,0.0036195072,0.0011540272,0.052208837,57,15748,814,705356,13,true
