File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\source\vim\runtime\tools\ccfilter.c,5.46971,-0.6552901,6.125,0.0,293,24,153,49,8,8,0,true
D:\Pesquisa\Projects\source\vim\src\termlib.c,2.3856473,-0.3286385,1.4285715,1.2857143,426,20,49,10,4,7,9,true
D:\Pesquisa\Projects\source\vim\src\libvterm\src\vterm.c,2.2730923,-0.560241,2.5,0.33333334,332,31,82,15,5,6,2,true
D:\Pesquisa\Projects\source\vim\src\dosinst.c,1.995314,-0.0046860357,2.0,0.0,2134,5,12,4,3,2,0,true
D:\Pesquisa\Projects\source\vim\src\os_vms.c,1.579096,-0.2542373,1.6666666,0.16666667,590,25,56,10,5,6,1,true
D:\Pesquisa\Projects\source\vim\src\cmdhist.c,1.1708968,-0.82910323,2.0,0.0,591,245,490,4,3,2,0,true
D:\Pesquisa\Projects\source\vim\src\gui_xmdlg.c,1.1292214,-0.07077856,1.2,0.0,989,14,18,6,3,5,0,true
D:\Pesquisa\Projects\source\vim\src\crypt_zip.c,1.0454545,-0.95454544,2.0,0.0,88,84,168,2,2,1,0,true
D:\Pesquisa\Projects\source\vim\src\blob.c,1.017094,-0.982906,2.0,0.0,234,230,460,2,2,1,0,true
D:\Pesquisa\Projects\source\vim\src\arabic.c,1.0137458,-0.9862543,2.0,0.0,291,287,574,2,2,1,0,true
D:\Pesquisa\Projects\source\vim\src\vim9script.c,1.0117993,-0.9882006,2.0,0.0,339,335,670,2,2,1,0,true
D:\Pesquisa\Projects\source\vim\src\textprop.c,1.0068847,-1.9931153,2.0,1.0,1162,1158,2332,4,3,2,2,true
D:\Pesquisa\Projects\source\vim\src\gui_at_sb.c,0.9967462,-0.0032537961,1.0,0.0,922,3,3,1,1,1,0,true
D:\Pesquisa\Projects\source\vim\src\libvterm\src\pen.c,0.9830918,-0.016908212,1.0,0.0,414,7,7,1,1,1,0,true
D:\Pesquisa\Projects\source\vim\src\libvterm\src\parser.c,0.9662162,-0.033783782,1.0,0.0,296,10,10,1,1,1,0,true
D:\Pesquisa\Projects\source\vim\src\vimrun.c,0.96,-0.04,1.0,0.0,75,3,3,1,1,1,0,true
D:\Pesquisa\Projects\source\vim\src\xpm_w32.c,0.9166667,-0.083333336,1.0,0.0,36,3,3,1,1,1,0,true
D:\Pesquisa\Projects\source\vim\src\tee\tee.c,0.89830506,-0.10169491,1.0,0.0,118,6,6,2,2,2,0,true
