"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\_cppstats\vim\pixmaps\stock_icons.h.xml,3140,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\doc\doctags.c.xml,126,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\macros\maze\maze.c.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\macros\maze\mazeansi.c.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\macros\maze\mazeclean.c.xml,30,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\tools\blink.c.xml,30,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\tools\ccfilter.c.xml,577,7,14,1.0,0.0,,,,,,,,7,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\_cppstats\vim\runtime\tools\xcmdsrv_client.c.xml,729,2,36,1.0,0.0,,,,,,,,3,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\GvimExt\gvimext.h.xml,183,3,6,1.0,0.0,,,,,,,,4,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\GvimExt\resource.h.xml,14,2,5,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\VisVim\Commands.h.xml,198,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\VisVim\DSAddIn.h.xml,62,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\VisVim\OleAut.h.xml,125,1,14,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\VisVim\Resource.h.xml,44,2,5,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\VisVim\StdAfx.h.xml,41,1,4,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\VisVim\VisVim.h.xml,29,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\alloc.h.xml,42,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\arabic.c.xml,576,2,285,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\arglist.c.xml,1941,8,150,1.0,0.0,,,,,,,,4,0,0,0,1,0,6,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\ascii.h.xml,264,2,122,1.0,0.0,,,,,,,,4,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\autocmd.c.xml,3640,12,202,1.0512820512820513,0.22345586503095893,,,,,,,,6,1,0,0,1,0,32,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\beval.c.xml,463,9,221,2.0,0.5773502691896257,,,,,,,,2,0,0,0,3,0,8,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\beval.h.xml,137,6,39,1.6,0.6992058987801011,,,,,,,,6,8,0,0,0,0,0,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\blob.c.xml,462,2,228,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\blowfish.c.xml,1090,5,537,2.0,0.816496580927726,,,,,,,,7,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\buffer.c.xml,8349,50,1594,1.131979695431472,0.368176199490591,,,,,,,,19,0,0,0,17,5,169,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\bufwrite.c.xml,3906,27,684,1.31,0.6307763374436202,,,,,,,,2,2,2,0,7,4,93,4,,
D:\Pesquisa\Projects\_cppstats\vim\src\change.c.xml,3257,17,506,1.0612244897959184,0.24222607082590236,,,,,,,,1,0,0,2,10,0,38,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\channel.c.xml,10350,24,5094,2.2747252747252746,0.6677646635676724,,,,,,,,27,0,0,0,7,0,77,5,,
D:\Pesquisa\Projects\_cppstats\vim\src\charset.c.xml,3007,16,242,1.0,0.0,,,,,,,,7,0,0,1,3,0,26,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\cindent.c.xml,5665,6,2807,1.5555555555555556,0.5270462766947299,,,,,,,,4,0,0,0,3,0,3,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\clipboard.c.xml,3298,13,1603,2.196078431372549,0.5298908507659766,,,,,,,,8,0,0,2,6,0,48,4,,
D:\Pesquisa\Projects\_cppstats\vim\src\cmdexpand.c.xml,4306,17,406,1.0576923076923077,0.23543547789870936,,,,,,,,4,8,0,0,4,0,39,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\cmdhist.c.xml,1170,3,241,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\crypt.c.xml,790,3,389,1.875,0.3535533905932738,,,,,,,,4,4,0,0,0,0,0,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\crypt_zip.c.xml,170,2,82,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\debugger.c.xml,1591,4,784,1.9333333333333333,0.25819888974716115,,,,,,,,3,1,0,0,4,0,8,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\dict.c.xml,1687,2,840,1.5,0.7071067811865476,,,,,,,,1,0,0,0,0,0,1,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\diff.c.xml,4945,10,2446,2.0,0.3380617018914066,,,,,,,,6,0,0,0,1,4,26,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\digraph.c.xml,4554,11,2261,2.2857142857142856,1.0690449676496974,,,,,,,,9,0,0,2,1,0,7,5,,
D:\Pesquisa\Projects\_cppstats\vim\src\dlldata.c.xml,24,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\dosinst.c.xml,4259,2,2,1.0,0,,,,,,,,0,0,0,2,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\dosinst.h.xml,675,9,44,1.0,0.0,,,,,,,,11,0,0,0,0,1,2,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\drawline.c.xml,4972,24,1333,1.3218390804597702,0.5266153870356746,,,,,,,,4,0,0,0,37,1,144,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\drawscreen.c.xml,4546,28,1121,1.2740740740740741,0.46407715566744107,,,,,,,,14,0,1,0,20,0,103,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\edit.c.xml,8553,38,900,1.065326633165829,0.24772453103596961,,,,,,,,22,0,3,0,21,0,163,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\eval.c.xml,9920,18,4846,2.0441176470588234,0.2695393267023517,,,,,,,,8,0,0,0,2,0,61,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\evalbuffer.c.xml,1331,9,658,1.7142857142857142,0.48795003647426666,,,,,,,,2,0,0,0,1,0,4,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\evalfunc.c.xml,15037,156,7116,2.061349693251534,0.2528180016410058,,,,,,,,72,344,0,0,3,0,108,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\evalvars.c.xml,5623,9,2803,1.8571428571428572,0.3779644730092273,,,,,,,,6,0,0,0,0,0,1,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\evalwindow.c.xml,1771,14,870,1.894736842105263,0.3153017676423058,,,,,,,,2,0,1,0,0,0,16,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_cmdidxs.h.xml,118,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_cmds.c.xml,9364,37,750,1.0935251798561152,0.29222004640476124,,,,,,,,9,1,0,3,8,3,125,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_cmds.h.xml,3631,3,73,1.2857142857142858,0.4879500364742666,,,,,,,,5,3,0,0,0,0,0,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_cmds2.c.xml,2070,22,636,1.6071428571428572,0.5284134548067254,,,,,,,,13,0,0,0,4,0,53,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_docmd.c.xml,12980,71,1790,1.1088709677419355,0.3488586588434806,,,,,,,,87,1,1,1,19,4,164,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_eval.c.xml,2722,5,1353,1.8571428571428572,0.3779644730092273,,,,,,,,3,0,0,0,0,0,5,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\ex_getln.c.xml,6826,31,1584,1.2032520325203253,0.40406438363568303,,,,,,,,19,1,1,0,10,3,92,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\feature.h.xml,839,100,163,1.1610738255033557,0.3867241857762723,,,,,,,,156,0,0,0,0,0,0,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\fileio.c.xml,7454,57,1147,1.2380952380952381,0.5605610452806816,,,,,,,,15,0,2,1,22,0,145,4,,
D:\Pesquisa\Projects\_cppstats\vim\src\filepath.c.xml,5731,25,1978,1.4927536231884058,0.6329944801775206,,,,,,,,8,0,0,2,8,0,68,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\findfile.c.xml,3793,12,1301,1.2531645569620253,0.4376028649879187,,,,,,,,13,4,0,0,7,6,55,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\fold.c.xml,5123,6,2544,1.9090909090909092,0.29424494316824984,,,,,,,,7,0,0,0,1,0,16,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\getchar.c.xml,4558,30,424,1.1645569620253164,0.3731494423540168,,,,,,,,7,0,0,0,15,0,62,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\glbl_ime.h.xml,42,3,17,2.4,0.8944271909999159,,,,,,,,3,0,0,0,0,0,2,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\globals.h.xml,2011,89,407,1.15,0.396477293932852,,,,,,,,137,0,0,0,0,0,8,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui.c.xml,7891,73,1675,1.334710743801653,0.5537065963322555,,,,,,,,21,0,1,1,35,0,218,4,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui.h.xml,783,30,208,1.3636363636363635,0.5720775535473552,,,,,,,,34,42,0,0,0,0,0,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_at_fs.c.xml,4538,12,2215,1.9787234042553192,0.1458649914978946,,,,,,,,20,2,0,0,1,11,40,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_at_sb.c.xml,1835,1,1,1.0,0,,,,,,,,0,1,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_at_sb.h.xml,144,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_athena.c.xml,3524,11,1449,1.6181818181818182,0.652371999390858,,,,,,,,17,0,0,3,1,7,41,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_beval.c.xml,1866,11,874,3.6363636363636362,0.8651094591560959,,,,,,,,27,0,2,0,0,0,42,5,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_dwrite.h.xml,90,1,2,1.0,0.0,,,,,,,,1,0,0,0,0,0,1,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_gtk.c.xml,3926,21,1407,1.613861386138614,0.7066865929066861,,,,,,,,37,8,2,0,0,4,113,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_gtk_f.c.xml,1353,1,150,1.0714285714285714,0.262265264156481,,,,,,,,12,0,0,0,0,0,33,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_gtk_f.h.xml,99,2,15,1.0,0.0,,,,,,,,3,0,0,0,0,0,5,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_gtk_vms.h.xml,1281,1,7,1.5,0.7071067811865476,,,,,,,,3,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_gtk_x11.c.xml,9960,48,2157,1.290909090909091,0.4552174360371424,,,,,,,,70,4,2,0,3,2,214,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_haiku.h.xml,39,1,8,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_mac.c.xml,8694,27,2274,1.3217391304347825,0.4691879152015394,,,,,,,,30,0,2,0,0,0,102,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_motif.c.xml,6187,21,1992,1.7391304347826086,0.6439842537388203,,,,,,,,34,0,0,1,1,6,61,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_photon.c.xml,4392,11,876,1.1578947368421053,0.369537021476632,,,,,,,,14,0,0,0,0,0,31,2,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_w32.c.xml,12521,93,3467,1.3686274509803922,0.5072273698799071,,,,,,,,119,3,1,6,2,1,134,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_w32_rc.h.xml,2,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_x11.c.xml,4974,40,863,1.2019230769230769,0.42676947899322576,,,,,,,,41,10,1,1,4,2,59,3,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_x11_pm.h.xml,146,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_xmdlg.c.xml,1966,2,5,1.0,0.0,,,,,,,,2,0,0,0,0,0,3,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_xmebw.c.xml,2193,13,1069,2.15,0.5871429486123998,,,,,,,,9,0,0,0,0,0,20,4,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_xmebw.h.xml,55,7,11,1.0,0.0,,,,,,,,8,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\_cppstats\vim\src\gui_xmebwp.h.xml,78,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\_cppstats\vim\src\hardcopy.c.xml,5137,10,2549,2.260869565217391,0.540823555863717,,,,,,,,6,0,0,0,0,2,17,3,,
